--------------------------------------------------------------
    ID               Lower Left                Upper Right    
                      x  ,    y                 x  ,    y     
--------------------------------------------------------------
   R000             16.89, -09.76             57.85,  62.44   
   R001            -63.08,  17.17            -41.36,  68.44   
   R002             15.20, -82.52             34.11,  16.69   
   R003            -47.18, -76.67            -14.10,  89.77   
   R004            -16.63, -21.03             72.96, -06.74   
   R005            -44.56, -43.11             60.22,  54.26   
   R006             07.78, -70.72             75.45, -13.24   
   R007            -42.16, -26.41             86.03,  20.03   
   R008            -73.48,  31.31             26.02,  69.32   
   R009            -04.60,  12.64             91.56,  75.21   
   R010            -48.00, -86.93             02.69, -55.14   
   R011             31.30,  08.44             64.83,  88.57   
   R012            -19.12, -70.69             60.99,  68.57   
   R013            -84.84, -22.55             23.25,  16.50   
   R014            -85.41, -30.57            -81.61,  17.21   
   R015            -69.02, -44.11            -27.82,  52.38   
   R016            -58.33, -15.78             85.08,  99.35   
   R017            -62.54, -54.41             75.31,  85.12   
   R018            -18.27, -22.55            -12.62, -15.17   
   R019            -25.68, -54.35             23.82,  21.55   
   R020            -82.59, -99.45            -04.94, -88.21   
   R021            -81.60, -60.39             33.40,  91.50   
   R022             31.11, -69.40             89.91, -53.39   
   R023            -32.77, -00.09             88.10,  81.39   
   R024             20.41, -53.17             27.49,  02.30   
   R025            -39.92,  30.51            -29.72,  76.75   
   R026            -68.36, -77.82             79.71, -02.09   
   R027            -84.89, -45.41            -08.67,  28.52   
   R028            -20.09, -32.64             03.43,  16.00   
   R029            -23.15, -86.40            -06.47, -62.30   
   R030            -95.48, -14.02            -66.68,  23.55   
   R031            -40.95, -47.66            -03.21, -46.99   
   R032            -10.56,  07.72             20.53,  97.20   
   R033            -94.72,  27.17            -05.60,  83.14   
   R034            -60.05, -76.58             99.37,  06.55   
   R035            -53.07, -42.58             74.55, -24.54   
   R036             20.48, -91.54             21.17, -35.37   
   R037            -18.86, -94.64             99.45, -62.91   
   R038            -15.84, -12.33             32.55,  02.58   
   R039            -08.18, -56.04             19.94,  52.82   
   R040            -43.73, -37.04             83.40,  18.27   
   R041            -83.43,  19.12             21.14,  31.82   
   R042            -11.64, -48.80             80.00,  43.02   
   R043            -14.60, -25.02             91.44,  68.29   
   R044            -62.92, -10.87            -37.96, -10.01   
   R045            -96.97, -99.71            -22.67,  89.17   
   R046            -11.16, -51.76             91.82,  25.86   
   R047            -30.34, -26.62             58.78, -10.67   
   R048             14.54, -45.77             91.40,  17.81   
   R049            -70.50, -43.20            -00.22, -13.28   
   R050            -54.97, -63.88             46.81,  90.33   
   R051             16.60, -28.76             56.78, -12.89   
   R052            -85.36, -94.24            -65.29, -48.14   
   R053            -61.09, -59.57            -45.71,  91.90   
   R054            -90.61, -84.40             45.10, -58.74   
   R055            -91.48, -53.75            -14.63,  37.72   
   R056             29.15, -86.48             99.00, -09.78   
   R057             12.00, -33.48             47.53, -23.88   
   R058            -43.07, -93.86             22.23,  13.23   
   R059             03.29,  23.15             49.84,  97.32   
   R060             21.02, -50.00             95.64, -25.80   
   R061             06.19,  04.36             64.46,  70.33   
   R062             05.08, -47.40             90.46,  01.25   
   R063             16.39, -96.71             56.81, -30.36   
   R064            -25.59, -02.55            -23.56,  40.37   
   R065             11.23, -68.43             27.86,  61.93   
   R066            -46.67, -47.41             84.58,  59.39   
   R067            -87.67,  05.14            -35.10,  98.44   
   R068            -77.64,  05.58             29.52,  81.92   
   R069            -58.31, -22.49             66.73, -06.64   
   R070            -09.62,  16.56             89.65,  96.05   
   R071            -46.07, -38.62             04.82,  85.96   
   R072             24.88,  16.38             51.86,  29.10   
   R073            -09.18, -62.50             00.79, -02.14   
   R074            -00.44,  09.64             55.70,  43.59   
   R075            -73.27, -40.68            -45.24,  69.78   
   R076            -31.47, -11.29             30.17,  80.49   
   R077            -58.35, -20.96            -18.83,  04.70   
   R078            -51.50, -87.91             33.09, -17.90   
   R079            -53.80, -63.39            -20.44,  21.15   
   R080            -45.84, -43.24             86.28,  86.03   
   R081            -00.89,  26.53             25.17,  65.44   
   R082            -10.12, -05.83             96.22,  39.03   
   R083            -77.26, -52.18             84.86,  61.16   
   R084            -85.38, -83.46            -33.81, -38.63   
