date,close,volume,open,high,low
=============================================================
2019/01/11,347.2600,5035078.0000,342.0900,348.4100,338.7700
2019/01/10,344.9700,6049621.0000,334.4000,345.3900,331.7900
2019/01/09,338.5300,5426618.0000,335.5000,343.5025,331.4700
2019/01/08,335.3500,6994427.0000,341.9600,344.0100,327.0200
2019/01/07,334.9600,7542338.0000,321.7200,336.7400,317.7508
2019/01/04,317.6900,7382755.0000,306.0000,318.0000,302.7300
2019/01/03,300.3600,6948577.0000,307.0000,309.4000,297.3800
2019/01/02,310.1200,11611270.0000,306.1000,315.1300,298.8000
2018/12/31,332.8000,6294298.0000,337.7900,339.2100,325.2600
2018/12/28,333.8700,9918777.0000,323.1000,336.2400,318.4100
2018/12/27,316.1300,8567385.0000,319.8400,322.1717,301.5000
2018/12/26,326.0900,8143102.0000,300.0000,326.9700,294.0900
2018/12/24,295.3900,5559913.0000,313.5000,314.5000,295.1950
2018/12/21,319.7700,7997219.0000,317.4000,323.4700,312.4400
2018/12/20,315.3800,9049389.0000,327.0540,330.2900,311.8690
2018/12/19,332.9700,8256374.0000,337.6000,347.0100,329.7400
2018/12/18,337.0300,7084887.0000,350.5400,351.5500,333.6900
2018/12/17,348.4200,7664832.0000,362.0000,365.7000,343.8800
2018/12/14,365.7100,6327625.0000,375.0000,377.8700,364.3300
2018/12/13,376.7900,7348168.0000,370.1500,377.4400,366.7500
2018/12/12,366.6000,5019725.0000,369.4200,371.9100,365.1600
2018/12/11,366.7600,6298472.0000,369.9100,372.1689,360.2300
2018/12/10,365.1500,6575341.0000,360.0000,365.9800,353.1200
2018/12/07,357.9650,11484350.0000,369.0000,379.4900,357.6500
2018/12/06,363.0600,7828689.0000,356.0100,367.3800,350.7600
2018/12/04,359.7000,8430213.0000,356.0500,368.6800,352.0000
2018/12/03,358.4900,8295843.0000,360.0000,366.0000,352.0000
2018/11/30,350.4800,5621104.0000,341.8300,351.6000,338.2648
2018/11/29,341.1700,3076026.0000,347.0000,347.5000,339.5500
2018/11/28,347.8700,4114038.0000,345.9900,348.2800,342.2100
2018/11/27,343.9200,6347004.0000,340.0500,346.9600,335.5000
2018/11/26,346.0000,7973119.0000,325.0000,346.2200,325.0000
2018/11/23,325.8300,4202642.0000,334.3450,337.5000,325.5500
2018/11/21,338.1900,4677389.0000,352.0000,353.1000,337.3995
2018/11/20,347.4900,7991253.0000,341.7500,349.8000,333.5500
2018/11/19,353.4700,9698559.0000,356.3400,366.7500,352.8800
2018/11/16,354.3100,7194458.0000,345.1900,355.7000,345.1201
2018/11/15,348.4400,4600130.0000,342.3300,348.5800,339.0400
2018/11/14,344.0000,5032083.0000,342.7000,347.1100,337.1500
2018/11/13,338.7300,5422756.0000,333.1600,344.7000,332.2000
2018/11/12,331.2800,6916965.0000,348.3700,349.7800,330.3400
2018/11/09,350.5100,5093456.0000,349.0000,354.0000,345.2300
2018/11/08,351.4000,7080203.0000,348.5000,357.5755,348.4400
2018/11/07,348.1600,7366706.0000,343.3400,351.1800,340.8000
2018/11/06,341.0600,6751930.0000,339.0700,348.8000,336.0900
2018/11/05,341.4000,7820845.0000,340.5000,343.9550,330.1400
2018/11/02,346.4100,7799920.0000,343.7400,349.2000,340.9100
2018/11/01,344.2800,7980946.0000,338.2600,347.8400,334.7250
2018/10/31,337.3200,7600840.0000,332.5400,342.0000,329.1000
2018/10/30,329.9000,9109120.0000,328.3900,337.8999,322.2600
2018/10/29,334.8500,14455150.0000,337.4700,347.1600,326.5000
2018/10/26,330.9000,27380220.0000,308.2500,339.9000,306.6500
2018/10/25,314.8600,20771670.0000,317.2200,321.0000,301.0100
2018/10/24,288.5000,19350450.0000,301.0500,304.4400,285.7300
2018/10/23,294.1400,18956210.0000,263.8700,297.9300,262.1000
2018/10/22,260.9500,5594855.0000,260.6800,261.8600,252.5900
2018/10/19,260.0000,9344764.0000,267.3900,269.6600,253.5000
2018/10/18,263.9100,5401871.0000,269.2900,271.0000,263.0000
2018/10/17,271.7800,8636949.0000,282.4000,282.7000,265.8032
2018/10/16,276.5900,9501120.0000,265.7000,277.3750,262.2400
2018/10/15,259.5900,6189026.0000,259.0600,263.2800,254.5367
2018/10/12,258.7800,7189257.0000,261.0000,261.9900,252.0100
2018/10/11,252.2300,8128184.0000,257.5300,262.2500,249.0300
2018/10/10,256.8800,12781560.0000,264.6100,265.5100,247.7700
2018/10/09,262.8000,12037780.0000,255.2500,266.7700,253.3000
2018/10/08,250.5600,13371180.0000,264.5200,267.7599,249.0000
2018/10/05,261.9500,17900710.0000,274.6500,274.8800,260.0000
2018/10/04,281.8300,9638885.0000,293.9500,294.0000,277.6700
2018/10/03,294.8000,7982272.0000,303.3300,304.6000,291.5700
2018/10/02,301.0200,11699690.0000,313.9500,316.8400,299.1500
2018/10/01,310.7000,21714210.0000,305.7700,311.4400,301.0500
2018/09/28,264.7700,33597290.0000,270.2600,278.0000,260.5550
2018/09/27,307.5200,7337760.0000,312.9000,314.9600,306.9100
2018/09/26,309.5800,7835863.0000,301.9100,313.8900,301.1093
2018/09/25,300.9900,4472287.0000,300.0000,304.6000,296.5000
2018/09/24,299.6800,4834384.0000,298.4800,302.9993,293.5800
2018/09/21,299.1000,5038497.0000,297.7000,300.5800,295.3700
2018/09/20,298.3300,7332477.0000,303.5600,305.9800,293.3300
2018/09/19,299.0200,8264353.0000,280.5100,300.0000,280.5000
2018/09/18,284.9600,16494280.0000,296.6900,302.6400,275.5000
2018/09/17,294.8400,6866208.0000,290.0400,300.8700,288.1300
2018/09/14,295.2000,6757652.0000,288.7600,297.3256,286.5200
2018/09/13,289.4600,6333281.0000,288.0200,295.0000,285.1800
2018/09/12,290.5400,10002150.0000,281.4400,292.5000,278.6463
2018/09/11,279.4400,9161061.0000,279.4700,282.0000,273.5500
2018/09/10,285.5000,14232250.0000,273.2600,286.0300,271.0000
2018/09/07,263.2400,22442310.0000,260.1000,268.3500,252.2548
2018/09/06,280.9500,7472756.0000,284.8000,291.1700,278.8800
2018/09/05,280.7400,7707342.0000,285.0500,286.7800,277.1800
2018/09/04,288.9500,8304571.0000,296.9400,298.1900,288.0000
2018/08/31,301.6600,5367048.0000,302.0000,305.3082,298.6000
2018/08/30,303.1500,7210625.0000,302.2600,304.6000,297.7200
2018/08/29,305.0100,7410538.0000,310.2700,311.8500,303.6900
2018/08/28,311.8600,7639453.0000,318.4100,318.8800,311.1900
2018/08/27,319.2700,13062650.0000,318.0000,322.4350,308.8100
2018/08/24,322.8200,3592734.0000,320.7000,323.8500,319.4000
2018/08/23,320.1000,5138685.0000,319.1400,327.3200,318.1000
2018/08/22,321.6400,5935853.0000,320.8700,323.8800,314.6700
2018/08/21,321.9000,13147770.0000,310.6100,324.7900,309.0000
2018/08/20,308.4400,17380430.0000,291.7040,308.5000,288.2000
2018/08/17,305.5000,18895880.0000,323.5000,326.7700,303.5300
2018/08/16,335.4500,6045392.0000,339.9100,342.2800,333.8200
2018/08/15,338.6900,9073033.0000,341.9060,344.4900,332.1400
2018/08/14,347.6400,6948511.0000,358.4500,359.1995,347.1000
2018/08/13,356.4100,10444920.0000,361.1300,363.1900,349.0200
2018/08/10,355.4900,11530510.0000,354.0000,360.0000,346.0000
2018/08/09,352.4500,16951800.0000,365.5500,367.0100,345.7300
2018/08/08,370.3400,24535420.0000,369.0900,382.6400,367.1200
2018/08/07,379.5700,30596400.0000,343.8400,387.4600,339.1501
2018/08/06,341.9900,8536766.0000,345.4600,354.9800,341.8200
2018/08/03,348.1700,13646640.0000,347.8100,355.0000,342.5300
2018/08/02,349.5400,23159160.0000,328.4400,349.9900,323.1600
2018/08/01,300.8400,8768099.0000,297.9900,303.0000,293.0000
2018/07/31,298.1400,5055094.0000,292.2500,298.3200,289.0700
2018/07/30,290.1700,6799581.0000,295.9000,296.1000,286.1300
2018/07/27,297.1800,5694690.0000,307.2500,307.6933,295.3404
2018/07/26,306.6500,4619567.0000,304.8500,310.7000,303.6411
2018/07/25,308.7400,7031382.0000,296.7400,309.6200,294.5025
2018/07/24,297.4300,9586186.0000,304.4209,307.7171,292.5452
2018/07/23,303.2000,10974820.0000,301.8400,305.5000,292.8601
2018/07/20,313.5800,5159831.0000,321.2300,323.2400,311.7093
2018/07/19,320.2300,5907116.0000,316.3300,323.5400,314.0100
2018/07/18,323.8500,5610085.0000,325.0000,325.5000,316.2500
2018/07/17,322.6900,6987782.0000,308.8100,324.7400,308.5000
2018/07/16,310.1000,7800454.0000,311.7100,315.1600,306.2500
2018/07/13,318.8700,5866776.0000,315.5800,319.5849,309.2500
2018/07/12,316.7100,5711851.0000,321.4300,323.2300,312.7700
2018/07/11,318.9600,4878595.0000,315.8000,321.9400,315.0700
2018/07/10,322.4700,9437557.0000,324.5600,327.6771,319.2000
2018/07/09,318.5100,7579541.0000,311.9900,318.5200,308.0000
2018/07/06,308.9000,8860198.0000,304.9550,312.0700,302.0000
2018/07/05,309.1600,17457570.0000,313.7600,314.3900,296.2200
2018/07/03,310.8600,12282640.0000,331.7500,332.4900,309.6900
2018/07/02,335.0700,18732710.0000,360.0700,364.7800,329.8500
2018/06/29,342.9500,6475903.0000,353.3300,353.8600,342.4100
2018/06/28,349.9300,8388172.0000,348.6600,357.0200,346.1100
2018/06/27,344.5000,8313817.0000,345.0000,350.7900,339.5000
2018/06/26,342.0000,7434749.0000,336.0540,343.5500,325.7990
2018/06/25,333.0100,6925089.0000,330.1200,338.4700,327.5000
