User ID: 93445-12424

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVE-32966                            130
002                  TRM-27792                             98
003                  KDV-97563                            141
004                  LWR-78574                             75
005                  BTN-83953                             87
006                  KWH-94256                             58
007                  KWH-94256                             28
008                  TXF-47848                             16
009                  WQB-83823                             57
010                  FNR-28782                             90
011                  WQB-83823                             34
012                  AAV-93236                             67
013                  WQB-83823                            142
014                  KWH-94256                            146
015                  GUJ-74444                            117
016                  HNB-76282                             15
017                  GMS-89977                             63
018                  RLT-57887                            194
019                  GMS-89977                            118
020                  NHP-43928                             59
021                  GMS-89977                            106
022                  JYL-79355                            147
023                  HNB-76282                             38
024                  FNL-93857                            187
025                  SPN-64546                            162
026                  AJA-56777                             71
027                  FNR-28782                              1
028                  NMA-58554                            133
029                  FNL-93857                            157
030                  CDC-36833                            198
031                  GBK-45859                             53
032                  JYL-79355                            152
033                  XBC-95594                            129
034                  SPN-64546                             50
035                  TNG-52497                            158
036                  XKG-42573                             54
037                  TQC-49936                              6
038                  TNG-52497                             51
039                  FYK-67999                            100
040                  HNB-76282                            107
041                  PHE-99329                            160
042                  ZKV-31415                            153
043                  DAU-26394                             65
044                  TNG-52497                            140
045                  XKG-42573                            150
046                  TRM-27792                            144
047                  XRT-73276                            173
048                  KQA-89952                            184
049                  AAV-93236                            180
050                  NHP-43928                            156
051                  TXF-47848                             60
052                  GMS-89977                            182
053                  WQB-83823                             29
054                  LZL-53762                             13
055                  QBZ-39849                            192
056                  XJQ-35789                             61
057                  QBZ-39849                             20
058                  WMD-65834                            114
059                  CQS-93978                              2
060                  TXF-47848                            116
061                  NHP-43928                             27
062                  SPN-64546                            195
063                  GZN-34688                             41
064                  TNG-52497                            124
065                  VWM-74278                            121
066                  WBB-69295                            189
067                  PNF-53949                            181
068                  ZPF-96697                             25
069                  ZHA-83572                            145
070                  XKG-42573                            176
071                  FTD-84699                            105
072                  YMA-56284                             55
073                  PHE-99329                             85
074                  XKG-42573                             22
075                  HVE-32966                              7
076                  WQB-83823                             78
077                  WBB-69295                            170
078                  SZA-87265                            190
079                  GBK-45859                             88
080                  AJA-56777                             97
081                  LNC-68448                              4
082                  WBB-69295                            128
083                  BTN-83953                              5
084                  FYK-67999                            123
085                  TLT-23593                             30
086                  ZPF-96697                             76
087                  FTD-84699                              3
088                  YMA-56284                            111
089                  VXR-68924                            199
090                  CQS-93978                             14
091                  KDV-97563                            164
092                  KMP-52243                             17
093                  XJQ-35789                            149
094                  FYK-67999                            108
095                  JVL-65247                             45
096                  TLT-23593                             12
097                  KMP-52243                             35
098                  YLW-92835                            174
099                  XKG-42573                             42
100                  AAV-93236                            177
