User ID: 30768-54860

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HZF-45469                            106
002                  JVL-65247                            142
003                  ANR-65636                             79
004                  EPX-87469                             93
005                  TNA-63396                            188
006                  CPU-63784                            110
007                  KMP-52243                            162
008                  ZPF-96697                             87
009                  DAU-26394                            109
010                  CDC-36833                            156
011                  PNF-53949                             58
012                  QBD-79865                             69
013                  URL-32968                             61
014                  VJN-37687                            113
015                  WMD-65834                            172
016                  CDC-36833                            153
017                  TNX-51117                            104
018                  BMN-57337                            195
019                  LNC-68448                            133
020                  EFG-46945                             36
021                  CQS-93978                             91
022                  AAV-93236                             18
023                  EFG-46945                            154
024                  TNX-51117                            180
025                  BTN-83953                            181
026                  PNF-53949                             81
027                  BMN-57337                            143
028                  HVX-35287                             75
029                  LWR-78574                             50
030                  EFG-46945                             96
031                  XBC-95594                            192
032                  HKZ-33728                              5
033                  PNF-53949                            137
034                  XBC-95594                             42
035                  YMA-56284                             83
036                  BTG-65524                             89
037                  HVX-35287                             11
038                  TLT-23593                            191
039                  QBD-79865                            105
040                  DAU-26394                             74
041                  GBK-45859                            136
042                  ZXB-54692                             62
043                  BTG-65524                             44
044                  ANR-65636                            116
045                  NXD-76943                             30
046                  TNA-63396                             34
047                  GZN-34688                             63
048                  WBB-69295                            138
049                  PQJ-67335                            170
050                  HVX-35287                            118
051                  XBC-95594                            121
052                  XRT-73276                            124
053                  FYK-67999                             71
054                  JYL-79355                            120
055                  VJN-37687                            165
056                  XJQ-35789                             24
057                  RGZ-73449                            199
058                  TNX-51117                             37
059                  VXR-68924                              9
060                  GBK-45859                            128
061                  EPX-87469                             40
062                  FNL-93857                             13
063                  FYK-67999                             70
064                  FYK-67999                            117
065                  CCG-95482                             48
066                  XBC-95594                            174
067                  KLA-57296                             32
068                  ZPF-96697                            163
069                  SPN-64546                             80
070                  PHE-99329                            147
071                  KQA-89952                             41
072                  YMA-56284                            196
073                  PZV-75529                             77
074                  PWT-38779                             84
075                  JPJ-26459                            179
076                  SZA-87265                            108
077                  PHE-99329                            185
078                  BTN-83953                             55
079                  FTD-84699                              4
080                  TQC-49936                             57
081                  FNL-93857                             35
082                  ANR-65636                            157
083                  TNA-63396                             39
084                  YMA-56284                            134
085                  TXF-47848                             28
086                  JVL-65247                             25
087                  PWT-38779                            141
088                  RLT-57887                            176
089                  TNA-63396                             73
090                  GBK-45859                             86
091                  HVX-35287                            187
092                  KWH-94256                            139
093                  QBD-79865                             31
094                  FTD-84699                            140
095                  TNA-63396                             65
096                  JPJ-26459                             92
097                  RLT-57887                             38
098                  JPJ-26459                             78
099                  HKZ-33728                            158
100                  HVE-32966                            184
