User ID: 76394-56172

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XJQ-35789                             46
002                  VXR-68924                            172
003                  CQS-93978                            119
004                  HZF-45469                            110
005                  LWR-78574                             60
006                  HVX-35287                            118
007                  PWT-38779                             33
008                  ZKV-31415                             65
009                  TNX-51117                            187
010                  URL-32968                            139
011                  HVE-32966                            199
012                  JPJ-26459                             29
013                  SPN-64546                             79
014                  DHY-22445                             77
015                  HZF-45469                            148
016                  RGZ-73449                             70
017                  VJN-37687                            142
018                  QBZ-39849                             84
019                  FYK-67999                              2
020                  ZPF-96697                            122
021                  RLT-57887                             61
022                  PWT-38779                             96
023                  SZA-87265                             39
024                  TXF-47848                            144
025                  WMD-65834                            192
026                  KDV-97563                            191
027                  BCU-27839                            176
028                  GBK-45859                             17
029                  XRT-73276                             88
030                  CQS-93978                            166
031                  FNR-28782                              3
032                  KQA-89952                            158
033                  FNL-93857                             72
034                  PZV-75529                              4
035                  XJQ-35789                             55
036                  XJQ-35789                              1
037                  PNF-53949                             31
038                  EPX-87469                             95
039                  XRT-73276                            179
040                  HNB-76282                            149
041                  PZV-75529                            180
042                  DHY-22445                            175
043                  TXF-47848                            123
044                  FNR-28782                              9
045                  KWH-94256                             19
046                  NXD-76943                            188
047                  URL-32968                             83
048                  HZF-45469                            163
049                  PQJ-67335                            108
050                  PQJ-67335                            101
051                  AJA-56777                            195
052                  CCG-95482                            182
053                  HZF-45469                            200
054                  ANR-65636                             64
055                  ZHA-83572                             23
056                  HNB-76282                             40
057                  JYL-79355                            121
058                  GZN-34688                            112
059                  SZA-87265                             11
060                  HVE-32966                            169
061                  VWM-74278                            116
062                  LZL-53762                             50
063                  PQJ-67335                             38
064                  KLA-57296                             37
065                  NXD-76943                            107
066                  LZL-53762                            117
067                  EFG-46945                            165
068                  JVL-65247                             16
069                  PHE-99329                              6
070                  QBZ-39849                             42
071                  CPU-63784                             81
072                  ZKV-31415                             32
073                  TNA-63396                             68
074                  WQB-83823                            160
075                  HZF-45469                             43
076                  ZPF-96697                             97
077                  FYK-67999                             80
078                  TNG-52497                            150
079                  RLT-57887                             78
080                  WQM-46249                            114
081                  ZKV-31415                            155
082                  VXR-68924                            197
083                  TXF-47848                            170
084                  PWT-38779                            167
085                  WQB-83823                            171
086                  FTD-84699                             57
087                  TQC-49936                             91
088                  TLT-23593                             76
089                  PQJ-67335                            141
090                  TNA-63396                             94
091                  TRM-27792                             53
092                  LNC-68448                             51
093                  ANR-65636                             82
094                  KWH-94256                            130
095                  ZHA-83572                            151
096                  FYK-67999                            120
097                  JVL-65247                            124
098                  YLW-92835                            152
099                  KDV-97563                             30
100                  BTN-83953                             85
