User ID: 09312-94888

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CQS-93978                            143
002                  NWL-28282                            104
003                  FYK-67999                              4
004                  GBK-45859                             41
005                  XKG-42573                            170
006                  GUJ-74444                            188
007                  QBD-79865                            161
008                  XRT-73276                            196
009                  NWL-28282                             42
010                  ZXB-54692                            197
011                  QBZ-39849                            126
012                  XRT-73276                            102
013                  FNR-28782                            164
014                  WMD-65834                            119
015                  FTD-84699                            139
016                  FTD-84699                             66
017                  XKG-42573                            113
018                  TQC-49936                             54
019                  WQM-46249                             13
020                  HKZ-33728                            166
021                  LWR-78574                             21
022                  YLW-92835                            184
023                  TLT-23593                             37
024                  KMP-52243                            120
025                  TXF-47848                             11
026                  CDC-36833                            163
027                  TNX-51117                             56
028                  GZN-34688                             46
029                  DAU-26394                            176
030                  GZN-34688                            144
031                  CDC-36833                            157
032                  JYL-79355                            156
033                  JVL-65247                            192
034                  VXR-68924                             81
035                  BMN-57337                            191
036                  NHP-43928                             52
037                  HCY-32686                             78
038                  HZF-45469                            165
039                  XJQ-35789                            178
040                  KDV-97563                             53
041                  KLA-57296                            195
042                  GUJ-74444                            172
043                  YXL-38878                             90
044                  TRM-27792                             87
045                  GUJ-74444                             48
046                  KQA-89952                             19
047                  XBC-95594                             71
048                  XRT-73276                             20
049                  ZPF-96697                            167
050                  URL-32968                            181
051                  AAV-93236                             72
052                  KMP-52243                             36
053                  BTN-83953                            115
054                  LZL-53762                             26
055                  JVL-65247                            123
056                  QBZ-39849                            168
057                  KDV-97563                             67
058                  PHE-99329                             24
059                  HKZ-33728                             10
060                  TNA-63396                             75
061                  PNF-53949                            107
062                  YBD-67688                             45
063                  TNA-63396                             99
064                  VXR-68924                             18
065                  BCU-27839                            122
066                  WQB-83823                             57
067                  EPX-87469                              2
068                  HKZ-33728                            134
069                  WBB-69295                             65
070                  YMA-56284                             39
071                  FYK-67999                             23
072                  YLW-92835                            173
073                  KWH-94256                             15
074                  QBZ-39849                             29
075                  XJQ-35789                             80
076                  VXR-68924                            100
077                  KWH-94256                            175
078                  KQA-89952                             92
079                  JPJ-26459                             91
080                  LNC-68448                            153
081                  YLW-92835                             89
082                  EFG-46945                             82
083                  CPU-63784                             22
084                  PZV-75529                             69
085                  YXL-38878                             97
086                  FYK-67999                             86
087                  JVL-65247                             63
088                  QBD-79865                              1
089                  URL-32968                            177
090                  FNL-93857                             16
091                  EPX-87469                            154
092                  LZL-53762                            198
093                  CPU-63784                            186
094                  WMD-65834                             94
095                  VWM-74278                            171
096                  XBC-95594                            199
097                  BMN-57337                             85
098                  KQA-89952                            147
099                  KDV-97563                             14
100                  TRM-27792                            124
