User ID: 98705-63702

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WBB-69295                             86
002                  GBK-45859                            178
003                  XRT-73276                             15
004                  BCU-27839                            183
005                  YLW-92835                             38
006                  FTD-84699                            159
007                  JPJ-26459                            181
008                  CQS-93978                            125
009                  NWL-28282                            199
010                  ZXB-54692                             99
011                  WQM-46249                            106
012                  QBD-79865                            105
013                  TXF-47848                            169
014                  YBD-67688                            192
015                  XJQ-35789                             85
016                  CQS-93978                             58
017                  HVX-35287                             83
018                  SPN-64546                              3
019                  SZA-87265                            184
020                  GBK-45859                            189
021                  KQA-89952                            118
022                  LZL-53762                            174
023                  ZXB-54692                            133
024                  QBD-79865                             24
025                  GBK-45859                            193
026                  BTN-83953                            152
027                  HCY-32686                             98
028                  XKG-42573                            145
029                  WBB-69295                             20
030                  KLA-57296                            191
031                  XBC-95594                            167
032                  DHY-22445                            190
033                  TRM-27792                            115
034                  PZV-75529                            182
035                  EFG-46945                              2
036                  LNC-68448                            100
037                  BTN-83953                             93
038                  PNF-53949                             94
039                  NWL-28282                             43
040                  HCY-32686                             61
041                  ANR-65636                             64
042                  PNF-53949                            137
043                  FTD-84699                            157
044                  KDV-97563                             30
045                  YLW-92835                            151
046                  LZL-53762                             65
047                  URL-32968                            120
048                  LNC-68448                            136
049                  HCY-32686                            107
050                  WMD-65834                             62
051                  NXD-76943                             52
052                  ZKV-31415                            146
053                  HVE-32966                             29
054                  AAV-93236                             53
055                  BMN-57337                             13
056                  URL-32968                             60
057                  GZN-34688                            142
058                  BTN-83953                             87
059                  YXL-38878                              9
060                  HKZ-33728                            179
061                  BTN-83953                             73
062                  HNB-76282                             68
063                  DAU-26394                            138
064                  KWH-94256                             34
065                  KDV-97563                            112
066                  XJQ-35789                             25
067                  TNG-52497                            155
068                  DAU-26394                             76
069                  FNR-28782                             28
070                  NHP-43928                             81
071                  HVE-32966                              6
072                  HZF-45469                            156
073                  EPX-87469                             18
074                  HKZ-33728                            131
075                  ZKV-31415                             95
076                  YBD-67688                            126
077                  WBB-69295                             82
078                  KQA-89952                             44
079                  URL-32968                            194
080                  QBZ-39849                             36
081                  ZPF-96697                            168
082                  PHE-99329                             37
083                  HVE-32966                            154
084                  EPX-87469                             88
085                  GZN-34688                             91
086                  JYL-79355                            102
087                  JPJ-26459                             39
088                  KQA-89952                            116
089                  FTD-84699                            175
090                  TNG-52497                             21
091                  WQM-46249                             41
092                  FYK-67999                            172
093                  TNA-63396                             67
094                  BTN-83953                            160
095                  TNA-63396                              4
096                  ANR-65636                            196
097                  VWM-74278                            111
098                  HVE-32966                             75
099                  ZPF-96697                             71
100                  KWH-94256                            121
