User ID: 52357-54349

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KWH-94256                            106
002                  QBZ-39849                            128
003                  ZXB-54692                            139
004                  RGZ-73449                             73
005                  EPX-87469                            132
006                  HCY-32686                             40
007                  WMD-65834                             15
008                  TXF-47848                            120
009                  TXF-47848                             74
010                  CPU-63784                             57
011                  FYK-67999                            112
012                  PWT-38779                             76
013                  XBC-95594                            122
014                  QBD-79865                            163
015                  NXD-76943                            196
016                  SPN-64546                             81
017                  KWH-94256                             93
018                  YXL-38878                            149
019                  HZF-45469                             80
020                  HNB-76282                            172
021                  ZPF-96697                            136
022                  ZKV-31415                             54
023                  TQC-49936                            114
024                  JVL-65247                             58
025                  FNR-28782                             85
026                  KLA-57296                            188
027                  XBC-95594                             24
028                  RGZ-73449                            121
029                  NWL-28282                             33
030                  BCU-27839                             10
031                  NVE-67597                            178
032                  PZV-75529                             39
033                  LZL-53762                            175
034                  TQC-49936                             38
035                  RGZ-73449                            186
036                  LZL-53762                             48
037                  PQJ-67335                             63
038                  ZXB-54692                             60
039                  YLW-92835                             19
040                  ANR-65636                            173
041                  TNX-51117                            152
042                  PZV-75529                            155
043                  TNG-52497                            169
044                  QBZ-39849                            130
045                  PWT-38779                            190
046                  EFG-46945                            170
047                  ANR-65636                              6
048                  GMS-89977                            101
049                  PHE-99329                            193
050                  JPJ-26459                             90
051                  ZHA-83572                            102
052                  PNF-53949                            162
053                  KQA-89952                             12
054                  PZV-75529                            137
055                  NMA-58554                            184
056                  TQC-49936                            161
057                  DAU-26394                            111
058                  QBZ-39849                             70
059                  DAU-26394                             66
060                  EFG-46945                            194
061                  NWL-28282                             89
062                  VJN-37687                             79
063                  GUJ-74444                             82
064                  KQA-89952                            199
065                  NWL-28282                            134
066                  NHP-43928                             72
067                  JPJ-26459                            123
068                  PNF-53949                            119
069                  HZF-45469                            126
070                  YXL-38878                             77
071                  SZA-87265                             22
072                  KLA-57296                            109
073                  HCY-32686                            108
074                  VJN-37687                             41
075                  PHE-99329                             43
076                  TNG-52497                             78
077                  YBD-67688                            192
078                  GBK-45859                             14
079                  FNR-28782                            183
080                  TNG-52497                             23
081                  LWR-78574                             13
082                  HVE-32966                            187
083                  RGZ-73449                            115
084                  XRT-73276                            135
085                  FYK-67999                            142
086                  URL-32968                             99
087                  HCY-32686                             69
088                  JVL-65247                            189
089                  FNL-93857                             30
090                  VXR-68924                             18
091                  BTN-83953                            164
092                  XRT-73276                            191
093                  GZN-34688                             51
094                  BMN-57337                             36
095                  RLT-57887                             42
096                  ZXB-54692                             62
097                  VWM-74278                            166
098                  NMA-58554                            154
099                  WBB-69295                             52
100                  JPJ-26459                            125
