User ID: 76394-56172

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBZ-39849                            189
002                  HZF-45469                            155
003                  WQB-83823                             45
004                  JVL-65247                            156
005                  CPU-63784                             29
006                  FYK-67999                             66
007                  PWT-38779                            165
008                  YBD-67688                             56
009                  EPX-87469                              3
010                  VWM-74278                             84
011                  BMN-57337                            103
012                  ZKV-31415                            101
013                  BTN-83953                             92
014                  NMA-58554                            160
015                  SZA-87265                             83
016                  BTN-83953                             39
017                  XKG-42573                            184
018                  KWH-94256                             33
019                  DAU-26394                            154
020                  VWM-74278                             48
021                  ZPF-96697                            181
022                  KMP-52243                             15
023                  KQA-89952                             54
024                  BMN-57337                            173
025                  NWL-28282                            194
026                  TQC-49936                             63
027                  AAV-93236                             65
028                  BTG-65524                            141
029                  FNL-93857                            119
030                  WQB-83823                             78
031                  FNL-93857                             86
032                  QBZ-39849                            177
033                  CDC-36833                             82
034                  SZA-87265                             55
035                  BMN-57337                            176
036                  SZA-87265                             11
037                  SPN-64546                            136
038                  NMA-58554                            143
039                  HZF-45469                            145
040                  QBZ-39849                            172
041                  HKZ-33728                            198
042                  BTN-83953                            107
043                  XKG-42573                            122
044                  TRM-27792                            183
045                  FYK-67999                            196
046                  PHE-99329                             22
047                  XKG-42573                            166
048                  QBZ-39849                             37
049                  NVE-67597                            150
050                  CQS-93978                             61
051                  BTG-65524                            121
052                  WQM-46249                             98
053                  JVL-65247                            171
054                  XKG-42573                             50
055                  ZKV-31415                              6
056                  KLA-57296                            125
057                  VWM-74278                             64
058                  JPJ-26459                              4
059                  FTD-84699                            135
060                  VWM-74278                            162
061                  TNX-51117                            109
062                  WQB-83823                              2
063                  BMN-57337                             67
064                  CQS-93978                            126
065                  AJA-56777                            117
066                  JYL-79355                            193
067                  ZHA-83572                             44
068                  AJA-56777                            167
069                  JPJ-26459                              7
070                  TRM-27792                            110
071                  NMA-58554                             40
072                  TRM-27792                             81
073                  HVE-32966                            152
074                  BTN-83953                             71
075                  FNL-93857                             25
076                  GMS-89977                            159
077                  TRM-27792                            161
078                  XRT-73276                             47
079                  TNG-52497                             62
080                  JVL-65247                            129
081                  VJN-37687                            114
082                  NHP-43928                             90
083                  FNL-93857                            180
084                  GBK-45859                             19
085                  PNF-53949                             70
086                  FYK-67999                             94
087                  TLT-23593                            147
088                  GBK-45859                             80
089                  HKZ-33728                            128
090                  TXF-47848                             72
091                  HZF-45469                             57
092                  TNA-63396                            139
093                  AJA-56777                             76
094                  JYL-79355                             85
095                  HNB-76282                            151
096                  TNA-63396                            153
097                  JYL-79355                             12
098                  PQJ-67335                            188
099                  FTD-84699                            120
100                  RLT-57887                             97
