User ID: 28739-05933

Trial                  Virus                             Units
---------------------------------------------------------------
001                  AJA-56777                             75
002                  LWR-78574                            107
003                  CCG-95482                            116
004                  PZV-75529                             19
005                  VJN-37687                            118
006                  XRT-73276                             29
007                  BMN-57337                            173
008                  KMP-52243                            189
009                  NWL-28282                             56
010                  LNC-68448                             57
011                  NHP-43928                             74
012                  QBD-79865                             30
013                  HZF-45469                             43
014                  WMD-65834                            141
015                  LZL-53762                            168
016                  TNA-63396                            112
017                  DAU-26394                             53
018                  WBB-69295                             37
019                  NHP-43928                            182
020                  BTG-65524                            130
021                  FYK-67999                             24
022                  YXL-38878                            128
023                  PHE-99329                            167
024                  TNG-52497                             65
025                  HCY-32686                            198
026                  XJQ-35789                             55
027                  GBK-45859                             85
028                  KLA-57296                             41
029                  HCY-32686                            121
030                  BTN-83953                            190
031                  TNG-52497                            108
032                  LNC-68448                             89
033                  FYK-67999                            143
034                  WQM-46249                            125
035                  YBD-67688                             42
036                  WQM-46249                             79
037                  WQB-83823                              4
038                  GBK-45859                             48
039                  URL-32968                            147
040                  FNL-93857                             39
041                  KWH-94256                             71
042                  XRT-73276                             84
043                  NVE-67597                            144
044                  KDV-97563                            191
045                  HVE-32966                             98
046                  BCU-27839                             80
047                  YBD-67688                             97
048                  HKZ-33728                             50
049                  BTN-83953                            170
050                  JVL-65247                              3
051                  HCY-32686                            177
052                  URL-32968                            176
053                  HCY-32686                             61
054                  BTN-83953                            101
055                  HZF-45469                             90
056                  PWT-38779                            161
057                  HVX-35287                            187
058                  AJA-56777                             49
059                  XBC-95594                             88
060                  JVL-65247                            193
061                  YBD-67688                             10
062                  PNF-53949                            109
063                  WQB-83823                             86
064                  PNF-53949                             58
065                  SZA-87265                            114
066                  JVL-65247                            165
067                  NXD-76943                            172
068                  KMP-52243                            174
069                  TNX-51117                             26
070                  QBD-79865                            111
071                  YLW-92835                            120
072                  TQC-49936                             73
073                  TNX-51117                            156
074                  YXL-38878                            134
075                  FNR-28782                            110
076                  TNA-63396                            154
077                  EPX-87469                             47
078                  LZL-53762                             20
079                  TRM-27792                              9
080                  FNR-28782                            180
081                  VWM-74278                             23
082                  HVE-32966                             22
083                  NWL-28282                            146
084                  FYK-67999                             52
085                  XBC-95594                             70
086                  ANR-65636                             14
087                  NWL-28282                            194
088                  GMS-89977                              1
089                  URL-32968                             82
090                  TLT-23593                             78
091                  PQJ-67335                             72
092                  KWH-94256                            136
093                  YBD-67688                             45
094                  NVE-67597                             21
095                  PNF-53949                            164
096                  PWT-38779                             63
097                  FYK-67999                             31
098                  TQC-49936                            181
099                  WQM-46249                            104
100                  TRM-27792                            122
