User ID: 69069-29232

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WBB-69295                             25
002                  WQB-83823                            152
003                  JPJ-26459                              3
004                  TLT-23593                            118
005                  JPJ-26459                             13
006                  XBC-95594                             94
007                  WQM-46249                             48
008                  WQM-46249                            181
009                  LNC-68448                            132
010                  AJA-56777                            135
011                  RGZ-73449                             20
012                  WMD-65834                            158
013                  AAV-93236                             99
014                  PQJ-67335                            185
015                  XKG-42573                            123
016                  QBZ-39849                            173
017                  WQB-83823                             15
018                  PZV-75529                             53
019                  TNX-51117                             75
020                  CPU-63784                            149
021                  SZA-87265                            110
022                  KWH-94256                            165
023                  KDV-97563                            134
024                  SZA-87265                             43
025                  VXR-68924                            150
026                  CCG-95482                             28
027                  KMP-52243                             33
028                  TRM-27792                             51
029                  WQM-46249                             57
030                  AJA-56777                            151
031                  EFG-46945                            197
032                  NXD-76943                            137
033                  GMS-89977                             71
034                  JVL-65247                            104
035                  DHY-22445                            198
036                  NWL-28282                              8
037                  RLT-57887                             11
038                  HNB-76282                             35
039                  NHP-43928                              4
040                  WMD-65834                            103
041                  XBC-95594                            172
042                  HZF-45469                             62
043                  AAV-93236                             64
044                  ANR-65636                            176
045                  VXR-68924                             85
046                  VXR-68924                             83
047                  CQS-93978                             74
048                  FYK-67999                            188
049                  ZHA-83572                            191
050                  HNB-76282                            178
051                  CCG-95482                            105
052                  HVE-32966                            108
053                  FNR-28782                            102
054                  LWR-78574                             89
055                  RLT-57887                            162
056                  YMA-56284                            182
057                  TNA-63396                             81
058                  HNB-76282                            190
059                  HVX-35287                             63
060                  RLT-57887                             84
061                  GBK-45859                            161
062                  BCU-27839                             10
063                  EFG-46945                             65
064                  GBK-45859                             24
065                  EPX-87469                             12
066                  BMN-57337                            177
067                  YBD-67688                             90
068                  YBD-67688                            179
069                  XBC-95594                             16
070                  PHE-99329                            129
071                  DAU-26394                            175
072                  GMS-89977                            128
073                  KMP-52243                            144
074                  ZHA-83572                             52
075                  ZKV-31415                             73
076                  TRM-27792                            155
077                  JVL-65247                             95
078                  SPN-64546                            131
079                  KMP-52243                             29
080                  ZXB-54692                            164
081                  KMP-52243                             30
082                  NWL-28282                            193
083                  XJQ-35789                            154
084                  CQS-93978                             37
085                  AJA-56777                             56
086                  QBZ-39849                            168
087                  VWM-74278                            113
088                  AAV-93236                            170
089                  PHE-99329                             82
090                  PZV-75529                             36
091                  GMS-89977                             40
092                  TNG-52497                             32
093                  YBD-67688                            124
094                  NHP-43928                            166
095                  XBC-95594                            180
096                  PWT-38779                            195
097                  BMN-57337                            115
098                  LZL-53762                            200
099                  HVX-35287                              7
100                  GMS-89977                             87
