User ID: 68186-76013

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LZL-53762                            148
002                  KDV-97563                             52
003                  LZL-53762                             74
004                  FYK-67999                            195
005                  QBD-79865                            160
006                  GBK-45859                            110
007                  LZL-53762                            169
008                  KQA-89952                            157
009                  CQS-93978                             28
010                  FNL-93857                            197
011                  GUJ-74444                            116
012                  TNA-63396                             31
013                  XKG-42573                             21
014                  TLT-23593                            158
015                  XRT-73276                             34
016                  TNG-52497                            180
017                  PHE-99329                            134
018                  GMS-89977                            107
019                  PHE-99329                             50
020                  ZPF-96697                             18
021                  WBB-69295                            119
022                  XRT-73276                             65
023                  FYK-67999                             13
024                  PHE-99329                             15
025                  TNG-52497                            184
026                  HCY-32686                             99
027                  TXF-47848                            118
028                  LZL-53762                            125
029                  HZF-45469                            194
030                  BTN-83953                             84
031                  FNL-93857                            149
032                  XKG-42573                            200
033                  FNR-28782                            142
034                  HVE-32966                            138
035                  AJA-56777                            188
036                  JVL-65247                             42
037                  GZN-34688                            109
038                  GZN-34688                             46
039                  FNL-93857                            126
040                  HZF-45469                            103
041                  EFG-46945                            151
042                  ANR-65636                            137
043                  QBZ-39849                             33
044                  WQM-46249                            112
045                  CCG-95482                            143
046                  XKG-42573                            178
047                  PQJ-67335                            199
048                  PNF-53949                            121
049                  KDV-97563                             49
050                  URL-32968                            155
051                  HNB-76282                             81
052                  PWT-38779                             72
053                  KLA-57296                            133
054                  HKZ-33728                             11
055                  PWT-38779                              4
056                  BCU-27839                            161
057                  TLT-23593                            144
058                  EPX-87469                             98
059                  SZA-87265                            124
060                  JVL-65247                            193
061                  HVX-35287                            183
062                  WMD-65834                            168
063                  DAU-26394                             59
064                  BTG-65524                             45
065                  WMD-65834                             92
066                  NHP-43928                            113
067                  ZKV-31415                            104
068                  HZF-45469                            196
069                  VJN-37687                            171
070                  KDV-97563                            150
071                  JVL-65247                             75
072                  FNL-93857                             78
073                  ZKV-31415                             77
074                  ZHA-83572                            181
075                  JVL-65247                            165
076                  WMD-65834                            108
077                  ZXB-54692                            147
078                  BMN-57337                            189
079                  URL-32968                             85
080                  FTD-84699                            179
081                  ANR-65636                            176
082                  VWM-74278                            105
083                  BTG-65524                             61
084                  PZV-75529                            163
085                  TNG-52497                            175
086                  PNF-53949                            129
087                  HNB-76282                             22
088                  QBZ-39849                            174
089                  YBD-67688                             60
090                  BCU-27839                            115
091                  LWR-78574                            111
092                  ZXB-54692                              2
093                  TNA-63396                            166
094                  EFG-46945                             67
095                  PHE-99329                            141
096                  ZPF-96697                            136
097                  TXF-47848                            130
098                  CCG-95482                            140
099                  PZV-75529                            164
100                  FNR-28782                             43
