User ID: 68186-76013

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LNC-68448                             87
002                  YBD-67688                            161
003                  TQC-49936                             81
004                  ZPF-96697                              6
005                  CCG-95482                             47
006                  GBK-45859                             80
007                  NMA-58554                            123
008                  GMS-89977                             91
009                  TRM-27792                              1
010                  YXL-38878                             10
011                  FNL-93857                             64
012                  HVE-32966                             78
013                  NWL-28282                             89
014                  PWT-38779                            120
015                  PHE-99329                             17
016                  BTG-65524                            188
017                  TXF-47848                            182
018                  SZA-87265                             39
019                  HKZ-33728                            158
020                  RLT-57887                            172
021                  KDV-97563                            114
022                  YLW-92835                            195
023                  ZPF-96697                             88
024                  YLW-92835                            149
025                  PWT-38779                            145
026                  KDV-97563                            191
027                  VJN-37687                             19
028                  YXL-38878                            175
029                  AAV-93236                            139
030                  AJA-56777                            108
031                  AJA-56777                            147
032                  KWH-94256                             84
033                  LNC-68448                            192
034                  JPJ-26459                            131
035                  EFG-46945                             77
036                  KLA-57296                             20
037                  BMN-57337                              3
038                  SZA-87265                            163
039                  FTD-84699                             67
040                  GUJ-74444                             12
041                  PWT-38779                             29
042                  WBB-69295                             63
043                  GMS-89977                            121
044                  WQB-83823                            180
045                  ZPF-96697                            144
046                  HCY-32686                             85
047                  DHY-22445                             90
048                  TXF-47848                            125
049                  VWM-74278                             82
050                  DAU-26394                             18
051                  TQC-49936                             98
052                  XRT-73276                             86
053                  NHP-43928                            101
054                  WMD-65834                             59
055                  GZN-34688                            174
056                  PZV-75529                             70
057                  KWH-94256                            190
058                  WQM-46249                             73
059                  HCY-32686                             96
060                  RGZ-73449                            148
061                  WQM-46249                             22
062                  TNG-52497                            105
063                  TLT-23593                             65
064                  TLT-23593                             76
065                  EFG-46945                            142
066                  WQB-83823                             26
067                  WMD-65834                             27
068                  NWL-28282                             16
069                  TNG-52497                            152
070                  NHP-43928                             54
071                  VXR-68924                             21
072                  VXR-68924                             41
073                  BTN-83953                            193
074                  HVE-32966                            103
075                  HNB-76282                            166
076                  KDV-97563                             40
077                  TNA-63396                            122
078                  URL-32968                             94
079                  JYL-79355                            200
080                  ZHA-83572                            179
081                  QBD-79865                            169
082                  NXD-76943                             44
083                  CDC-36833                             66
084                  ZPF-96697                             33
085                  WBB-69295                             49
086                  NVE-67597                              9
087                  VWM-74278                            150
088                  JVL-65247                            176
089                  VJN-37687                             11
090                  PHE-99329                             30
091                  RLT-57887                            110
092                  PNF-53949                            184
093                  TQC-49936                             56
094                  TXF-47848                             46
095                  PWT-38779                            164
096                  CQS-93978                            159
097                  KLA-57296                             92
098                  LZL-53762                            153
099                  NVE-67597                             42
100                  NMA-58554                              2
