User ID: 30575-77344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQB-83823                              4
002                  BTG-65524                             18
003                  HVX-35287                             87
004                  ZHA-83572                            105
005                  PWT-38779                            158
006                  CCG-95482                            179
007                  TRM-27792                             34
008                  XRT-73276                             65
009                  JYL-79355                            175
010                  VJN-37687                            166
011                  EFG-46945                            145
012                  EFG-46945                             51
013                  NMA-58554                            180
014                  YBD-67688                             46
015                  PWT-38779                             64
016                  ZHA-83572                             97
017                  FTD-84699                             17
018                  TNX-51117                             69
019                  BMN-57337                             45
020                  AAV-93236                            167
021                  LWR-78574                             35
022                  QBD-79865                             55
023                  HKZ-33728                            183
024                  ANR-65636                             50
025                  YBD-67688                             10
026                  NXD-76943                            144
027                  LNC-68448                             81
028                  TNA-63396                            159
029                  PWT-38779                            134
030                  HZF-45469                             67
031                  TQC-49936                             13
032                  TNG-52497                             80
033                  ZHA-83572                            100
034                  WMD-65834                            128
035                  XJQ-35789                            164
036                  HVE-32966                            161
037                  BTG-65524                            185
038                  YLW-92835                             27
039                  VXR-68924                            184
040                  WMD-65834                            139
041                  CPU-63784                            174
042                  ZHA-83572                             78
043                  PQJ-67335                            113
044                  HKZ-33728                            122
045                  DHY-22445                             61
046                  TRM-27792                             90
047                  TRM-27792                            168
048                  NMA-58554                             48
049                  RLT-57887                            190
050                  DHY-22445                             36
051                  NXD-76943                             28
052                  WQM-46249                            110
053                  CDC-36833                             75
054                  EFG-46945                            169
055                  ANR-65636                            177
056                  HVE-32966                            153
057                  SZA-87265                             43
058                  FNL-93857                            147
059                  KMP-52243                             58
060                  VJN-37687                            191
061                  BCU-27839                            170
062                  ZKV-31415                             14
063                  BMN-57337                            129
064                  CCG-95482                            155
065                  YXL-38878                             23
066                  FYK-67999                            102
067                  NHP-43928                            103
068                  HCY-32686                            176
069                  SZA-87265                            117
070                  HKZ-33728                             86
071                  LZL-53762                            151
072                  HVX-35287                            130
073                  SPN-64546                             31
074                  EFG-46945                            114
075                  BTN-83953                             39
076                  PNF-53949                              1
077                  VXR-68924                            181
078                  NVE-67597                             44
079                  URL-32968                            124
080                  NMA-58554                              5
081                  AAV-93236                            115
082                  PZV-75529                            198
083                  HNB-76282                            160
084                  FNR-28782                            132
085                  DHY-22445                             84
086                  DHY-22445                             22
087                  WBB-69295                            106
088                  BMN-57337                             91
089                  TQC-49936                             72
090                  TRM-27792                             93
091                  HKZ-33728                            138
092                  QBZ-39849                            178
093                  KLA-57296                             83
094                  XKG-42573                             60
095                  FYK-67999                             21
096                  CQS-93978                             62
097                  AAV-93236                            149
098                  JVL-65247                            101
099                  AJA-56777                              6
100                  FNL-93857                            196
