User ID: 99701-55213

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TXF-47848                             75
002                  TNA-63396                            118
003                  JYL-79355                              8
004                  NWL-28282                              9
005                  YBD-67688                             32
006                  PWT-38779                            143
007                  CPU-63784                             62
008                  CCG-95482                             38
009                  VJN-37687                            132
010                  TNX-51117                            151
011                  NWL-28282                             76
012                  HZF-45469                             41
013                  HNB-76282                            127
014                  CPU-63784                            146
015                  SZA-87265                            136
016                  LNC-68448                             39
017                  DAU-26394                             54
018                  QBD-79865                             44
019                  LNC-68448                             19
020                  NWL-28282                             92
021                  XJQ-35789                             80
022                  FYK-67999                             58
023                  JPJ-26459                             83
024                  ZXB-54692                              6
025                  PNF-53949                            171
026                  ZKV-31415                            165
027                  EFG-46945                             17
028                  YLW-92835                             16
029                  TNG-52497                            137
030                  YMA-56284                             29
031                  LZL-53762                            197
032                  PNF-53949                            106
033                  FTD-84699                             25
034                  TNA-63396                            193
035                  XJQ-35789                            150
036                  GMS-89977                             30
037                  LWR-78574                             73
038                  FYK-67999                             43
039                  PZV-75529                             70
040                  WBB-69295                            103
041                  GMS-89977                            110
042                  HZF-45469                            138
043                  LZL-53762                             68
044                  AJA-56777                             94
045                  BTG-65524                             84
046                  XKG-42573                             87
047                  XJQ-35789                            133
048                  NHP-43928                            147
049                  KLA-57296                             20
050                  EFG-46945                            186
051                  LNC-68448                              3
052                  TRM-27792                             21
053                  CQS-93978                            182
054                  VXR-68924                             10
055                  CPU-63784                             40
056                  ZXB-54692                             67
057                  PNF-53949                             46
058                  PZV-75529                            123
059                  LWR-78574                            102
060                  NVE-67597                             98
061                  LNC-68448                             88
062                  JVL-65247                            120
063                  CDC-36833                              1
064                  PZV-75529                            139
065                  LWR-78574                             31
066                  KMP-52243                             23
067                  VJN-37687                             13
068                  FNR-28782                            149
069                  DAU-26394                             14
070                  HKZ-33728                            125
071                  AJA-56777                             74
072                  CCG-95482                             85
073                  ZPF-96697                            157
074                  TLT-23593                             48
075                  TRM-27792                             42
076                  RGZ-73449                             59
077                  EFG-46945                             26
078                  HZF-45469                            188
079                  SZA-87265                            198
080                  TXF-47848                            177
081                  FNR-28782                            200
082                  TNA-63396                            108
083                  BMN-57337                             55
084                  WQB-83823                            134
085                  JPJ-26459                            173
086                  QBZ-39849                             86
087                  PNF-53949                            109
088                  NXD-76943                            100
089                  BTN-83953                            158
090                  LWR-78574                            176
091                  YXL-38878                             56
092                  QBZ-39849                            144
093                  HVE-32966                            131
094                  NXD-76943                            129
095                  NXD-76943                            161
096                  XKG-42573                            111
097                  HZF-45469                             71
098                  KLA-57296                             65
099                  QBZ-39849                            160
100                  HNB-76282                             37
