User ID: 02583-95216

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TRM-27792                            195
002                  KDV-97563                            121
003                  NMA-58554                            110
004                  KDV-97563                            115
005                  FTD-84699                            126
006                  EPX-87469                            103
007                  CPU-63784                            106
008                  DAU-26394                            158
009                  LNC-68448                             76
010                  HKZ-33728                             39
011                  CCG-95482                             93
012                  ZXB-54692                             36
013                  HNB-76282                            102
014                  CQS-93978                             69
015                  TNA-63396                            109
016                  ZXB-54692                            145
017                  WMD-65834                             51
018                  NHP-43928                            131
019                  ZKV-31415                            114
020                  CCG-95482                             86
021                  SZA-87265                             94
022                  QBD-79865                            153
023                  NMA-58554                            149
024                  CDC-36833                              4
025                  XJQ-35789                             80
026                  GZN-34688                            177
027                  BCU-27839                             17
028                  AJA-56777                             49
029                  TNX-51117                             20
030                  HKZ-33728                            104
031                  FNR-28782                            182
032                  GBK-45859                            139
033                  GMS-89977                             29
034                  KMP-52243                            156
035                  HNB-76282                            186
036                  ZXB-54692                             44
037                  XRT-73276                             52
038                  JPJ-26459                             40
039                  TNA-63396                            136
040                  YBD-67688                            179
041                  BMN-57337                             46
042                  LZL-53762                            138
043                  GMS-89977                             32
044                  JPJ-26459                             82
045                  LZL-53762                            119
046                  LZL-53762                             62
047                  AJA-56777                             87
048                  KQA-89952                             90
049                  YBD-67688                            123
050                  TNA-63396                             35
051                  BMN-57337                             48
052                  TNG-52497                             73
053                  YBD-67688                              7
054                  ZPF-96697                             57
055                  TLT-23593                            169
056                  WMD-65834                             71
057                  ZXB-54692                            160
058                  NHP-43928                             22
059                  WBB-69295                             64
060                  XJQ-35789                            157
061                  WQM-46249                            117
062                  HCY-32686                             66
063                  TLT-23593                            135
064                  YMA-56284                            168
065                  XRT-73276                             10
066                  BCU-27839                            134
067                  FTD-84699                            151
068                  XKG-42573                            170
069                  EPX-87469                            140
070                  KQA-89952                            176
071                  HCY-32686                            148
072                  LNC-68448                            164
073                  PHE-99329                            112
074                  SPN-64546                            155
075                  FNR-28782                            190
076                  GBK-45859                             98
077                  NHP-43928                             19
078                  WQM-46249                             54
079                  LZL-53762                            198
080                  SZA-87265                            191
081                  URL-32968                            161
082                  FNL-93857                            127
083                  JVL-65247                            129
084                  NHP-43928                              2
085                  LWR-78574                            116
086                  PHE-99329                            194
087                  KWH-94256                            181
088                  CPU-63784                             30
089                  EPX-87469                             99
090                  YXL-38878                             23
091                  VWM-74278                            154
092                  EPX-87469                             26
093                  ZXB-54692                             18
094                  NWL-28282                             78
095                  ZPF-96697                            159
096                  FNL-93857                             77
097                  PNF-53949                            180
098                  HCY-32686                              3
099                  YXL-38878                             59
100                  FNR-28782                            152
