User ID: 52477-58076

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNR-28782                            109
002                  JPJ-26459                            118
003                  TQC-49936                            143
004                  ZKV-31415                            174
005                  FYK-67999                             31
006                  WQB-83823                            117
007                  ZXB-54692                            178
008                  PQJ-67335                            173
009                  HNB-76282                            122
010                  JVL-65247                             50
011                  DHY-22445                             90
012                  LNC-68448                            166
013                  BTG-65524                            194
014                  CPU-63784                            152
015                  YMA-56284                            161
016                  YXL-38878                             86
017                  TNG-52497                             84
018                  TXF-47848                             37
019                  TLT-23593                             36
020                  RLT-57887                            167
021                  FTD-84699                             96
022                  FNR-28782                             53
023                  KLA-57296                            149
024                  SZA-87265                            158
025                  XJQ-35789                            128
026                  XKG-42573                             92
027                  ZHA-83572                            119
028                  AJA-56777                             35
029                  YMA-56284                             91
030                  BTG-65524                             62
031                  HNB-76282                            179
032                  CCG-95482                             60
033                  KDV-97563                            184
034                  WMD-65834                            131
035                  PNF-53949                             80
036                  BMN-57337                             64
037                  KQA-89952                            129
038                  XJQ-35789                            150
039                  KQA-89952                             82
040                  GZN-34688                            170
041                  NVE-67597                             18
042                  PQJ-67335                            120
043                  PZV-75529                             57
044                  BTN-83953                             73
045                  VJN-37687                            187
046                  FTD-84699                            130
047                  AAV-93236                            165
048                  LNC-68448                             97
049                  WMD-65834                            182
050                  FYK-67999                             33
051                  HVE-32966                            135
052                  WMD-65834                             44
053                  DHY-22445                            168
054                  VWM-74278                             23
055                  WQB-83823                            185
056                  TQC-49936                             47
057                  QBD-79865                             94
058                  HKZ-33728                            147
059                  NXD-76943                            175
060                  DAU-26394                             99
061                  LWR-78574                              6
062                  FYK-67999                            190
063                  CCG-95482                            188
064                  JVL-65247                            192
065                  YMA-56284                            191
066                  VJN-37687                            195
067                  AAV-93236                            141
068                  FNL-93857                            127
069                  PZV-75529                              2
070                  AAV-93236                             16
071                  YBD-67688                            162
072                  NVE-67597                            199
073                  TNA-63396                            159
074                  PQJ-67335                             34
075                  ZPF-96697                            113
076                  FNR-28782                             21
077                  PNF-53949                             39
078                  JVL-65247                            102
079                  SPN-64546                             69
080                  URL-32968                            171
081                  NMA-58554                             42
082                  NHP-43928                            193
083                  ZKV-31415                              3
084                  GBK-45859                            183
085                  DHY-22445                            186
086                  KDV-97563                             43
087                  BCU-27839                            133
088                  TNG-52497                            116
089                  TQC-49936                             22
090                  TNX-51117                             29
091                  WQM-46249                            181
092                  TNG-52497                             24
093                  LZL-53762                            108
094                  YXL-38878                              5
095                  PZV-75529                             88
096                  VJN-37687                            126
097                  TNA-63396                            140
098                  HNB-76282                            172
099                  SPN-64546                             48
100                  HVE-32966                            125
