User ID: 69069-29232

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQB-83823                             35
002                  TXF-47848                             11
003                  YBD-67688                             33
004                  PQJ-67335                            148
005                  BCU-27839                             20
006                  FTD-84699                             78
007                  BTG-65524                             43
008                  VWM-74278                              5
009                  SZA-87265                              2
010                  HNB-76282                             94
011                  HCY-32686                             41
012                  ANR-65636                              8
013                  XJQ-35789                            140
014                  PWT-38779                             40
015                  TLT-23593                            118
016                  NMA-58554                            144
017                  HKZ-33728                             74
018                  NXD-76943                            165
019                  HNB-76282                             71
020                  HCY-32686                            181
021                  KDV-97563                            133
022                  GZN-34688                            139
023                  JVL-65247                            147
024                  SZA-87265                             70
025                  LWR-78574                            143
026                  GZN-34688                            177
027                  LWR-78574                            197
028                  XJQ-35789                             67
029                  NVE-67597                            142
030                  CQS-93978                            135
031                  WMD-65834                            176
032                  FTD-84699                            155
033                  NVE-67597                            183
034                  ANR-65636                            116
035                  TRM-27792                            120
036                  NXD-76943                            161
037                  ZXB-54692                             80
038                  PZV-75529                            199
039                  URL-32968                             95
040                  XKG-42573                            137
041                  BTG-65524                             90
042                  XJQ-35789                            180
043                  TXF-47848                            114
044                  HCY-32686                            198
045                  ZHA-83572                             34
046                  VXR-68924                             77
047                  LWR-78574                             69
048                  VXR-68924                             83
049                  YBD-67688                             30
050                  GZN-34688                            162
051                  YMA-56284                            129
052                  JPJ-26459                             52
053                  LNC-68448                            103
054                  TQC-49936                            132
055                  VWM-74278                             56
056                  YLW-92835                             10
057                  RLT-57887                            167
058                  URL-32968                             28
059                  DAU-26394                             27
060                  TQC-49936                            115
061                  LWR-78574                             51
062                  QBZ-39849                            187
063                  AJA-56777                             57
064                  TNG-52497                             76
065                  TNA-63396                            195
066                  TNG-52497                             17
067                  KWH-94256                            164
068                  BTN-83953                             65
069                  YXL-38878                             92
070                  KLA-57296                            186
071                  AJA-56777                             14
072                  VWM-74278                            136
073                  XBC-95594                            200
074                  CCG-95482                             98
075                  TRM-27792                            150
076                  HKZ-33728                            149
077                  HKZ-33728                             29
078                  TXF-47848                             99
079                  XBC-95594                             66
080                  GBK-45859                            179
081                  JPJ-26459                             25
082                  CCG-95482                            194
083                  KQA-89952                             37
084                  XKG-42573                             87
085                  YLW-92835                             32
086                  AJA-56777                            178
087                  JVL-65247                            154
088                  NWL-28282                            171
089                  XJQ-35789                            111
090                  DHY-22445                             60
091                  FNL-93857                             36
092                  EPX-87469                              6
093                  CCG-95482                             18
094                  HCY-32686                             62
095                  ZKV-31415                            146
096                  WQB-83823                             44
097                  FTD-84699                             38
098                  TXF-47848                             49
099                  FNL-93857                            105
100                  FNR-28782                            172
