User ID: 44471-18426

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                            200
002                  QBD-79865                            155
003                  LZL-53762                            168
004                  HCY-32686                              7
005                  LNC-68448                             65
006                  XRT-73276                            107
007                  QBZ-39849                             60
008                  NXD-76943                            179
009                  ZKV-31415                             27
010                  BTG-65524                             16
011                  XBC-95594                             42
012                  QBZ-39849                            156
013                  SZA-87265                             22
014                  HVX-35287                             77
015                  PHE-99329                             34
016                  JYL-79355                             30
017                  TNX-51117                             83
018                  VWM-74278                            144
019                  FYK-67999                              4
020                  VWM-74278                            185
021                  HZF-45469                             44
022                  ANR-65636                            124
023                  PWT-38779                             35
024                  LZL-53762                            103
025                  NHP-43928                            184
026                  HVE-32966                             38
027                  NXD-76943                             73
028                  ANR-65636                            196
029                  TXF-47848                            165
030                  GZN-34688                            153
031                  JPJ-26459                            161
032                  CQS-93978                            115
033                  CPU-63784                            167
034                  QBD-79865                            134
035                  ZHA-83572                             29
036                  FNL-93857                            130
037                  CCG-95482                            150
038                  EPX-87469                             62
039                  PZV-75529                            128
040                  HVX-35287                             50
041                  DHY-22445                             69
042                  XJQ-35789                            101
043                  FNL-93857                            164
044                  SZA-87265                             17
045                  BTG-65524                            142
046                  XRT-73276                             92
047                  SZA-87265                            172
048                  NVE-67597                             41
049                  XKG-42573                             75
050                  RGZ-73449                             48
051                  AAV-93236                             15
052                  PHE-99329                             57
053                  VWM-74278                             86
054                  JVL-65247                             67
055                  HKZ-33728                             64
056                  TXF-47848                            187
057                  TNA-63396                             59
058                  GZN-34688                             36
059                  TRM-27792                            120
060                  FNR-28782                            198
061                  ZXB-54692                             47
062                  ZXB-54692                             26
063                  PZV-75529                            169
064                  QBZ-39849                            163
065                  SPN-64546                             76
066                  CQS-93978                              2
067                  FNR-28782                            104
068                  AAV-93236                            139
069                  HNB-76282                            197
070                  HZF-45469                             74
071                  CCG-95482                             51
072                  NXD-76943                            160
073                  JVL-65247                            188
074                  NVE-67597                             24
075                  VJN-37687                             80
076                  NVE-67597                            181
077                  FNL-93857                            126
078                  WMD-65834                            143
079                  BTG-65524                            176
080                  DHY-22445                             33
081                  QBZ-39849                            136
082                  GBK-45859                             31
083                  DAU-26394                              6
084                  BCU-27839                            159
085                  PNF-53949                             12
086                  DAU-26394                            119
087                  YBD-67688                            148
088                  NXD-76943                            127
089                  YXL-38878                            174
090                  NMA-58554                             95
091                  XBC-95594                            192
092                  NWL-28282                             96
093                  SZA-87265                             20
094                  WQB-83823                             14
095                  TNA-63396                            145
096                  XJQ-35789                             87
097                  HKZ-33728                            140
098                  FNL-93857                            132
099                  FTD-84699                            146
100                  YXL-38878                            189
