User ID: 87049-31809

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DAU-26394                            154
002                  HCY-32686                             77
003                  SPN-64546                            131
004                  TNA-63396                            166
005                  RGZ-73449                             29
006                  KLA-57296                            192
007                  CCG-95482                             76
008                  FNL-93857                            151
009                  WQM-46249                             41
010                  YLW-92835                            183
011                  HKZ-33728                            102
012                  RGZ-73449                             90
013                  CQS-93978                             71
014                  XRT-73276                            158
015                  KMP-52243                             22
016                  PWT-38779                            148
017                  ZKV-31415                             73
018                  LWR-78574                             89
019                  PHE-99329                             27
020                  CCG-95482                             35
021                  ANR-65636                            193
022                  BMN-57337                             92
023                  ZKV-31415                             49
024                  ZPF-96697                            190
025                  KQA-89952                            140
026                  BTN-83953                            117
027                  LWR-78574                              9
028                  LNC-68448                             43
029                  ZKV-31415                            161
030                  TNA-63396                            175
031                  KWH-94256                             81
032                  SPN-64546                             12
033                  YXL-38878                            146
034                  BCU-27839                             86
035                  AAV-93236                            181
036                  ZPF-96697                             98
037                  QBZ-39849                            162
038                  HVE-32966                             83
039                  BTG-65524                             37
040                  XKG-42573                            160
041                  KQA-89952                            173
042                  BCU-27839                             63
043                  AJA-56777                            195
044                  NXD-76943                            109
045                  DHY-22445                             44
046                  VXR-68924                            172
047                  URL-32968                            134
048                  RLT-57887                             59
049                  BTN-83953                             87
050                  VWM-74278                              3
051                  GBK-45859                            136
052                  SPN-64546                            130
053                  DHY-22445                             21
054                  PWT-38779                            182
055                  NWL-28282                            142
056                  WMD-65834                            107
057                  EPX-87469                            143
058                  RGZ-73449                            187
059                  KLA-57296                            200
060                  KMP-52243                             30
061                  FTD-84699                            138
062                  ANR-65636                            163
063                  ZHA-83572                            137
064                  URL-32968                            129
065                  KWH-94256                             67
066                  LNC-68448                            123
067                  PWT-38779                            164
068                  JYL-79355                            179
069                  AJA-56777                            197
070                  AJA-56777                             74
071                  YLW-92835                             68
072                  EFG-46945                             34
073                  KQA-89952                             14
074                  TQC-49936                            110
075                  GUJ-74444                            186
076                  HZF-45469                             17
077                  BTG-65524                            156
078                  YXL-38878                             69
079                  NWL-28282                             19
080                  YBD-67688                             65
081                  YLW-92835                             97
082                  FNL-93857                             13
083                  YXL-38878                            128
084                  VWM-74278                             82
085                  WMD-65834                             20
086                  DHY-22445                            104
087                  ZHA-83572                             51
088                  ANR-65636                             99
089                  WBB-69295                            114
090                  XBC-95594                            126
091                  CCG-95482                            147
092                  XKG-42573                            155
093                  TXF-47848                              6
094                  YMA-56284                            159
095                  HNB-76282                            198
096                  JYL-79355                             18
097                  EFG-46945                            113
098                  BTN-83953                            185
099                  WBB-69295                            171
100                  TNX-51117                            111
