User ID: 06139-33248

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TQC-49936                            140
002                  HNB-76282                             26
003                  RLT-57887                             25
004                  WQM-46249                              5
005                  CDC-36833                            194
006                  CDC-36833                            167
007                  RGZ-73449                             59
008                  ZPF-96697                             98
009                  TNG-52497                             58
010                  ZXB-54692                             42
011                  RLT-57887                             28
012                  WMD-65834                            181
013                  NVE-67597                             65
014                  GZN-34688                            149
015                  TNA-63396                            154
016                  GMS-89977                            195
017                  KQA-89952                            117
018                  HVE-32966                             40
019                  BMN-57337                            136
020                  DHY-22445                            128
021                  TLT-23593                            187
022                  LNC-68448                             10
023                  SZA-87265                            172
024                  KDV-97563                              1
025                  LWR-78574                             88
026                  WQB-83823                             47
027                  QBZ-39849                             24
028                  TXF-47848                            102
029                  LWR-78574                            165
030                  NVE-67597                             17
031                  TNA-63396                            170
032                  RGZ-73449                            129
033                  CDC-36833                             43
034                  AAV-93236                            152
035                  NXD-76943                             14
036                  FYK-67999                             15
037                  HVX-35287                             83
038                  WQB-83823                            169
039                  JYL-79355                            109
040                  KDV-97563                             19
041                  YMA-56284                            200
042                  WBB-69295                             74
043                  TNA-63396                             53
044                  VXR-68924                             60
045                  VXR-68924                             70
046                  GBK-45859                             38
047                  TNX-51117                             45
048                  DHY-22445                            183
049                  DAU-26394                             72
050                  QBZ-39849                            127
051                  VJN-37687                             96
052                  SZA-87265                             79
053                  BCU-27839                            168
054                  CDC-36833                             63
055                  HNB-76282                             11
056                  HVX-35287                             92
057                  HKZ-33728                             91
058                  GMS-89977                            125
059                  KLA-57296                            108
060                  EFG-46945                            104
061                  ZPF-96697                            118
062                  PZV-75529                             30
063                  FNR-28782                            106
064                  FNL-93857                             76
065                  YLW-92835                            164
066                  LNC-68448                             56
067                  BCU-27839                            151
068                  TQC-49936                            115
069                  HZF-45469                            163
070                  YBD-67688                            186
071                  PQJ-67335                             93
072                  BTN-83953                             68
073                  BMN-57337                            191
074                  WBB-69295                            116
075                  JYL-79355                             55
076                  KQA-89952                            162
077                  NXD-76943                            175
078                  XJQ-35789                             41
079                  TXF-47848                            182
080                  TXF-47848                            161
081                  VXR-68924                             99
082                  TRM-27792                            114
083                  PNF-53949                            196
084                  WMD-65834                            176
085                  LZL-53762                            160
086                  BTN-83953                             73
087                  XRT-73276                            122
088                  TXF-47848                            171
089                  SZA-87265                            153
090                  BTN-83953                            188
091                  XJQ-35789                            119
092                  HNB-76282                            123
093                  LZL-53762                             61
094                  PQJ-67335                            197
095                  GBK-45859                            148
096                  SZA-87265                             57
097                  HKZ-33728                            179
098                  BTG-65524                            139
099                  EFG-46945                            133
100                  YBD-67688                             52
