User ID: 23694-74441

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PZV-75529                              9
002                  HZF-45469                            157
003                  YMA-56284                             80
004                  NXD-76943                             89
005                  GUJ-74444                             96
006                  ZKV-31415                             50
007                  WMD-65834                             57
008                  BMN-57337                             38
009                  YBD-67688                            117
010                  ZHA-83572                             55
011                  KWH-94256                            176
012                  ZKV-31415                            115
013                  TNG-52497                            126
014                  WBB-69295                             42
015                  FYK-67999                            172
016                  QBD-79865                            185
017                  HVX-35287                            179
018                  AAV-93236                            198
019                  QBD-79865                             88
020                  ZPF-96697                            147
021                  NVE-67597                            142
022                  QBD-79865                            143
023                  JYL-79355                             67
024                  YXL-38878                             28
025                  XJQ-35789                            138
026                  XRT-73276                            127
027                  HVX-35287                             45
028                  URL-32968                            145
029                  AAV-93236                             98
030                  FTD-84699                             12
031                  VJN-37687                             93
032                  ZXB-54692                             29
033                  KWH-94256                            166
034                  TRM-27792                             33
035                  PHE-99329                              7
036                  PQJ-67335                            180
037                  NXD-76943                            163
038                  VWM-74278                             85
039                  TQC-49936                             10
040                  HNB-76282                            193
041                  LNC-68448                            165
042                  WMD-65834                            139
043                  VWM-74278                             76
044                  DHY-22445                            148
045                  XKG-42573                             92
046                  YMA-56284                            150
047                  AAV-93236                            153
048                  JYL-79355                            186
049                  ZPF-96697                            168
050                  DHY-22445                            169
051                  PZV-75529                             74
052                  SZA-87265                            200
053                  TQC-49936                              4
054                  EPX-87469                             47
055                  HNB-76282                            192
056                  GMS-89977                            195
057                  SZA-87265                             65
058                  FNL-93857                            141
059                  YXL-38878                            188
060                  XJQ-35789                             64
061                  GBK-45859                             77
062                  TNX-51117                             56
063                  BCU-27839                             53
064                  QBZ-39849                            162
065                  JPJ-26459                             81
066                  YLW-92835                            155
067                  GMS-89977                            109
068                  TRM-27792                              6
069                  VWM-74278                             26
070                  NXD-76943                            144
071                  SPN-64546                            140
072                  YBD-67688                            136
073                  FTD-84699                            129
074                  NXD-76943                              2
075                  TLT-23593                             58
076                  WBB-69295                             86
077                  JPJ-26459                             70
078                  TXF-47848                            196
079                  VWM-74278                             27
080                  HCY-32686                            187
081                  XKG-42573                             83
082                  XKG-42573                            158
083                  TNX-51117                              5
084                  TNG-52497                             19
085                  ZHA-83572                             43
086                  TNA-63396                             72
087                  NVE-67597                            171
088                  KDV-97563                             75
089                  HCY-32686                            182
090                  PZV-75529                            128
091                  SPN-64546                            116
092                  FTD-84699                             94
093                  HCY-32686                            175
094                  QBZ-39849                             87
095                  TNG-52497                            118
096                  CPU-63784                            194
097                  CDC-36833                             48
098                  BTN-83953                             34
099                  CCG-95482                             25
100                  VWM-74278                             59
