User ID: 19372-45052

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NVE-67597                            172
002                  CDC-36833                            151
003                  JPJ-26459                             61
004                  CCG-95482                            187
005                  DAU-26394                            105
006                  JPJ-26459                            185
007                  KDV-97563                             83
008                  URL-32968                            118
009                  EPX-87469                             21
010                  TRM-27792                             60
011                  CDC-36833                             25
012                  GZN-34688                             62
013                  VXR-68924                            137
014                  KDV-97563                            147
015                  VXR-68924                              3
016                  BMN-57337                            161
017                  NVE-67597                            170
018                  QBD-79865                             24
019                  CPU-63784                            153
020                  WQM-46249                             26
021                  TLT-23593                            198
022                  NWL-28282                            126
023                  KMP-52243                             20
024                  BCU-27839                            178
025                  WBB-69295                            184
026                  ZKV-31415                             49
027                  AJA-56777                            189
028                  GBK-45859                             43
029                  JYL-79355                              2
030                  HCY-32686                             91
031                  ZKV-31415                             32
032                  TXF-47848                             72
033                  VXR-68924                             67
034                  NVE-67597                            106
035                  URL-32968                              7
036                  CDC-36833                              1
037                  GBK-45859                             73
038                  JYL-79355                            103
039                  CQS-93978                             41
040                  PHE-99329                            164
041                  HVX-35287                            175
042                  FNL-93857                             40
043                  LWR-78574                            168
044                  TQC-49936                            100
045                  PZV-75529                             92
046                  GZN-34688                            119
047                  BTG-65524                             33
048                  ZKV-31415                            131
049                  FNL-93857                            191
050                  LWR-78574                             77
051                  ZXB-54692                             54
052                  WBB-69295                            155
053                  EPX-87469                            124
054                  EFG-46945                             76
055                  TNA-63396                            149
056                  BTG-65524                            154
057                  FNL-93857                            179
058                  HKZ-33728                            101
059                  PHE-99329                            123
060                  TRM-27792                            150
061                  HKZ-33728                            125
062                  CQS-93978                            167
063                  TLT-23593                             81
064                  FYK-67999                            111
065                  KQA-89952                            200
066                  EPX-87469                             99
067                  ZKV-31415                            115
068                  VXR-68924                             19
069                  KWH-94256                            166
070                  VWM-74278                            173
071                  PZV-75529                            165
072                  WQM-46249                             82
073                  LZL-53762                             36
074                  KQA-89952                            146
075                  DHY-22445                             17
076                  JPJ-26459                            138
077                  LZL-53762                            176
078                  TNX-51117                             34
079                  CDC-36833                             52
080                  NXD-76943                            109
081                  JYL-79355                            112
082                  ZKV-31415                             94
083                  YMA-56284                            158
084                  KWH-94256                             69
085                  PZV-75529                              4
086                  CDC-36833                             86
087                  SZA-87265                             13
088                  TXF-47848                             64
089                  GUJ-74444                            194
090                  GZN-34688                            152
091                  PNF-53949                              8
092                  HNB-76282                             96
093                  NHP-43928                             50
094                  QBD-79865                            199
095                  PNF-53949                            140
096                  FNL-93857                              9
097                  BTN-83953                             93
098                  XKG-42573                             66
099                  TNX-51117                             14
100                  KMP-52243                             15
