User ID: 05481-39385

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GZN-34688                            139
002                  NWL-28282                             79
003                  NWL-28282                            150
004                  GBK-45859                             72
005                  HVX-35287                            107
006                  HVE-32966                            112
007                  CCG-95482                            122
008                  KMP-52243                            167
009                  GBK-45859                            135
010                  RLT-57887                            182
011                  DHY-22445                             71
012                  HZF-45469                             22
013                  YLW-92835                             62
014                  BCU-27839                             41
015                  PHE-99329                             11
016                  NWL-28282                             59
017                  PQJ-67335                             26
018                  CPU-63784                            178
019                  JVL-65247                            109
020                  GMS-89977                             28
021                  RLT-57887                             43
022                  BCU-27839                             91
023                  BTN-83953                             12
024                  GBK-45859                             19
025                  NWL-28282                             98
026                  PHE-99329                            151
027                  NVE-67597                            183
028                  TNG-52497                            158
029                  WBB-69295                             23
030                  ANR-65636                            103
031                  FYK-67999                            133
032                  ZHA-83572                            165
033                  BTN-83953                            100
034                  BMN-57337                             21
035                  WQB-83823                            180
036                  PWT-38779                             45
037                  FTD-84699                             93
038                  HCY-32686                            110
039                  XBC-95594                            196
040                  HZF-45469                            152
041                  FNR-28782                             69
042                  PZV-75529                             86
043                  DAU-26394                             85
044                  FNR-28782                            173
045                  QBZ-39849                            200
046                  XKG-42573                             49
047                  HNB-76282                             37
048                  XJQ-35789                            128
049                  KLA-57296                             96
050                  NVE-67597                             33
051                  NWL-28282                             16
052                  WQB-83823                            104
053                  AAV-93236                             30
054                  VWM-74278                            192
055                  YXL-38878                            161
056                  FTD-84699                             63
057                  AJA-56777                            119
058                  JYL-79355                            166
059                  HNB-76282                             44
060                  ZPF-96697                            120
061                  SPN-64546                            118
062                  AJA-56777                             51
063                  ZPF-96697                             67
064                  JYL-79355                             66
065                  XKG-42573                            185
066                  TNG-52497                            106
067                  BTG-65524                              8
068                  RLT-57887                             56
069                  ZXB-54692                            137
070                  FNR-28782                            179
071                  QBZ-39849                             14
072                  CQS-93978                            171
073                  FNL-93857                             29
074                  WQB-83823                             10
075                  XBC-95594                             97
076                  YBD-67688                              6
077                  YXL-38878                            189
078                  VJN-37687                            114
079                  JPJ-26459                             88
080                  HCY-32686                             77
081                  BTG-65524                             48
082                  LNC-68448                            148
083                  JVL-65247                            175
084                  PNF-53949                             24
085                  VJN-37687                            199
086                  EPX-87469                            194
087                  CPU-63784                             83
088                  URL-32968                             54
089                  VJN-37687                            130
090                  WQM-46249                            195
091                  TXF-47848                            156
092                  DAU-26394                             70
093                  WQM-46249                            162
094                  JPJ-26459                            147
095                  XRT-73276                            198
096                  EFG-46945                             78
097                  ZKV-31415                            197
098                  RLT-57887                            157
099                  KLA-57296                            184
100                  VJN-37687                            115
