User ID: 06139-33248

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HCY-32686                             91
002                  AAV-93236                             49
003                  QBZ-39849                            137
004                  KQA-89952                            177
005                  RGZ-73449                            131
006                  PHE-99329                            117
007                  VWM-74278                            133
008                  URL-32968                             42
009                  CQS-93978                            114
010                  XBC-95594                            143
011                  CQS-93978                            142
012                  LZL-53762                             55
013                  TLT-23593                            111
014                  AJA-56777                            173
015                  GMS-89977                            107
016                  BTG-65524                             73
017                  NHP-43928                             51
018                  CCG-95482                            145
019                  NXD-76943                             48
020                  WMD-65834                            118
021                  URL-32968                            116
022                  HVX-35287                              4
023                  KWH-94256                             22
024                  KDV-97563                            195
025                  LNC-68448                             24
026                  JVL-65247                            161
027                  EFG-46945                             82
028                  JVL-65247                            152
029                  NMA-58554                             54
030                  RGZ-73449                             38
031                  BCU-27839                              3
032                  VJN-37687                             60
033                  QBZ-39849                            187
034                  LWR-78574                            120
035                  TLT-23593                            101
036                  KLA-57296                             59
037                  PQJ-67335                             44
038                  BTN-83953                             99
039                  VJN-37687                             89
040                  QBD-79865                             56
041                  GMS-89977                            146
042                  WMD-65834                            200
043                  AAV-93236                             33
044                  NVE-67597                             63
045                  RGZ-73449                             83
046                  PWT-38779                             58
047                  JVL-65247                            112
048                  VJN-37687                            171
049                  QBD-79865                             21
050                  SPN-64546                            182
051                  YLW-92835                             18
052                  BTN-83953                             88
053                  TLT-23593                              8
054                  GMS-89977                              2
055                  YXL-38878                            186
056                  GMS-89977                            176
057                  WBB-69295                            119
058                  KQA-89952                             84
059                  BMN-57337                             70
060                  TXF-47848                             85
061                  DHY-22445                             74
062                  TQC-49936                            102
063                  WMD-65834                             14
064                  NXD-76943                            165
065                  BTG-65524                            158
066                  WMD-65834                            198
067                  HCY-32686                            185
068                  HKZ-33728                            136
069                  CPU-63784                            121
070                  ANR-65636                            183
071                  URL-32968                             41
072                  PWT-38779                             11
073                  HZF-45469                             37
074                  GBK-45859                             68
075                  YLW-92835                             31
076                  TNA-63396                            108
077                  LZL-53762                             90
078                  FYK-67999                            132
079                  ZHA-83572                             30
080                  EFG-46945                            124
081                  NMA-58554                             20
082                  TNA-63396                             29
083                  HVX-35287                            166
084                  NMA-58554                            147
085                  RGZ-73449                            189
086                  KLA-57296                            138
087                  LZL-53762                            150
088                  AAV-93236                            110
089                  NMA-58554                            128
090                  FNL-93857                             53
091                  TNG-52497                            153
092                  TLT-23593                            169
093                  PWT-38779                             12
094                  BTN-83953                             94
095                  RGZ-73449                             36
096                  FNL-93857                             72
097                  KLA-57296                             87
098                  FNR-28782                            181
099                  HKZ-33728                            162
100                  FNL-93857                             15
