User ID: 18118-03371

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CPU-63784                             54
002                  FTD-84699                             42
003                  ZPF-96697                            185
004                  EPX-87469                             81
005                  GMS-89977                            165
006                  PNF-53949                            100
007                  BMN-57337                            102
008                  HKZ-33728                            141
009                  ZKV-31415                            127
010                  YLW-92835                            139
011                  DAU-26394                             93
012                  PZV-75529                            158
013                  NWL-28282                            138
014                  DAU-26394                            103
015                  FTD-84699                             94
016                  HVX-35287                            175
017                  WBB-69295                            184
018                  KLA-57296                             87
019                  SPN-64546                             55
020                  PNF-53949                             13
021                  LNC-68448                            199
022                  JPJ-26459                            130
023                  YXL-38878                            171
024                  YLW-92835                            108
025                  TLT-23593                            196
026                  TXF-47848                             23
027                  YMA-56284                            151
028                  TQC-49936                            125
029                  EPX-87469                              1
030                  KWH-94256                            126
031                  PQJ-67335                             59
032                  NXD-76943                            137
033                  FNR-28782                             35
034                  GBK-45859                             83
035                  TQC-49936                            195
036                  NVE-67597                             39
037                  WMD-65834                             17
038                  PNF-53949                            145
039                  FTD-84699                            136
040                  HCY-32686                             62
041                  CPU-63784                             71
042                  KQA-89952                            188
043                  XBC-95594                             49
044                  BCU-27839                            133
045                  YLW-92835                            117
046                  NVE-67597                            183
047                  TNG-52497                             73
048                  BMN-57337                             37
049                  CDC-36833                            161
050                  VJN-37687                            131
051                  EFG-46945                              3
052                  ZPF-96697                            152
053                  QBZ-39849                            113
054                  VJN-37687                            167
055                  PHE-99329                            115
056                  WBB-69295                             46
057                  GMS-89977                            109
058                  GUJ-74444                             15
059                  NVE-67597                             45
060                  XKG-42573                            191
061                  CPU-63784                            168
062                  DAU-26394                             89
063                  FNR-28782                              2
064                  GZN-34688                            110
065                  TRM-27792                            129
066                  RLT-57887                             34
067                  AAV-93236                             86
068                  ZHA-83572                            193
069                  KMP-52243                             41
070                  CPU-63784                             79
071                  AAV-93236                            140
072                  FTD-84699                            180
073                  ANR-65636                            144
074                  URL-32968                             31
075                  LZL-53762                            157
076                  WMD-65834                             51
077                  PQJ-67335                             30
078                  GBK-45859                            163
079                  WBB-69295                             33
080                  ANR-65636                            142
081                  SZA-87265                            114
082                  PQJ-67335                            166
083                  ANR-65636                            174
084                  YBD-67688                            190
085                  VXR-68924                            104
086                  KDV-97563                             26
087                  GBK-45859                            147
088                  KDV-97563                             74
089                  RLT-57887                            186
090                  YBD-67688                             77
091                  GMS-89977                             64
092                  BTN-83953                            192
093                  XJQ-35789                             12
094                  NWL-28282                            160
095                  CQS-93978                            105
096                  NMA-58554                             63
097                  DAU-26394                              7
098                  NXD-76943                             92
099                  VXR-68924                             67
100                  WMD-65834                             88
