User ID: 01524-65380

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JYL-79355                            164
002                  ZHA-83572                            187
003                  SZA-87265                            160
004                  VJN-37687                            125
005                  HKZ-33728                             74
006                  TNX-51117                             43
007                  HZF-45469                            194
008                  HZF-45469                            178
009                  KWH-94256                             19
010                  URL-32968                             97
011                  QBZ-39849                             94
012                  CQS-93978                            124
013                  EPX-87469                            107
014                  LNC-68448                            109
015                  HVE-32966                            171
016                  CQS-93978                             44
017                  YBD-67688                            126
018                  PWT-38779                            170
019                  LZL-53762                             29
020                  NMA-58554                            122
021                  CPU-63784                            181
022                  NHP-43928                            162
023                  BCU-27839                             78
024                  TLT-23593                             46
025                  LZL-53762                             85
026                  YBD-67688                             92
027                  NVE-67597                             55
028                  HVE-32966                             62
029                  HZF-45469                             64
030                  LZL-53762                             50
031                  GBK-45859                             70
032                  PZV-75529                            153
033                  BTG-65524                             52
034                  YXL-38878                            168
035                  HVX-35287                             60
036                  DAU-26394                             81
037                  CDC-36833                             69
038                  ZPF-96697                            140
039                  YMA-56284                            172
040                  XRT-73276                             63
041                  TRM-27792                            199
042                  CPU-63784                            106
043                  LNC-68448                             36
044                  KWH-94256                            139
045                  NVE-67597                             72
046                  WQB-83823                              3
047                  SPN-64546                            144
048                  PZV-75529                            113
049                  RLT-57887                             40
050                  CPU-63784                             22
051                  TQC-49936                             39
052                  KQA-89952                            137
053                  KQA-89952                             11
054                  CCG-95482                             95
055                  HNB-76282                             71
056                  QBZ-39849                             93
057                  VWM-74278                            145
058                  BTG-65524                             68
059                  CDC-36833                             59
060                  PZV-75529                            141
061                  GBK-45859                             33
062                  SPN-64546                            176
063                  LWR-78574                             86
064                  SPN-64546                            179
065                  EFG-46945                            169
066                  TNA-63396                             99
067                  AJA-56777                            143
068                  QBZ-39849                             83
069                  LNC-68448                            128
070                  NWL-28282                             66
071                  NXD-76943                             96
072                  BTN-83953                            110
073                  HCY-32686                             54
074                  AJA-56777                            136
075                  TNX-51117                              6
076                  TNG-52497                            184
077                  TXF-47848                            163
078                  TNX-51117                            116
079                  CPU-63784                            114
080                  TXF-47848                            188
081                  YMA-56284                             82
082                  PQJ-67335                              9
083                  BTG-65524                            115
084                  TNX-51117                            190
085                  YBD-67688                             10
086                  URL-32968                            104
087                  NWL-28282                              8
088                  WQM-46249                            118
089                  VXR-68924                            132
090                  ZXB-54692                            117
091                  VJN-37687                            129
092                  CCG-95482                             89
093                  TRM-27792                             76
094                  NVE-67597                             15
095                  GMS-89977                            174
096                  BMN-57337                            177
097                  VWM-74278                              5
098                  YXL-38878                             20
099                  NWL-28282                             42
100                  EPX-87469                            200
