User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TXF-47848                            180
002                  QBD-79865                             93
003                  VXR-68924                            173
004                  EPX-87469                             72
005                  ZXB-54692                             22
006                  EPX-87469                             44
007                  TNG-52497                            192
008                  NHP-43928                             81
009                  YXL-38878                              4
010                  XRT-73276                             26
011                  GZN-34688                            149
012                  HCY-32686                            105
013                  AAV-93236                            166
014                  QBD-79865                            142
015                  KDV-97563                             40
016                  TRM-27792                             29
017                  CDC-36833                            199
018                  GUJ-74444                             98
019                  BTN-83953                            171
020                  ZPF-96697                             32
021                  SPN-64546                            197
022                  ZPF-96697                             74
023                  WBB-69295                            109
024                  FNL-93857                            148
025                  SZA-87265                              9
026                  HCY-32686                             59
027                  JVL-65247                            101
028                  AAV-93236                             89
029                  BMN-57337                             94
030                  FNR-28782                            119
031                  KMP-52243                              5
032                  WQM-46249                            108
033                  PWT-38779                             95
034                  DAU-26394                            130
035                  VWM-74278                            181
036                  SZA-87265                             55
037                  DAU-26394                             83
038                  XBC-95594                            185
039                  HNB-76282                            134
040                  PWT-38779                            182
041                  GBK-45859                             67
042                  TNA-63396                             96
043                  XBC-95594                            112
044                  GMS-89977                             68
045                  YBD-67688                             87
046                  ZPF-96697                            133
047                  GZN-34688                             92
048                  YMA-56284                             39
049                  GMS-89977                            143
050                  HVX-35287                             60
051                  AJA-56777                              3
052                  LZL-53762                            191
053                  CQS-93978                             25
054                  CCG-95482                            161
055                  HKZ-33728                            193
056                  JPJ-26459                            124
057                  KQA-89952                            140
058                  VXR-68924                             82
059                  XBC-95594                            188
060                  QBD-79865                            153
061                  YLW-92835                             88
062                  CCG-95482                            174
063                  HZF-45469                            179
064                  DAU-26394                             69
065                  LWR-78574                             27
066                  BTG-65524                             62
067                  YXL-38878                             75
068                  GBK-45859                            136
069                  YXL-38878                             99
070                  CCG-95482                            152
071                  KWH-94256                            175
072                  BMN-57337                             16
073                  CCG-95482                            160
074                  XJQ-35789                            129
075                  SZA-87265                             11
076                  BCU-27839                            184
077                  KLA-57296                            178
078                  GMS-89977                            170
079                  YLW-92835                            151
080                  TNG-52497                             36
081                  QBD-79865                            145
082                  XKG-42573                            126
083                  RGZ-73449                             37
084                  QBZ-39849                             20
085                  NVE-67597                             48
086                  TLT-23593                             53
087                  PWT-38779                             79
088                  BTN-83953                             77
089                  WQM-46249                            155
090                  RLT-57887                             14
091                  PNF-53949                            157
092                  JVL-65247                            190
093                  VWM-74278                            186
094                  WMD-65834                            169
095                  CPU-63784                             66
096                  DAU-26394                            116
097                  DAU-26394                            113
098                  GBK-45859                             56
099                  ZXB-54692                             49
100                  JPJ-26459                             61
