User ID: 52477-58076

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TRM-27792                            160
002                  CPU-63784                             52
003                  NWL-28282                            177
004                  PQJ-67335                              4
005                  ANR-65636                             73
006                  TQC-49936                            178
007                  QBZ-39849                            187
008                  ZHA-83572                             43
009                  PHE-99329                            191
010                  VWM-74278                            150
011                  HZF-45469                             80
012                  BTG-65524                            106
013                  KMP-52243                            170
014                  BCU-27839                             78
015                  DAU-26394                             67
016                  KQA-89952                            157
017                  RGZ-73449                            161
018                  BCU-27839                             71
019                  BMN-57337                             87
020                  HNB-76282                             33
021                  HKZ-33728                             22
022                  GUJ-74444                            141
023                  CDC-36833                             35
024                  XBC-95594                            116
025                  LZL-53762                            128
026                  DAU-26394                              6
027                  QBD-79865                            138
028                  ZHA-83572                             28
029                  NWL-28282                             99
030                  ZHA-83572                             42
031                  JPJ-26459                            114
032                  FNL-93857                             44
033                  NMA-58554                            133
034                  TQC-49936                              8
035                  KQA-89952                             76
036                  KMP-52243                            121
037                  HKZ-33728                             61
038                  ZPF-96697                            159
039                  HKZ-33728                            117
040                  WQM-46249                             74
041                  ZXB-54692                            151
042                  WQM-46249                              1
043                  CDC-36833                             46
044                  VJN-37687                            148
045                  URL-32968                             98
046                  PHE-99329                            167
047                  SZA-87265                             84
048                  FNR-28782                              5
049                  NWL-28282                            162
050                  JVL-65247                            134
051                  KQA-89952                             77
052                  TRM-27792                            143
053                  HNB-76282                             39
054                  ZHA-83572                             86
055                  ANR-65636                            155
056                  WBB-69295                              9
057                  ZKV-31415                            179
058                  HVX-35287                            142
059                  PQJ-67335                             65
060                  YLW-92835                            137
061                  TNX-51117                            109
062                  SPN-64546                             34
063                  JYL-79355                             32
064                  HVE-32966                             31
065                  AAV-93236                            166
066                  GUJ-74444                            182
067                  DHY-22445                            164
068                  YBD-67688                            149
069                  BTG-65524                             50
070                  RLT-57887                            185
071                  PWT-38779                             97
072                  PNF-53949                             47
073                  HCY-32686                             18
074                  ZHA-83572                            176
075                  XBC-95594                             15
076                  NXD-76943                             40
077                  ZXB-54692                            100
078                  PHE-99329                             60
079                  YXL-38878                             51
080                  GUJ-74444                             19
081                  CQS-93978                             25
082                  NXD-76943                            195
083                  WBB-69295                            104
084                  TNA-63396                             53
085                  TXF-47848                            115
086                  WMD-65834                             58
087                  HKZ-33728                             79
088                  TNG-52497                            153
089                  LZL-53762                             63
090                  YXL-38878                             66
091                  EPX-87469                            127
092                  HZF-45469                             91
093                  SZA-87265                            119
094                  BCU-27839                            154
095                  HNB-76282                            165
096                  BTN-83953                            198
097                  RGZ-73449                             94
098                  ZHA-83572                             68
099                  HVE-32966                            123
100                  VJN-37687                             85
