User ID: 07958-57397

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                             37
002                  FYK-67999                            138
003                  WQM-46249                             77
004                  KWH-94256                             92
005                  TNA-63396                            103
006                  DAU-26394                            188
007                  QBZ-39849                            137
008                  BCU-27839                            106
009                  RLT-57887                            153
010                  PWT-38779                             51
011                  ANR-65636                             70
012                  NVE-67597                            185
013                  LNC-68448                             10
014                  TNA-63396                            145
015                  GZN-34688                            156
016                  ZHA-83572                            164
017                  BTN-83953                            178
018                  VWM-74278                            186
019                  JPJ-26459                            148
020                  TXF-47848                             60
021                  XBC-95594                            187
022                  KMP-52243                            124
023                  WBB-69295                             14
024                  WMD-65834                            101
025                  GZN-34688                             98
026                  XJQ-35789                            112
027                  KLA-57296                            177
028                  JVL-65247                            181
029                  KQA-89952                            109
030                  PZV-75529                            119
031                  DHY-22445                             28
032                  HVE-32966                             57
033                  WQM-46249                             95
034                  GUJ-74444                             39
035                  PZV-75529                            195
036                  XJQ-35789                             53
037                  GBK-45859                            200
038                  YMA-56284                             15
039                  HZF-45469                            157
040                  BCU-27839                            126
041                  KDV-97563                             18
042                  JYL-79355                            172
043                  HNB-76282                             26
044                  TQC-49936                             58
045                  NVE-67597                             22
046                  PHE-99329                            136
047                  NXD-76943                            102
048                  FYK-67999                            147
049                  HVX-35287                            144
050                  KDV-97563                             20
051                  HNB-76282                            191
052                  HVX-35287                            158
053                  XRT-73276                             27
054                  VXR-68924                              1
055                  PWT-38779                            167
056                  LWR-78574                             46
057                  NHP-43928                            180
058                  HVE-32966                             85
059                  VXR-68924                             50
060                  TRM-27792                             84
061                  PZV-75529                            183
062                  SPN-64546                             61
063                  XRT-73276                             23
064                  YBD-67688                             96
065                  HZF-45469                            162
066                  PNF-53949                             69
067                  KQA-89952                            182
068                  BTN-83953                            159
069                  KDV-97563                            193
070                  TLT-23593                            115
071                  HNB-76282                             74
072                  WQM-46249                             62
073                  FTD-84699                            117
074                  YBD-67688                             78
075                  PHE-99329                            111
076                  WQM-46249                            174
077                  TXF-47848                             25
078                  QBZ-39849                             87
079                  XRT-73276                             36
080                  LWR-78574                             91
081                  FNR-28782                            170
082                  PQJ-67335                            143
083                  QBD-79865                             45
084                  BTN-83953                            128
085                  LWR-78574                            146
086                  KWH-94256                             72
087                  KWH-94256                             41
088                  DAU-26394                             17
089                  QBD-79865                            196
090                  QBD-79865                            140
091                  CQS-93978                            176
092                  JPJ-26459                             32
093                  KWH-94256                            155
094                  QBZ-39849                             55
095                  YBD-67688                            142
096                  QBD-79865                            107
097                  LNC-68448                            190
098                  XJQ-35789                            120
099                  WQB-83823                            135
100                  DHY-22445                            125
