User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CPU-63784                             68
002                  CCG-95482                            199
003                  FNR-28782                            133
004                  BTN-83953                            131
005                  XJQ-35789                             14
006                  PWT-38779                            167
007                  EFG-46945                            100
008                  KWH-94256                            166
009                  FNL-93857                            104
010                  PNF-53949                             86
011                  CCG-95482                            128
012                  QBZ-39849                             77
013                  LNC-68448                             45
014                  ZPF-96697                            112
015                  QBD-79865                             36
016                  CCG-95482                            105
017                  FYK-67999                             16
018                  FYK-67999                             83
019                  KWH-94256                             39
020                  TQC-49936                             78
021                  CCG-95482                            125
022                  WMD-65834                             84
023                  ZKV-31415                             10
024                  VWM-74278                            147
025                  FTD-84699                             93
026                  GUJ-74444                             42
027                  PNF-53949                             67
028                  XKG-42573                            115
029                  WQB-83823                             27
030                  ZPF-96697                            194
031                  PQJ-67335                            180
032                  PWT-38779                            109
033                  TLT-23593                            159
034                  YBD-67688                             31
035                  FNL-93857                             64
036                  TNG-52497                            157
037                  QBZ-39849                            135
038                  ZKV-31415                            117
039                  JPJ-26459                             29
040                  FNR-28782                             28
041                  PZV-75529                             63
042                  PNF-53949                            146
043                  VWM-74278                            114
044                  TXF-47848                            154
045                  TNG-52497                             95
046                  TLT-23593                            141
047                  HCY-32686                             52
048                  KWH-94256                             47
049                  CQS-93978                             24
050                  NHP-43928                             89
051                  XBC-95594                             62
052                  GZN-34688                            136
053                  KDV-97563                            163
054                  CPU-63784                            138
055                  XKG-42573                            137
056                  JVL-65247                            185
057                  NVE-67597                             11
058                  RLT-57887                             65
059                  YMA-56284                             53
060                  TNX-51117                            200
061                  RGZ-73449                            191
062                  FNL-93857                             51
063                  LNC-68448                            132
064                  GBK-45859                             94
065                  QBZ-39849                            160
066                  HVE-32966                             49
067                  YLW-92835                             17
068                  GUJ-74444                             38
069                  AAV-93236                            179
070                  NXD-76943                            143
071                  AJA-56777                            102
072                  GMS-89977                            118
073                  VWM-74278                            126
074                  TLT-23593                            134
075                  XRT-73276                            193
076                  HVE-32966                            195
077                  RLT-57887                            142
078                  HZF-45469                            156
079                  ZKV-31415                             21
080                  TXF-47848                             71
081                  PQJ-67335                            164
082                  JPJ-26459                            186
083                  BTN-83953                             58
084                  VJN-37687                             76
085                  BTN-83953                            184
086                  AAV-93236                             70
087                  NMA-58554                             80
088                  TQC-49936                            197
089                  NXD-76943                            122
090                  XKG-42573                             57
091                  WQM-46249                             43
092                  TNX-51117                             50
093                  LNC-68448                             98
094                  FNL-93857                            140
095                  GZN-34688                             69
096                  HCY-32686                             13
097                  HCY-32686                            101
098                  TQC-49936                             66
099                  XJQ-35789                            149
100                  RGZ-73449                             59
