User ID: 35036-62750

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XKG-42573                            163
002                  WBB-69295                            177
003                  NHP-43928                            133
004                  SPN-64546                              6
005                  EPX-87469                              5
006                  GZN-34688                            173
007                  DHY-22445                             70
008                  RLT-57887                             79
009                  HVX-35287                            129
010                  KLA-57296                            102
011                  ZXB-54692                             41
012                  XKG-42573                             68
013                  RLT-57887                            141
014                  TNA-63396                             55
015                  BMN-57337                            200
016                  WBB-69295                             21
017                  WQM-46249                             59
018                  DHY-22445                             20
019                  NWL-28282                             37
020                  JVL-65247                             87
021                  NHP-43928                             17
022                  KQA-89952                            161
023                  XJQ-35789                            128
024                  WQM-46249                            150
025                  BMN-57337                            169
026                  EFG-46945                             24
027                  XBC-95594                            172
028                  TNA-63396                             46
029                  LZL-53762                            152
030                  HVX-35287                             31
031                  NXD-76943                             91
032                  WQB-83823                            192
033                  BCU-27839                             94
034                  GZN-34688                            175
035                  NMA-58554                             27
036                  FNR-28782                            181
037                  EFG-46945                             83
038                  TNA-63396                            199
039                  XRT-73276                            119
040                  KLA-57296                            149
041                  ANR-65636                            139
042                  PNF-53949                             90
043                  FTD-84699                            126
044                  HNB-76282                             12
045                  DAU-26394                            114
046                  JVL-65247                            124
047                  VWM-74278                            136
048                  GZN-34688                            194
049                  GMS-89977                             14
050                  GBK-45859                            197
051                  FTD-84699                             23
052                  NXD-76943                            170
053                  BCU-27839                            165
054                  SPN-64546                            117
055                  NVE-67597                            116
056                  VWM-74278                            135
057                  ZKV-31415                            196
058                  FTD-84699                            190
059                  KDV-97563                            138
060                  LNC-68448                             93
061                  EPX-87469                             56
062                  NWL-28282                            103
063                  HVX-35287                            121
064                  PNF-53949                            107
065                  RLT-57887                            164
066                  QBZ-39849                             60
067                  JVL-65247                            123
068                  URL-32968                             85
069                  RGZ-73449                              7
070                  KLA-57296                             63
071                  KMP-52243                             36
072                  KDV-97563                             77
073                  GUJ-74444                             88
074                  HZF-45469                             50
075                  PWT-38779                            171
076                  YXL-38878                             11
077                  KQA-89952                            143
078                  KDV-97563                             65
079                  CPU-63784                             97
080                  WBB-69295                            134
081                  XRT-73276                            160
082                  KQA-89952                            142
083                  ZPF-96697                            186
084                  BTG-65524                             42
085                  JYL-79355                            137
086                  YMA-56284                            159
087                  FNR-28782                             62
088                  YMA-56284                            198
089                  TLT-23593                              4
090                  BMN-57337                             95
091                  XKG-42573                              2
092                  YMA-56284                              1
093                  RLT-57887                            101
094                  LZL-53762                             13
095                  PNF-53949                             76
096                  NHP-43928                             18
097                  FNR-28782                             39
098                  DAU-26394                             22
099                  AJA-56777                            144
100                  TQC-49936                            182
