User ID: 49728-91010

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CCG-95482                            136
002                  FTD-84699                            104
003                  LWR-78574                             81
004                  GUJ-74444                            123
005                  CDC-36833                            181
006                  HCY-32686                             22
007                  XRT-73276                            110
008                  HNB-76282                             87
009                  KLA-57296                             30
010                  TRM-27792                             83
011                  CDC-36833                             62
012                  PHE-99329                            126
013                  JPJ-26459                             35
014                  ZHA-83572                             92
015                  XBC-95594                             12
016                  BTG-65524                              2
017                  KQA-89952                             56
018                  GBK-45859                            179
019                  ZXB-54692                              4
020                  YBD-67688                            159
021                  VJN-37687                             43
022                  AAV-93236                            191
023                  TLT-23593                             86
024                  GUJ-74444                             58
025                  LWR-78574                             61
026                  KDV-97563                             48
027                  AAV-93236                            137
028                  TXF-47848                             71
029                  NHP-43928                            199
030                  ZKV-31415                             49
031                  DHY-22445                            168
032                  YXL-38878                             67
033                  DAU-26394                             91
034                  RGZ-73449                              9
035                  GUJ-74444                             52
036                  EFG-46945                            197
037                  NXD-76943                             74
038                  KWH-94256                            111
039                  RLT-57887                             88
040                  DAU-26394                             57
041                  BMN-57337                            164
042                  GBK-45859                            174
043                  TNA-63396                             68
044                  CPU-63784                             37
045                  KQA-89952                            200
046                  AJA-56777                            121
047                  VXR-68924                            124
048                  BTN-83953                            180
049                  KWH-94256                            134
050                  SPN-64546                              1
051                  LWR-78574                            112
052                  KWH-94256                             36
053                  HNB-76282                            133
054                  QBD-79865                            117
055                  XKG-42573                            153
056                  BTN-83953                            145
057                  NMA-58554                             20
058                  AAV-93236                             23
059                  GMS-89977                            185
060                  NHP-43928                             11
061                  TRM-27792                            178
062                  GMS-89977                             95
063                  XKG-42573                             28
064                  JPJ-26459                            130
065                  URL-32968                             18
066                  KWH-94256                             64
067                  XKG-42573                             80
068                  DHY-22445                            160
069                  DHY-22445                            135
070                  CPU-63784                            176
071                  VJN-37687                            131
072                  BCU-27839                            193
073                  KLA-57296                             40
074                  XBC-95594                            172
075                  RGZ-73449                            116
076                  KMP-52243                             14
077                  LZL-53762                            103
078                  FNL-93857                            105
079                  ZKV-31415                             82
080                  ZHA-83572                            144
081                  TNG-52497                             47
082                  EFG-46945                            113
083                  HVE-32966                              7
084                  FNR-28782                             34
085                  KLA-57296                            175
086                  NMA-58554                             16
087                  BTN-83953                            150
088                  GZN-34688                             54
089                  HVX-35287                            147
090                  JYL-79355                             19
091                  VWM-74278                            165
092                  WMD-65834                            163
093                  ZKV-31415                            114
094                  RLT-57887                            177
095                  NWL-28282                             39
096                  NWL-28282                             46
097                  LNC-68448                             15
098                  ZKV-31415                            171
099                  RLT-57887                            186
100                  RLT-57887                            109
