User ID: 26032-51883

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                             63
002                  BTG-65524                            165
003                  JPJ-26459                            113
004                  PHE-99329                             67
005                  BCU-27839                            106
006                  PWT-38779                            183
007                  HKZ-33728                            139
008                  WQB-83823                            132
009                  WBB-69295                            125
010                  NMA-58554                            168
011                  FYK-67999                             43
012                  XJQ-35789                             30
013                  PWT-38779                            158
014                  KQA-89952                            116
015                  JYL-79355                            118
016                  CQS-93978                            110
017                  NXD-76943                            142
018                  FNR-28782                             17
019                  CDC-36833                             50
020                  JYL-79355                            114
021                  LNC-68448                            144
022                  XKG-42573                             29
023                  BCU-27839                              6
024                  XBC-95594                             52
025                  HZF-45469                             32
026                  WBB-69295                            120
027                  NMA-58554                             25
028                  BTG-65524                            122
029                  PQJ-67335                            163
030                  ZXB-54692                              1
031                  PNF-53949                            169
032                  PQJ-67335                            124
033                  DAU-26394                            172
034                  KQA-89952                              8
035                  GBK-45859                             68
036                  HKZ-33728                             86
037                  TNA-63396                            185
038                  XBC-95594                             81
039                  PZV-75529                            129
040                  XJQ-35789                              4
041                  PQJ-67335                             95
042                  VXR-68924                            133
043                  XRT-73276                            155
044                  GMS-89977                            147
045                  JYL-79355                            189
046                  QBZ-39849                            140
047                  XKG-42573                            199
048                  ANR-65636                            100
049                  FNR-28782                              9
050                  WQM-46249                             20
051                  QBD-79865                             35
052                  CPU-63784                            161
053                  EPX-87469                            196
054                  NVE-67597                             13
055                  JVL-65247                             38
056                  CDC-36833                            117
057                  VXR-68924                              5
058                  KMP-52243                            104
059                  AJA-56777                             84
060                  NHP-43928                              3
061                  YXL-38878                            136
062                  VXR-68924                             83
063                  FNL-93857                             53
064                  KMP-52243                            179
065                  SPN-64546                            131
066                  HVX-35287                             33
067                  VJN-37687                             96
068                  AJA-56777                            188
069                  GUJ-74444                             90
070                  FNR-28782                             59
071                  PHE-99329                            115
072                  KDV-97563                             60
073                  LNC-68448                             69
074                  PQJ-67335                            166
075                  EPX-87469                             61
076                  XRT-73276                            119
077                  SPN-64546                             66
078                  XBC-95594                             91
079                  ANR-65636                            151
080                  JPJ-26459                            134
081                  VJN-37687                             24
082                  CPU-63784                             71
083                  KWH-94256                            153
084                  NVE-67597                            200
085                  EPX-87469                            159
086                  ZKV-31415                            102
087                  GUJ-74444                             21
088                  FTD-84699                             78
089                  CDC-36833                             72
090                  VWM-74278                             77
091                  FNR-28782                            108
092                  VJN-37687                            141
093                  YMA-56284                             10
094                  FTD-84699                             87
095                  NMA-58554                            107
096                  QBD-79865                            178
097                  PHE-99329                             94
098                  KDV-97563                             65
099                  RGZ-73449                             42
100                  KLA-57296                            137
