User ID: 39210-49975

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FYK-67999                            186
002                  ANR-65636                             76
003                  BTG-65524                            197
004                  YLW-92835                            108
005                  CQS-93978                            137
006                  HCY-32686                             51
007                  XKG-42573                             29
008                  JVL-65247                            193
009                  ANR-65636                            112
010                  DAU-26394                            190
011                  CDC-36833                            180
012                  GBK-45859                             94
013                  GBK-45859                            113
014                  YXL-38878                            178
015                  PQJ-67335                             25
016                  HVX-35287                            182
017                  PQJ-67335                            142
018                  TQC-49936                             36
019                  URL-32968                            198
020                  XJQ-35789                             16
021                  HVX-35287                            172
022                  SZA-87265                            175
023                  AAV-93236                             11
024                  KMP-52243                             44
025                  HVE-32966                             31
026                  CDC-36833                            148
027                  NHP-43928                            147
028                  SPN-64546                             10
029                  NXD-76943                             62
030                  YLW-92835                            118
031                  HKZ-33728                            170
032                  FYK-67999                             77
033                  YMA-56284                             52
034                  EFG-46945                             26
035                  FTD-84699                            176
036                  LNC-68448                             41
037                  FTD-84699                             35
038                  KWH-94256                            166
039                  XRT-73276                             86
040                  NHP-43928                            177
041                  KDV-97563                            181
042                  TLT-23593                            139
043                  WMD-65834                            125
044                  ZXB-54692                             99
045                  CCG-95482                             23
046                  WBB-69295                            111
047                  TQC-49936                            194
048                  CCG-95482                             39
049                  YLW-92835                              3
050                  BCU-27839                              9
051                  KMP-52243                             91
052                  AAV-93236                            151
053                  GZN-34688                             92
054                  NXD-76943                              7
055                  HNB-76282                            155
056                  XJQ-35789                            149
057                  HZF-45469                            101
058                  BTN-83953                            167
059                  AJA-56777                            129
060                  CCG-95482                            135
061                  KDV-97563                             78
062                  HNB-76282                             21
063                  PWT-38779                             13
064                  WQM-46249                            159
065                  BTG-65524                             67
066                  TLT-23593                             69
067                  TNX-51117                            103
068                  LWR-78574                            100
069                  DAU-26394                             88
070                  SPN-64546                            192
071                  CCG-95482                            158
072                  QBD-79865                            174
073                  JYL-79355                              1
074                  NXD-76943                             96
075                  RGZ-73449                             12
076                  AAV-93236                             43
077                  EPX-87469                             60
078                  EFG-46945                             17
079                  RGZ-73449                             38
080                  KMP-52243                            105
081                  GUJ-74444                            104
082                  FNR-28782                             90
083                  WQM-46249                            162
084                  PZV-75529                            115
085                  VWM-74278                            128
086                  NMA-58554                             61
087                  HNB-76282                             56
088                  KMP-52243                            131
089                  AAV-93236                            160
090                  KQA-89952                            122
091                  PWT-38779                             27
092                  BTN-83953                              2
093                  FYK-67999                             59
094                  TNG-52497                            126
095                  LNC-68448                            145
096                  CDC-36833                             66
097                  HVE-32966                            164
098                  FTD-84699                              4
099                  XKG-42573                             24
100                  HVX-35287                            199
