User ID: 35036-62750

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVX-35287                            105
002                  XKG-42573                            112
003                  HZF-45469                             23
004                  QBZ-39849                            144
005                  SZA-87265                             38
006                  HVE-32966                             90
007                  BTN-83953                             37
008                  JVL-65247                            156
009                  NMA-58554                             44
010                  HCY-32686                             65
011                  BCU-27839                            158
012                  NVE-67597                            163
013                  WBB-69295                            172
014                  NVE-67597                             45
015                  CPU-63784                            141
016                  KWH-94256                            166
017                  YBD-67688                            199
018                  URL-32968                             35
019                  CPU-63784                            196
020                  CDC-36833                            159
021                  BMN-57337                             51
022                  FTD-84699                            200
023                  AJA-56777                            143
024                  EPX-87469                            179
025                  XBC-95594                              5
026                  TLT-23593                            130
027                  WQM-46249                            170
028                  TLT-23593                             25
029                  PZV-75529                            108
030                  SZA-87265                             43
031                  CQS-93978                            140
032                  ANR-65636                            137
033                  WQM-46249                            147
034                  TXF-47848                             75
035                  NHP-43928                             33
036                  YMA-56284                            145
037                  FTD-84699                             21
038                  CPU-63784                            117
039                  DAU-26394                              6
040                  YMA-56284                              3
041                  TRM-27792                             69
042                  PHE-99329                            164
043                  JYL-79355                             60
044                  HKZ-33728                            126
045                  GBK-45859                            119
046                  LNC-68448                             52
047                  JPJ-26459                            174
048                  GMS-89977                            198
049                  HVE-32966                            138
050                  FNL-93857                            149
051                  FNR-28782                             91
052                  PZV-75529                             78
053                  TNA-63396                             76
054                  JPJ-26459                             85
055                  TQC-49936                            116
056                  CQS-93978                            181
057                  GBK-45859                             32
058                  WBB-69295                            186
059                  PHE-99329                            151
060                  HVE-32966                            188
061                  BCU-27839                             88
062                  AJA-56777                            124
063                  KQA-89952                            193
064                  CCG-95482                              1
065                  NHP-43928                             81
066                  NXD-76943                             89
067                  NHP-43928                            107
068                  URL-32968                             66
069                  GBK-45859                            176
070                  LWR-78574                             12
071                  KLA-57296                             28
072                  KDV-97563                             84
073                  QBD-79865                            133
074                  WQB-83823                            192
075                  CPU-63784                              8
076                  PZV-75529                            155
077                  NWL-28282                             15
078                  PZV-75529                             56
079                  FYK-67999                            189
080                  CPU-63784                            191
081                  PZV-75529                            178
082                  PNF-53949                             80
083                  GBK-45859                            171
084                  YBD-67688                             79
085                  TNX-51117                            129
086                  CPU-63784                              2
087                  CPU-63784                             59
088                  DHY-22445                            190
089                  KQA-89952                            142
090                  TRM-27792                            182
091                  XRT-73276                            106
092                  LNC-68448                             71
093                  XKG-42573                             72
094                  PZV-75529                            135
095                  NXD-76943                             68
096                  HCY-32686                            152
097                  XKG-42573                            154
098                  TNX-51117                             10
099                  YMA-56284                             30
100                  NWL-28282                            136
