User ID: 05074-62754

Trial                  Virus                             Units
---------------------------------------------------------------
001                  AJA-56777                             41
002                  NHP-43928                            114
003                  VWM-74278                            190
004                  DHY-22445                            102
005                  BMN-57337                             42
006                  NWL-28282                             76
007                  KDV-97563                             93
008                  CPU-63784                            127
009                  TQC-49936                            137
010                  VJN-37687                            132
011                  HZF-45469                             40
012                  KDV-97563                             66
013                  LZL-53762                             15
014                  BMN-57337                             44
015                  PZV-75529                            112
016                  KDV-97563                             32
017                  VXR-68924                             54
018                  GBK-45859                             55
019                  XJQ-35789                            144
020                  KLA-57296                            141
021                  ZXB-54692                             58
022                  LZL-53762                             75
023                  NXD-76943                            154
024                  HNB-76282                             48
025                  BTG-65524                              6
026                  BTG-65524                            158
027                  FNR-28782                             78
028                  CPU-63784                             21
029                  GBK-45859                             36
030                  VWM-74278                            122
031                  TLT-23593                             56
032                  TQC-49936                             88
033                  LZL-53762                            160
034                  TLT-23593                            134
035                  NWL-28282                            152
036                  RGZ-73449                             37
037                  WMD-65834                            200
038                  XJQ-35789                              1
039                  LZL-53762                            131
040                  BCU-27839                            120
041                  GUJ-74444                             92
042                  TNA-63396                            142
043                  AAV-93236                             51
044                  QBZ-39849                            110
045                  PNF-53949                             68
046                  XKG-42573                            161
047                  JYL-79355                              8
048                  VWM-74278                            182
049                  JYL-79355                            107
050                  EFG-46945                            178
051                  KWH-94256                             46
052                  LZL-53762                            173
053                  JPJ-26459                             95
054                  TNX-51117                            140
055                  EFG-46945                             60
056                  SPN-64546                              2
057                  FNL-93857                            128
058                  GZN-34688                            187
059                  LWR-78574                             17
060                  XBC-95594                             27
061                  TQC-49936                            189
062                  GUJ-74444                             80
063                  FTD-84699                            108
064                  EPX-87469                            151
065                  GZN-34688                             64
066                  HVE-32966                            196
067                  KLA-57296                            150
068                  CDC-36833                            159
069                  HCY-32686                            188
070                  KLA-57296                            149
071                  HCY-32686                             31
072                  XBC-95594                            166
073                  BMN-57337                            195
074                  SZA-87265                            146
075                  GZN-34688                             97
076                  NHP-43928                            129
077                  TQC-49936                            135
078                  KDV-97563                             43
079                  KWH-94256                            143
080                  JVL-65247                            121
081                  QBZ-39849                            133
082                  CDC-36833                             13
083                  YLW-92835                            185
084                  YXL-38878                            191
085                  BMN-57337                            167
086                  RLT-57887                            192
087                  GMS-89977                             12
088                  VJN-37687                             10
089                  RGZ-73449                            147
090                  KWH-94256                            115
091                  QBD-79865                             91
092                  QBZ-39849                             84
093                  BMN-57337                             96
094                  WQB-83823                            183
095                  CCG-95482                              9
096                  KLA-57296                            125
097                  CQS-93978                            156
098                  HZF-45469                             59
099                  YLW-92835                            123
100                  DHY-22445                            130
