User ID: 01524-65380

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NWL-28282                            189
002                  WBB-69295                            157
003                  HNB-76282                            186
004                  QBD-79865                            101
005                  GMS-89977                             99
006                  KMP-52243                            194
007                  TRM-27792                             31
008                  YMA-56284                             46
009                  XJQ-35789                            159
010                  NHP-43928                            110
011                  EPX-87469                            183
012                  NXD-76943                             11
013                  SPN-64546                            133
014                  BTN-83953                            104
015                  JPJ-26459                             34
016                  ZHA-83572                             59
017                  NWL-28282                            195
018                  TQC-49936                             70
019                  SPN-64546                             47
020                  ZKV-31415                            185
021                  CPU-63784                            147
022                  HZF-45469                             94
023                  LWR-78574                             56
024                  TRM-27792                             93
025                  KDV-97563                            164
026                  GUJ-74444                            154
027                  GBK-45859                            113
028                  FYK-67999                            161
029                  ZXB-54692                            117
030                  AJA-56777                            170
031                  PQJ-67335                             37
032                  TLT-23593                             61
033                  JYL-79355                            168
034                  BTN-83953                             73
035                  JVL-65247                            167
036                  RLT-57887                            135
037                  HVE-32966                             32
038                  TNX-51117                             95
039                  FYK-67999                            134
040                  TNA-63396                            180
041                  NHP-43928                             77
042                  PHE-99329                            177
043                  QBD-79865                             60
044                  YMA-56284                            146
045                  WQM-46249                             64
046                  TXF-47848                            150
047                  TQC-49936                            119
048                  GMS-89977                            179
049                  VWM-74278                            174
050                  PZV-75529                              2
051                  VXR-68924                            103
052                  WQB-83823                             67
053                  FTD-84699                            173
054                  KDV-97563                             18
055                  WMD-65834                             25
056                  KQA-89952                            162
057                  PWT-38779                            128
058                  GBK-45859                              7
059                  PNF-53949                             89
060                  YBD-67688                            197
061                  FYK-67999                            114
062                  EFG-46945                             79
063                  CDC-36833                            158
064                  YLW-92835                             14
065                  KMP-52243                             66
066                  JYL-79355                            120
067                  HVX-35287                            191
068                  JPJ-26459                            138
069                  TXF-47848                              9
070                  PHE-99329                            156
071                  SZA-87265                            193
072                  YLW-92835                             35
073                  SPN-64546                              5
074                  QBD-79865                            118
075                  BMN-57337                            196
076                  KDV-97563                             53
077                  WQB-83823                            109
078                  SZA-87265                             36
079                  NWL-28282                             62
080                  PHE-99329                             65
081                  XBC-95594                             87
082                  YLW-92835                            172
083                  YBD-67688                             13
084                  TLT-23593                             12
085                  GBK-45859                            141
086                  JVL-65247                             90
087                  RLT-57887                            137
088                  KWH-94256                            163
089                  TQC-49936                             63
090                  SPN-64546                              8
091                  HZF-45469                            148
092                  BTG-65524                             26
093                  VXR-68924                             50
094                  SPN-64546                            111
095                  XRT-73276                             28
096                  BCU-27839                            116
097                  XRT-73276                            107
098                  KDV-97563                            140
099                  WMD-65834                             42
100                  VXR-68924                             20
