User ID: 57004-54761

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FTD-84699                            144
002                  JVL-65247                             20
003                  HCY-32686                            100
004                  TLT-23593                             13
005                  FNR-28782                             12
006                  FYK-67999                              4
007                  JPJ-26459                            160
008                  YXL-38878                             65
009                  GBK-45859                             50
010                  TRM-27792                             10
011                  YXL-38878                            195
012                  KQA-89952                              6
013                  WMD-65834                            104
014                  NWL-28282                             21
015                  CPU-63784                            147
016                  LZL-53762                             75
017                  TNG-52497                             11
018                  JVL-65247                             44
019                  CPU-63784                            127
020                  KDV-97563                             19
021                  LZL-53762                            155
022                  NMA-58554                            148
023                  HVE-32966                             59
024                  VWM-74278                            135
025                  YXL-38878                             91
026                  WMD-65834                            112
027                  TNA-63396                             26
028                  PQJ-67335                            133
029                  GUJ-74444                            181
030                  TNG-52497                             23
031                  XKG-42573                            199
032                  CQS-93978                              3
033                  JVL-65247                              8
034                  GBK-45859                            154
035                  TQC-49936                            188
036                  XJQ-35789                             62
037                  EFG-46945                            180
038                  TNG-52497                             54
039                  CQS-93978                            191
040                  TNX-51117                             37
041                  KDV-97563                            163
042                  XKG-42573                             39
043                  QBZ-39849                            136
044                  AAV-93236                             25
045                  AAV-93236                            171
046                  NMA-58554                             86
047                  YMA-56284                             61
048                  HKZ-33728                             90
049                  FTD-84699                            110
050                  NWL-28282                             74
051                  YMA-56284                            197
052                  XBC-95594                            156
053                  JPJ-26459                             32
054                  HNB-76282                            121
055                  WMD-65834                             84
056                  XRT-73276                              2
057                  BTG-65524                            114
058                  ANR-65636                            130
059                  TNG-52497                            174
060                  PHE-99329                             83
061                  URL-32968                            164
062                  XRT-73276                            167
063                  ZPF-96697                             64
064                  SPN-64546                            105
065                  YMA-56284                            185
066                  HZF-45469                             71
067                  GZN-34688                             46
068                  EPX-87469                             77
069                  PNF-53949                            192
070                  ZKV-31415                            126
071                  TRM-27792                            170
072                  HVE-32966                            134
073                  RGZ-73449                            113
074                  TLT-23593                            115
075                  PQJ-67335                            116
076                  VJN-37687                            123
077                  KMP-52243                             93
078                  NWL-28282                             89
079                  ZPF-96697                            119
080                  WQM-46249                            182
081                  NWL-28282                             36
082                  QBD-79865                            141
083                  HCY-32686                             63
084                  NHP-43928                             53
085                  TXF-47848                            132
086                  KLA-57296                             96
087                  SZA-87265                            108
088                  LNC-68448                             35
089                  WQM-46249                              5
090                  TXF-47848                              7
091                  HKZ-33728                             76
092                  PHE-99329                             40
093                  TRM-27792                            158
094                  LZL-53762                            109
095                  CPU-63784                             38
096                  LNC-68448                            152
097                  YMA-56284                            189
098                  HCY-32686                            101
099                  PHE-99329                             30
100                  PWT-38779                            103
