User ID: 04976-05559

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TQC-49936                            136
002                  HVE-32966                             71
003                  TLT-23593                             14
004                  JVL-65247                             50
005                  JVL-65247                             38
006                  HKZ-33728                             66
007                  TLT-23593                             72
008                  NXD-76943                             75
009                  ZHA-83572                            195
010                  NMA-58554                             77
011                  KDV-97563                            111
012                  PZV-75529                            178
013                  QBD-79865                            106
014                  JPJ-26459                             49
015                  BTN-83953                             78
016                  RLT-57887                            194
017                  GMS-89977                            187
018                  BMN-57337                             62
019                  KDV-97563                              1
020                  NVE-67597                            139
021                  TXF-47848                            175
022                  KQA-89952                            143
023                  YLW-92835                             36
024                  NXD-76943                            154
025                  LNC-68448                             95
026                  LWR-78574                             37
027                  HVX-35287                             53
028                  YMA-56284                            145
029                  ZKV-31415                            176
030                  XKG-42573                              8
031                  HVE-32966                             60
032                  BMN-57337                            123
033                  TNX-51117                             42
034                  HVX-35287                            190
035                  XKG-42573                            162
036                  XKG-42573                            173
037                  PZV-75529                            167
038                  ZHA-83572                             44
039                  GMS-89977                            102
040                  WQB-83823                             35
041                  TNG-52497                            144
042                  FNR-28782                            182
043                  WBB-69295                            124
044                  VJN-37687                            141
045                  DHY-22445                            107
046                  YXL-38878                            148
047                  QBD-79865                            132
048                  GBK-45859                             29
049                  BTG-65524                              6
050                  VXR-68924                             52
051                  KWH-94256                            193
052                  FYK-67999                              3
053                  ANR-65636                            185
054                  WQM-46249                            103
055                  JVL-65247                            130
056                  LZL-53762                             56
057                  FTD-84699                             12
058                  JPJ-26459                            109
059                  VJN-37687                              2
060                  XRT-73276                            155
061                  HVE-32966                             40
062                  CQS-93978                             47
063                  ZPF-96697                            120
064                  LZL-53762                             61
065                  YXL-38878                            105
066                  BCU-27839                             85
067                  XRT-73276                            165
068                  TLT-23593                             27
069                  WQM-46249                            196
070                  TNG-52497                            157
071                  YMA-56284                            186
072                  RLT-57887                            192
073                  KMP-52243                            121
074                  NXD-76943                            163
075                  NVE-67597                             94
076                  LNC-68448                             17
077                  TQC-49936                            199
078                  URL-32968                             16
079                  RGZ-73449                             32
080                  URL-32968                             82
081                  PWT-38779                            134
082                  CDC-36833                            164
083                  CCG-95482                            177
084                  XRT-73276                             11
085                  BMN-57337                             87
086                  NHP-43928                             67
087                  JPJ-26459                             25
088                  ZHA-83572                             90
089                  TRM-27792                            113
090                  PQJ-67335                            189
091                  TNX-51117                            133
092                  DHY-22445                            127
093                  QBD-79865                             99
094                  FNL-93857                            142
095                  PZV-75529                            118
096                  KLA-57296                            108
097                  KLA-57296                            170
098                  GBK-45859                            137
099                  JVL-65247                             86
100                  LNC-68448                            198
