User ID: 30575-77344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CCG-95482                            130
002                  DAU-26394                            171
003                  FNL-93857                            154
004                  ZXB-54692                             93
005                  GZN-34688                            189
006                  CQS-93978                             54
007                  EPX-87469                             17
008                  JVL-65247                             45
009                  HCY-32686                             55
010                  GUJ-74444                            164
011                  HKZ-33728                            142
012                  HZF-45469                             37
013                  BTN-83953                            199
014                  HVX-35287                            150
015                  JVL-65247                            173
016                  BMN-57337                            149
017                  LZL-53762                             23
018                  PHE-99329                             22
019                  FTD-84699                             30
020                  ZXB-54692                            131
021                  CCG-95482                             32
022                  TNA-63396                            185
023                  SZA-87265                            186
024                  XJQ-35789                            157
025                  JYL-79355                             98
026                  AAV-93236                            145
027                  TNX-51117                             65
028                  GMS-89977                             82
029                  XKG-42573                            143
030                  XJQ-35789                            194
031                  TNX-51117                             50
032                  NXD-76943                             90
033                  EPX-87469                            109
034                  QBZ-39849                            103
035                  HVE-32966                             15
036                  GMS-89977                             66
037                  WQB-83823                            180
038                  GBK-45859                            176
039                  EFG-46945                            138
040                  PQJ-67335                            141
041                  HCY-32686                            129
042                  ZKV-31415                             34
043                  EFG-46945                             85
044                  URL-32968                            105
045                  VWM-74278                             40
046                  SZA-87265                            140
047                  ZPF-96697                              7
048                  GBK-45859                            163
049                  FYK-67999                              3
050                  TNG-52497                             41
051                  PZV-75529                             87
052                  HKZ-33728                             72
053                  FNR-28782                             95
054                  JYL-79355                             67
055                  XKG-42573                            179
056                  KLA-57296                             44
057                  WMD-65834                             97
058                  PQJ-67335                            120
059                  HVE-32966                            160
060                  YMA-56284                             94
061                  NWL-28282                            136
062                  KMP-52243                            118
063                  TXF-47848                            170
064                  GZN-34688                            184
065                  AAV-93236                             48
066                  ZXB-54692                             24
067                  RGZ-73449                             96
068                  FNL-93857                            110
069                  DAU-26394                             26
070                  KWH-94256                              2
071                  RLT-57887                             19
072                  TRM-27792                            195
073                  JYL-79355                            196
074                  TLT-23593                             20
075                  QBZ-39849                            115
076                  TNG-52497                             99
077                  NVE-67597                            193
078                  AJA-56777                            104
079                  DHY-22445                             42
080                  NVE-67597                             13
081                  XJQ-35789                             33
082                  XJQ-35789                            126
083                  WQB-83823                            146
084                  BTG-65524                             78
085                  URL-32968                            112
086                  CCG-95482                            127
087                  YXL-38878                             57
088                  PNF-53949                             43
089                  HNB-76282                             75
090                  HZF-45469                            119
091                  CCG-95482                             52
092                  RLT-57887                             77
093                  DHY-22445                             73
094                  RLT-57887                            139
095                  BTG-65524                            128
096                  YLW-92835                              5
097                  NVE-67597                            161
098                  FTD-84699                             16
099                  DHY-22445                            108
100                  SPN-64546                             61
