User ID: 02583-95216

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNL-93857                             40
002                  DAU-26394                            123
003                  NWL-28282                            179
004                  PWT-38779                             72
005                  YMA-56284                             37
006                  YBD-67688                            186
007                  LZL-53762                             95
008                  JPJ-26459                            197
009                  NVE-67597                            132
010                  KLA-57296                            109
011                  KMP-52243                            170
012                  HKZ-33728                             87
013                  JPJ-26459                              7
014                  GMS-89977                             73
015                  HCY-32686                             56
016                  JPJ-26459                            169
017                  LZL-53762                             83
018                  GBK-45859                             57
019                  NVE-67597                            190
020                  XBC-95594                            185
021                  KDV-97563                            192
022                  XKG-42573                            157
023                  QBD-79865                              1
024                  HZF-45469                             32
025                  TQC-49936                             77
026                  HZF-45469                            146
027                  TRM-27792                             61
028                  TNA-63396                            127
029                  WMD-65834                             44
030                  PNF-53949                              5
031                  GMS-89977                             85
032                  TRM-27792                            148
033                  DHY-22445                            130
034                  BTG-65524                             55
035                  TNX-51117                             47
036                  VXR-68924                            129
037                  ANR-65636                            166
038                  XBC-95594                             74
039                  FTD-84699                            155
040                  YLW-92835                            182
041                  ZXB-54692                             91
042                  BMN-57337                             49
043                  BTG-65524                            172
044                  PWT-38779                            134
045                  KLA-57296                            152
046                  GMS-89977                             30
047                  QBZ-39849                             78
048                  DHY-22445                            106
049                  FYK-67999                            139
050                  EPX-87469                            183
051                  KDV-97563                            103
052                  JVL-65247                            160
053                  LNC-68448                            156
054                  ANR-65636                            125
055                  VJN-37687                             70
056                  HZF-45469                              6
057                  TLT-23593                            181
058                  ZXB-54692                            107
059                  KLA-57296                             20
060                  VWM-74278                            200
061                  CQS-93978                            118
062                  TXF-47848                            101
063                  URL-32968                             68
064                  XJQ-35789                             67
065                  DAU-26394                            189
066                  TXF-47848                            161
067                  HKZ-33728                            199
068                  YXL-38878                            108
069                  ZKV-31415                            195
070                  ZHA-83572                            126
071                  TQC-49936                            111
072                  BMN-57337                             41
073                  JPJ-26459                            193
074                  URL-32968                            194
075                  KWH-94256                             11
076                  PNF-53949                             33
077                  BTN-83953                            128
078                  HKZ-33728                             59
079                  YLW-92835                             53
080                  HCY-32686                            145
081                  NMA-58554                            119
082                  HVX-35287                             76
083                  YMA-56284                             94
084                  NMA-58554                             89
085                  TNX-51117                             66
086                  AAV-93236                             18
087                  TNX-51117                            187
088                  JVL-65247                            116
089                  PQJ-67335                            198
090                  EPX-87469                            159
091                  URL-32968                            110
092                  HNB-76282                            112
093                  NVE-67597                            165
094                  XKG-42573                            142
095                  WBB-69295                             65
096                  WQM-46249                            131
097                  KLA-57296                             23
098                  XRT-73276                            175
099                  VJN-37687                            124
100                  RGZ-73449                            120
