User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GUJ-74444                            165
002                  WBB-69295                             54
003                  VJN-37687                            148
004                  ZKV-31415                            151
005                  TXF-47848                             60
006                  DAU-26394                             52
007                  BMN-57337                            130
008                  PQJ-67335                            121
009                  KDV-97563                            141
010                  ZXB-54692                             43
011                  YXL-38878                             30
012                  FTD-84699                             14
013                  PNF-53949                            185
014                  XRT-73276                             33
015                  ANR-65636                            169
016                  YXL-38878                             53
017                  GMS-89977                              2
018                  KDV-97563                            123
019                  XBC-95594                              7
020                  GBK-45859                             96
021                  EPX-87469                             26
022                  ANR-65636                             16
023                  ANR-65636                            163
024                  YBD-67688                             50
025                  YLW-92835                             72
026                  NXD-76943                            200
027                  DAU-26394                             90
028                  SZA-87265                             48
029                  JPJ-26459                             18
030                  GMS-89977                            112
031                  JPJ-26459                             40
032                  NMA-58554                             31
033                  SPN-64546                             78
034                  FYK-67999                            135
035                  WBB-69295                             34
036                  SPN-64546                            113
037                  KWH-94256                             44
038                  CDC-36833                            193
039                  CCG-95482                             22
040                  TNX-51117                              8
041                  CPU-63784                            181
042                  PHE-99329                             49
043                  KWH-94256                             84
044                  SPN-64546                             37
045                  BTN-83953                             73
046                  BCU-27839                             68
047                  KQA-89952                            178
048                  HKZ-33728                             24
049                  TRM-27792                            128
050                  RLT-57887                            149
051                  RLT-57887                            119
052                  XRT-73276                            187
053                  NVE-67597                            105
054                  XRT-73276                            132
055                  NVE-67597                             15
056                  JVL-65247                            145
057                  EFG-46945                             76
058                  KDV-97563                             82
059                  KMP-52243                            186
060                  QBZ-39849                             29
061                  HVX-35287                             70
062                  LZL-53762                             89
063                  BMN-57337                            127
064                  FNR-28782                            191
065                  TNA-63396                            174
066                  KLA-57296                             87
067                  TRM-27792                            143
068                  DAU-26394                             45
069                  ZKV-31415                              1
070                  KLA-57296                             17
071                  DAU-26394                            134
072                  WQM-46249                             75
073                  NWL-28282                            198
074                  KLA-57296                            107
075                  RLT-57887                             79
076                  PZV-75529                             57
077                  FNR-28782                             95
078                  QBZ-39849                            176
079                  BTG-65524                             12
080                  AAV-93236                            106
081                  HCY-32686                             83
082                  VWM-74278                            183
083                  VWM-74278                             55
084                  RGZ-73449                            136
085                  PNF-53949                             61
086                  ZPF-96697                            100
087                  NVE-67597                            150
088                  GMS-89977                            162
089                  TNX-51117                             63
090                  NMA-58554                              5
091                  GMS-89977                             23
092                  HVX-35287                            161
093                  YBD-67688                             47
094                  VWM-74278                             39
095                  TLT-23593                             99
096                  VWM-74278                            189
097                  BTN-83953                            172
098                  WMD-65834                             19
099                  DHY-22445                             46
100                  YLW-92835                            166
