User ID: 01524-65380

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YXL-38878                             65
002                  NVE-67597                             12
003                  DAU-26394                            109
004                  QBZ-39849                            190
005                  URL-32968                             36
006                  DAU-26394                             33
007                  NVE-67597                            134
008                  BTN-83953                            116
009                  GUJ-74444                            140
010                  PHE-99329                             77
011                  YBD-67688                            110
012                  PWT-38779                            127
013                  TRM-27792                            165
014                  PZV-75529                             21
015                  FNL-93857                             20
016                  HCY-32686                            126
017                  LNC-68448                            142
018                  WBB-69295                            119
019                  PNF-53949                            133
020                  TNG-52497                            104
021                  LZL-53762                            157
022                  ZKV-31415                            147
023                  CCG-95482                              8
024                  TLT-23593                            153
025                  LNC-68448                            176
026                  CPU-63784                            192
027                  QBD-79865                             53
028                  WQB-83823                            114
029                  FNL-93857                             50
030                  XKG-42573                             92
031                  HVX-35287                             40
032                  YXL-38878                             98
033                  TLT-23593                            185
034                  HVE-32966                            100
035                  XJQ-35789                            107
036                  NHP-43928                             35
037                  LNC-68448                             70
038                  HKZ-33728                            194
039                  PQJ-67335                             88
040                  TLT-23593                            199
041                  CCG-95482                            191
042                  TXF-47848                             64
043                  LNC-68448                            167
044                  VWM-74278                             99
045                  TLT-23593                             97
046                  LZL-53762                             24
047                  PHE-99329                            195
048                  NWL-28282                             69
049                  SPN-64546                            129
050                  TRM-27792                             76
051                  ZKV-31415                            138
052                  TRM-27792                             43
053                  NVE-67597                            144
054                  SZA-87265                             81
055                  PQJ-67335                             31
056                  JYL-79355                            115
057                  BTG-65524                            106
058                  FTD-84699                            151
059                  ANR-65636                            150
060                  JVL-65247                             41
061                  YMA-56284                             14
062                  LNC-68448                             23
063                  YLW-92835                            123
064                  NHP-43928                             63
065                  ZXB-54692                            112
066                  TNG-52497                            156
067                  PZV-75529                             17
068                  CDC-36833                            108
069                  PWT-38779                              5
070                  QBZ-39849                            152
071                  NWL-28282                             84
072                  FNR-28782                             93
073                  FNR-28782                            149
074                  JYL-79355                             48
075                  TQC-49936                            113
076                  ZHA-83572                             29
077                  EFG-46945                            136
078                  RLT-57887                            154
079                  EPX-87469                            155
080                  TLT-23593                             37
081                  PQJ-67335                            189
082                  WBB-69295                            131
083                  XRT-73276                            197
084                  FYK-67999                             74
085                  ANR-65636                            200
086                  AJA-56777                            198
087                  YLW-92835                             89
088                  KLA-57296                             11
089                  SZA-87265                             60
090                  YMA-56284                              9
091                  CQS-93978                             38
092                  XKG-42573                             15
093                  PHE-99329                            188
094                  BCU-27839                             71
095                  HVX-35287                             61
096                  FTD-84699                            170
097                  BTN-83953                            111
098                  CQS-93978                              4
099                  YLW-92835                            196
100                  ANR-65636                             78
