User ID: 49650-25644

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KQA-89952                            199
002                  JYL-79355                            104
003                  KWH-94256                            158
004                  FTD-84699                            176
005                  EPX-87469                             83
006                  KMP-52243                             76
007                  XKG-42573                            108
008                  KQA-89952                            110
009                  URL-32968                             98
010                  JYL-79355                             29
011                  HKZ-33728                            124
012                  YBD-67688                            184
013                  TLT-23593                            105
014                  KQA-89952                            147
015                  TRM-27792                              6
016                  FNR-28782                            191
017                  GUJ-74444                             67
018                  FYK-67999                             51
019                  XRT-73276                            190
020                  TLT-23593                             65
021                  YLW-92835                             63
022                  ANR-65636                            129
023                  PWT-38779                              5
024                  AJA-56777                            120
025                  VWM-74278                             41
026                  GMS-89977                            171
027                  QBD-79865                             18
028                  PQJ-67335                            132
029                  FTD-84699                            189
030                  FNR-28782                             34
031                  KWH-94256                            144
032                  AAV-93236                             55
033                  LWR-78574                              2
034                  WMD-65834                             78
035                  TLT-23593                            175
036                  HVX-35287                            115
037                  LWR-78574                             95
038                  HNB-76282                             16
039                  KLA-57296                             15
040                  XRT-73276                             57
041                  TNX-51117                            194
042                  VWM-74278                             60
043                  GZN-34688                             49
044                  FNR-28782                            112
045                  WMD-65834                             59
046                  PNF-53949                             19
047                  KQA-89952                            174
048                  TQC-49936                             87
049                  HZF-45469                             75
050                  FYK-67999                             72
051                  HVX-35287                             73
052                  PZV-75529                            113
053                  XBC-95594                            122
054                  BMN-57337                             25
055                  TRM-27792                             84
056                  CCG-95482                            125
057                  VJN-37687                            183
058                  TRM-27792                            137
059                  VWM-74278                             52
060                  HCY-32686                            195
061                  ANR-65636                            150
062                  LNC-68448                             14
063                  KQA-89952                             64
064                  YXL-38878                            163
065                  XJQ-35789                            159
066                  HCY-32686                             30
067                  URL-32968                             43
068                  LZL-53762                            180
069                  KWH-94256                             85
070                  PWT-38779                            143
071                  LZL-53762                            136
072                  VWM-74278                            187
073                  URL-32968                             62
074                  SPN-64546                             82
075                  FNR-28782                             45
076                  HNB-76282                             22
077                  BMN-57337                             27
078                  VJN-37687                            117
079                  TNX-51117                             13
080                  CPU-63784                             46
081                  ZXB-54692                            107
082                  WQM-46249                             80
083                  HKZ-33728                            153
084                  KQA-89952                             47
085                  PNF-53949                             38
086                  HZF-45469                            168
087                  GUJ-74444                            177
088                  FYK-67999                            169
089                  RGZ-73449                             20
090                  BTG-65524                            103
091                  TNX-51117                            185
092                  HVX-35287                              3
093                  KQA-89952                            133
094                  TRM-27792                            146
095                  VWM-74278                             90
096                  TLT-23593                            128
097                  WMD-65834                            111
098                  JPJ-26459                             24
099                  XJQ-35789                             79
100                  YXL-38878                            172
