User ID: 17415-55660

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GBK-45859                            129
002                  HNB-76282                            148
003                  RGZ-73449                            140
004                  HVE-32966                             81
005                  NXD-76943                            198
006                  ANR-65636                            155
007                  ZPF-96697                             60
008                  WQB-83823                             53
009                  ZXB-54692                             40
010                  SPN-64546                             98
011                  YLW-92835                            157
012                  SZA-87265                            136
013                  ZXB-54692                             85
014                  YLW-92835                              5
015                  PQJ-67335                            105
016                  HVX-35287                            166
017                  NVE-67597                             86
018                  XBC-95594                             57
019                  SPN-64546                            126
020                  YBD-67688                             47
021                  HVE-32966                              2
022                  PWT-38779                            197
023                  FYK-67999                             56
024                  CCG-95482                            135
025                  EFG-46945                            175
026                  RGZ-73449                             89
027                  RLT-57887                             15
028                  ZXB-54692                             73
029                  JVL-65247                            164
030                  PWT-38779                            113
031                  BCU-27839                            178
032                  HCY-32686                            124
033                  WQM-46249                             18
034                  PHE-99329                            162
035                  URL-32968                             42
036                  EPX-87469                             14
037                  PWT-38779                             11
038                  BTG-65524                            189
039                  PQJ-67335                             13
040                  FTD-84699                             64
041                  SPN-64546                              3
042                  AAV-93236                             23
043                  ZHA-83572                             28
044                  PWT-38779                            127
045                  JPJ-26459                            139
046                  XBC-95594                             91
047                  HKZ-33728                            143
048                  JYL-79355                            146
049                  PNF-53949                            137
050                  KQA-89952                            187
051                  LNC-68448                             69
052                  FNR-28782                              4
053                  TRM-27792                             97
054                  BTG-65524                            181
055                  ZHA-83572                            101
056                  BMN-57337                            168
057                  TXF-47848                            165
058                  ANR-65636                             38
059                  YBD-67688                             29
060                  TNA-63396                             27
061                  XBC-95594                            100
062                  GBK-45859                             43
063                  HNB-76282                            169
064                  NWL-28282                             58
065                  XKG-42573                            191
066                  FYK-67999                             51
067                  AJA-56777                            186
068                  JYL-79355                            144
069                  PHE-99329                             35
070                  PNF-53949                             46
071                  QBZ-39849                             34
072                  KWH-94256                             25
073                  VWM-74278                            152
074                  XRT-73276                            183
075                  XBC-95594                             37
076                  YXL-38878                             62
077                  WMD-65834                             92
078                  YBD-67688                             75
079                  TRM-27792                             22
080                  AJA-56777                            142
081                  PNF-53949                            160
082                  XJQ-35789                             84
083                  YXL-38878                              9
084                  NXD-76943                            116
085                  WMD-65834                             10
086                  KDV-97563                            180
087                  HVX-35287                            147
088                  KQA-89952                             36
089                  FYK-67999                             54
090                  GZN-34688                            108
091                  GBK-45859                            170
092                  ZHA-83572                              1
093                  ZKV-31415                            185
094                  PQJ-67335                            110
095                  ZKV-31415                             82
096                  BTN-83953                            109
097                  FNL-93857                             32
098                  NMA-58554                            128
099                  NWL-28282                             61
100                  YXL-38878                            192
