User ID: 69282-33425

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                             81
002                  EFG-46945                            199
003                  YXL-38878                            144
004                  QBD-79865                             26
005                  NWL-28282                             32
006                  URL-32968                             12
007                  ZHA-83572                            193
008                  ANR-65636                            159
009                  TXF-47848                            158
010                  NMA-58554                              9
011                  NHP-43928                             45
012                  DAU-26394                            191
013                  BCU-27839                             16
014                  JPJ-26459                            110
015                  SPN-64546                            138
016                  CCG-95482                            177
017                  PQJ-67335                            180
018                  KMP-52243                             31
019                  QBZ-39849                            189
020                  URL-32968                             17
021                  SPN-64546                             60
022                  DHY-22445                             47
023                  NVE-67597                             24
024                  NXD-76943                            105
025                  HZF-45469                            188
026                  VWM-74278                            163
027                  QBD-79865                            176
028                  NVE-67597                             70
029                  PZV-75529                            133
030                  QBZ-39849                            139
031                  FTD-84699                            116
032                  ZXB-54692                             94
033                  HVX-35287                             57
034                  YLW-92835                            154
035                  HCY-32686                            136
036                  SZA-87265                             36
037                  YMA-56284                             51
038                  AJA-56777                             91
039                  YBD-67688                              2
040                  HVX-35287                             69
041                  ZPF-96697                              5
042                  XBC-95594                             23
043                  QBD-79865                            128
044                  CQS-93978                             87
045                  DHY-22445                            178
046                  RLT-57887                            106
047                  HVE-32966                            132
048                  GMS-89977                            184
049                  AAV-93236                            150
050                  KMP-52243                             20
051                  KDV-97563                            174
052                  QBD-79865                            155
053                  AAV-93236                             86
054                  LZL-53762                            169
055                  KDV-97563                            107
056                  TNA-63396                            151
057                  PQJ-67335                            129
058                  GZN-34688                            120
059                  CCG-95482                            161
060                  ZKV-31415                             83
061                  TQC-49936                             97
062                  CPU-63784                              8
063                  WBB-69295                            156
064                  GZN-34688                             88
065                  GZN-34688                            197
066                  PWT-38779                            198
067                  EPX-87469                             35
068                  KQA-89952                             89
069                  FNL-93857                            122
070                  KQA-89952                            134
071                  URL-32968                            190
072                  SPN-64546                            126
073                  HKZ-33728                             18
074                  KQA-89952                             25
075                  TRM-27792                            137
076                  HZF-45469                             49
077                  NWL-28282                             78
078                  KWH-94256                            108
079                  WBB-69295                            147
080                  PZV-75529                             73
081                  YLW-92835                             53
082                  SPN-64546                             58
083                  LWR-78574                             75
084                  HCY-32686                            118
085                  TXF-47848                             55
086                  TNA-63396                             14
087                  TNA-63396                            167
088                  KQA-89952                             99
089                  SZA-87265                            112
090                  YXL-38878                             28
091                  WMD-65834                             46
092                  PNF-53949                            160
093                  TNA-63396                             63
094                  HNB-76282                             21
095                  RGZ-73449                             65
096                  KDV-97563                            162
097                  WMD-65834                            140
098                  WQM-46249                             64
099                  FTD-84699                             39
100                  WBB-69295                            175
