User ID: 05481-39385

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LNC-68448                             62
002                  ZXB-54692                             96
003                  BMN-57337                             74
004                  ANR-65636                            198
005                  AAV-93236                            164
006                  XJQ-35789                             81
007                  TQC-49936                             10
008                  JPJ-26459                             21
009                  FTD-84699                             99
010                  WQM-46249                            158
011                  FTD-84699                             79
012                  NHP-43928                             20
013                  EFG-46945                             25
014                  HVX-35287                            195
015                  WQM-46249                            142
016                  KWH-94256                            145
017                  JYL-79355                              1
018                  BMN-57337                              4
019                  NMA-58554                            180
020                  HNB-76282                            190
021                  FNR-28782                            185
022                  BMN-57337                            148
023                  TNX-51117                            136
024                  XKG-42573                             76
025                  WQM-46249                             36
026                  BTG-65524                             45
027                  TNA-63396                             19
028                  KLA-57296                             60
029                  VWM-74278                             97
030                  HNB-76282                            139
031                  NHP-43928                            137
032                  HNB-76282                             55
033                  TRM-27792                              6
034                  NVE-67597                            143
035                  AJA-56777                             22
036                  BCU-27839                            167
037                  YLW-92835                             43
038                  JYL-79355                              9
039                  TRM-27792                            181
040                  GMS-89977                            117
041                  LWR-78574                             73
042                  WMD-65834                             32
043                  CCG-95482                             13
044                  XKG-42573                             69
045                  YXL-38878                             93
046                  XRT-73276                            106
047                  JPJ-26459                            141
048                  YBD-67688                            163
049                  AAV-93236                            151
050                  SZA-87265                            124
051                  VWM-74278                            194
052                  XBC-95594                            118
053                  YMA-56284                             38
054                  HCY-32686                            197
055                  TNA-63396                            166
056                  HKZ-33728                            168
057                  VJN-37687                             51
058                  YLW-92835                            187
059                  VJN-37687                            189
060                  TRM-27792                            129
061                  FTD-84699                             54
062                  BTG-65524                            169
063                  TNX-51117                            150
064                  PHE-99329                            134
065                  FNR-28782                            175
066                  KWH-94256                             57
067                  DAU-26394                             75
068                  KDV-97563                             95
069                  KLA-57296                             61
070                  KWH-94256                            107
071                  KDV-97563                            112
072                  WQB-83823                             65
073                  TXF-47848                            135
074                  HVX-35287                            174
075                  CDC-36833                              3
076                  YMA-56284                             42
077                  URL-32968                            114
078                  JPJ-26459                            162
079                  JVL-65247                             53
080                  SPN-64546                             18
081                  RLT-57887                             68
082                  ZHA-83572                            200
083                  VXR-68924                            144
084                  NVE-67597                             66
085                  LNC-68448                            173
086                  NWL-28282                            104
087                  XBC-95594                             14
088                  JPJ-26459                            119
089                  TRM-27792                            182
090                  LNC-68448                            176
091                  WQM-46249                            102
092                  TNX-51117                             91
093                  GUJ-74444                            160
094                  CCG-95482                             33
095                  TNG-52497                            192
096                  ZPF-96697                             46
097                  NXD-76943                             88
098                  YBD-67688                            157
099                  TRM-27792                             82
100                  FNL-93857                             30
