User ID: 32489-57596

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VWM-74278                             22
002                  NMA-58554                              3
003                  PHE-99329                             73
004                  KQA-89952                             60
005                  EFG-46945                            125
006                  YXL-38878                              7
007                  TXF-47848                             57
008                  ZKV-31415                            112
009                  PQJ-67335                            121
010                  XKG-42573                            103
011                  DHY-22445                             92
012                  KDV-97563                            168
013                  CQS-93978                             56
014                  ANR-65636                             91
015                  GBK-45859                             13
016                  HVX-35287                             12
017                  YLW-92835                             87
018                  XRT-73276                            115
019                  KLA-57296                             47
020                  PNF-53949                            186
021                  LNC-68448                              8
022                  JVL-65247                             62
023                  CDC-36833                            156
024                  CQS-93978                            172
025                  CDC-36833                             17
026                  YMA-56284                            153
027                  DAU-26394                             65
028                  JVL-65247                             63
029                  NXD-76943                             28
030                  FNL-93857                            176
031                  HCY-32686                            159
032                  YLW-92835                            188
033                  TLT-23593                            102
034                  LWR-78574                             48
035                  PZV-75529                             49
036                  TLT-23593                            199
037                  BMN-57337                            143
038                  FTD-84699                            183
039                  WQB-83823                             93
040                  TQC-49936                            116
041                  FNR-28782                             23
042                  NVE-67597                              9
043                  LWR-78574                            113
044                  BCU-27839                            131
045                  QBD-79865                             72
046                  RGZ-73449                             34
047                  XBC-95594                             55
048                  XBC-95594                            180
049                  KWH-94256                             90
050                  HKZ-33728                             32
051                  BTN-83953                            151
052                  WMD-65834                            146
053                  QBD-79865                            157
054                  TQC-49936                              5
055                  DAU-26394                            187
056                  GZN-34688                             77
057                  AJA-56777                             43
058                  YMA-56284                            117
059                  DAU-26394                             24
060                  KLA-57296                            130
061                  JPJ-26459                             67
062                  XRT-73276                            169
063                  FNR-28782                             45
064                  ZPF-96697                            179
065                  BCU-27839                            152
066                  XBC-95594                            162
067                  JYL-79355                             74
068                  BMN-57337                             71
069                  NWL-28282                            164
070                  JVL-65247                            178
071                  GBK-45859                            137
072                  HZF-45469                            154
073                  KWH-94256                             89
074                  XBC-95594                            106
075                  QBD-79865                             64
076                  GMS-89977                             82
077                  TNG-52497                            170
078                  HNB-76282                            124
079                  BTG-65524                            126
080                  PWT-38779                             98
081                  VJN-37687                              2
082                  AAV-93236                             41
083                  GUJ-74444                            190
084                  KMP-52243                             61
085                  WQM-46249                            166
086                  JYL-79355                            148
087                  FTD-84699                            107
088                  CDC-36833                            136
089                  YBD-67688                             84
090                  GUJ-74444                             97
091                  XRT-73276                            196
092                  AAV-93236                             80
093                  TQC-49936                            135
094                  BCU-27839                             31
095                  PHE-99329                            192
096                  YXL-38878                             70
097                  CPU-63784                             83
098                  GZN-34688                             75
099                  KLA-57296                            185
100                  FNL-93857                            101
