User ID: 98705-63702

Trial                  Virus                             Units
---------------------------------------------------------------
001                  AJA-56777                            181
002                  TNX-51117                             94
003                  TLT-23593                            121
004                  PHE-99329                            141
005                  QBD-79865                             18
006                  QBZ-39849                             12
007                  DHY-22445                            114
008                  ZHA-83572                             37
009                  PHE-99329                             98
010                  XBC-95594                            193
011                  SZA-87265                            134
012                  ZXB-54692                            128
013                  LZL-53762                              5
014                  BTN-83953                             58
015                  WMD-65834                             45
016                  FNR-28782                            158
017                  JVL-65247                            107
018                  BTN-83953                             34
019                  CQS-93978                            169
020                  JVL-65247                            175
021                  GMS-89977                            167
022                  VJN-37687                             35
023                  PNF-53949                            182
024                  NWL-28282                             21
025                  WBB-69295                              6
026                  YMA-56284                            138
027                  HCY-32686                              1
028                  LZL-53762                             90
029                  JVL-65247                            194
030                  HZF-45469                            178
031                  KDV-97563                            119
032                  FYK-67999                            109
033                  GMS-89977                             92
034                  FNR-28782                            188
035                  HNB-76282                            192
036                  QBD-79865                            135
037                  PZV-75529                             38
038                  ZHA-83572                            115
039                  ANR-65636                            163
040                  KWH-94256                             93
041                  NXD-76943                            129
042                  FNL-93857                             51
043                  HCY-32686                            183
044                  BTG-65524                             53
045                  CQS-93978                            166
046                  WMD-65834                            191
047                  BMN-57337                            122
048                  EFG-46945                             46
049                  HZF-45469                            130
050                  LZL-53762                             59
051                  KDV-97563                             30
052                  GBK-45859                            117
053                  GZN-34688                            105
054                  HZF-45469                            154
055                  BTN-83953                             83
056                  WBB-69295                            186
057                  TLT-23593                             54
058                  BMN-57337                             22
059                  NXD-76943                             20
060                  HKZ-33728                            168
061                  TNA-63396                            155
062                  BTG-65524                            185
063                  QBZ-39849                             84
064                  GUJ-74444                            106
065                  BTN-83953                             40
066                  YMA-56284                             99
067                  VXR-68924                            180
068                  CDC-36833                            164
069                  WBB-69295                            147
070                  CCG-95482                            184
071                  CPU-63784                            104
072                  HVX-35287                            101
073                  NXD-76943                             61
074                  WQM-46249                            156
075                  ZHA-83572                            172
076                  HVX-35287                            103
077                  KMP-52243                            108
078                  SZA-87265                            157
079                  LWR-78574                            139
080                  LWR-78574                             14
081                  YMA-56284                             60
082                  QBD-79865                             39
083                  PZV-75529                             85
084                  QBD-79865                            111
085                  VXR-68924                            112
086                  XRT-73276                             29
087                  KLA-57296                              4
088                  QBZ-39849                             68
089                  BTN-83953                            123
090                  YXL-38878                            162
091                  NVE-67597                             49
092                  YBD-67688                             13
093                  VJN-37687                            137
094                  TLT-23593                            198
095                  CPU-63784                            100
096                  BTN-83953                            153
097                  HVX-35287                             65
098                  TNX-51117                              2
099                  HKZ-33728                            125
100                  VWM-74278                             55
