User ID: 59274-55268

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BMN-57337                            161
002                  RGZ-73449                            165
003                  CQS-93978                             30
004                  HCY-32686                            136
005                  NXD-76943                             61
006                  LNC-68448                             81
007                  LWR-78574                             82
008                  HVE-32966                             60
009                  BMN-57337                             71
010                  BTG-65524                             18
011                  YBD-67688                            128
012                  RGZ-73449                             26
013                  PQJ-67335                            140
014                  ZHA-83572                            107
015                  BCU-27839                            195
016                  CDC-36833                             38
017                  WBB-69295                            167
018                  WMD-65834                            111
019                  YLW-92835                            191
020                  NWL-28282                             67
021                  HVX-35287                            145
022                  EPX-87469                             46
023                  FNR-28782                            197
024                  HZF-45469                            115
025                  BCU-27839                             11
026                  LZL-53762                            159
027                  TRM-27792                             84
028                  YMA-56284                             13
029                  SPN-64546                             74
030                  PQJ-67335                            149
031                  KLA-57296                             79
032                  XKG-42573                             76
033                  KDV-97563                            189
034                  EFG-46945                             54
035                  NXD-76943                            106
036                  TQC-49936                              9
037                  BTG-65524                            120
038                  TNA-63396                             65
039                  RLT-57887                            173
040                  BCU-27839                             24
041                  YXL-38878                             53
042                  FTD-84699                            178
043                  FNL-93857                            104
044                  TNG-52497                             95
045                  WBB-69295                            116
046                  RLT-57887                             99
047                  YLW-92835                            151
048                  QBZ-39849                            133
049                  WBB-69295                            148
050                  KWH-94256                              6
051                  RLT-57887                             34
052                  NWL-28282                            186
053                  HVE-32966                             27
054                  PWT-38779                              2
055                  CCG-95482                            188
056                  ZPF-96697                            168
057                  YXL-38878                             19
058                  CPU-63784                             16
059                  KLA-57296                            198
060                  NVE-67597                            129
061                  CQS-93978                              4
062                  TXF-47848                            101
063                  VXR-68924                             86
064                  GMS-89977                            105
065                  TQC-49936                            119
066                  YBD-67688                              7
067                  XKG-42573                            176
068                  BTN-83953                            194
069                  TNX-51117                             23
070                  CQS-93978                            192
071                  GBK-45859                             40
072                  CPU-63784                            118
073                  WMD-65834                             21
074                  GUJ-74444                             17
075                  BMN-57337                            157
076                  XBC-95594                             22
077                  GMS-89977                             85
078                  NMA-58554                            100
079                  HNB-76282                             39
080                  TLT-23593                             88
081                  WQM-46249                             70
082                  VXR-68924                            152
083                  PHE-99329                             98
084                  DAU-26394                             72
085                  WBB-69295                            117
086                  NXD-76943                            108
087                  WQB-83823                            162
088                  XJQ-35789                            184
089                  ZHA-83572                             75
090                  RLT-57887                            158
091                  XJQ-35789                             56
092                  KWH-94256                            124
093                  DAU-26394                            179
094                  CDC-36833                            132
095                  KDV-97563                            147
096                  XRT-73276                            175
097                  RLT-57887                             29
098                  BTN-83953                             52
099                  HVX-35287                            146
100                  DAU-26394                            102
