User ID: 18118-03371

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KDV-97563                            157
002                  JYL-79355                            160
003                  ZHA-83572                             30
004                  BTG-65524                            167
005                  LZL-53762                             23
006                  SPN-64546                            113
007                  PNF-53949                            198
008                  LZL-53762                             18
009                  TNX-51117                            165
010                  HKZ-33728                             51
011                  YLW-92835                            130
012                  EPX-87469                             81
013                  FNL-93857                             24
014                  VJN-37687                             47
015                  VJN-37687                            190
016                  QBZ-39849                             70
017                  LZL-53762                             44
018                  FNL-93857                            199
019                  EFG-46945                             54
020                  FYK-67999                             26
021                  JVL-65247                             57
022                  WQB-83823                            115
023                  TNG-52497                              7
024                  ZPF-96697                             28
025                  EFG-46945                             82
026                  KWH-94256                            126
027                  ZPF-96697                            122
028                  HKZ-33728                             80
029                  CCG-95482                            174
030                  GMS-89977                            144
031                  ZPF-96697                            155
032                  HVX-35287                             20
033                  WMD-65834                             78
034                  CQS-93978                             96
035                  ANR-65636                             53
036                  FNR-28782                             39
037                  VXR-68924                            135
038                  QBD-79865                            188
039                  KDV-97563                            151
040                  TQC-49936                             32
041                  PQJ-67335                            127
042                  CPU-63784                             83
043                  SPN-64546                            105
044                  TXF-47848                            168
045                  BTN-83953                             93
046                  TNA-63396                             98
047                  EPX-87469                             84
048                  KDV-97563                             66
049                  URL-32968                             14
050                  HCY-32686                            196
051                  XJQ-35789                            141
052                  VWM-74278                            124
053                  EFG-46945                             43
054                  XBC-95594                            189
055                  ZPF-96697                             64
056                  WQB-83823                             42
057                  TNA-63396                            147
058                  NVE-67597                             92
059                  DAU-26394                            187
060                  NWL-28282                             76
061                  FNL-93857                            169
062                  JVL-65247                            110
063                  KQA-89952                            132
064                  CCG-95482                             86
065                  RLT-57887                            104
066                  PHE-99329                             21
067                  FNL-93857                              6
068                  WQB-83823                            178
069                  PHE-99329                             25
070                  NXD-76943                            134
071                  FYK-67999                             12
072                  KQA-89952                             19
073                  HKZ-33728                             95
074                  AJA-56777                            111
075                  WQM-46249                            162
076                  JYL-79355                            163
077                  ZXB-54692                             45
078                  WQB-83823                            137
079                  TXF-47848                             75
080                  HVX-35287                             49
081                  BTN-83953                              2
082                  BMN-57337                              5
083                  PWT-38779                            158
084                  RGZ-73449                            170
085                  NXD-76943                             90
086                  YBD-67688                            161
087                  TRM-27792                            142
088                  KLA-57296                            183
089                  QBD-79865                            185
090                  ZXB-54692                             79
091                  PHE-99329                             38
092                  NVE-67597                            112
093                  TQC-49936                            192
094                  TNX-51117                             68
095                  URL-32968                            175
096                  PQJ-67335                            133
097                  ZHA-83572                            152
098                  LWR-78574                             31
099                  PNF-53949                             46
100                  DAU-26394                            120
