User ID: 35036-62750

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ANR-65636                            138
002                  XKG-42573                             68
003                  AJA-56777                             56
004                  VJN-37687                             16
005                  XRT-73276                             72
006                  EFG-46945                            124
007                  FYK-67999                            107
008                  BTN-83953                            153
009                  NXD-76943                             66
010                  NXD-76943                             14
011                  NMA-58554                            191
012                  LWR-78574                             91
013                  RLT-57887                            195
014                  TQC-49936                            184
015                  JVL-65247                            162
016                  VWM-74278                             76
017                  HVX-35287                             10
018                  VXR-68924                              4
019                  RGZ-73449                             80
020                  FNL-93857                             95
021                  HKZ-33728                            189
022                  GZN-34688                             85
023                  KWH-94256                             34
024                  TXF-47848                            194
025                  ZXB-54692                            143
026                  BTN-83953                            115
027                  TNG-52497                             42
028                  GMS-89977                             30
029                  FYK-67999                            188
030                  PNF-53949                            105
031                  JPJ-26459                            101
032                  HCY-32686                            130
033                  CDC-36833                            157
034                  HNB-76282                             93
035                  ANR-65636                            151
036                  WQM-46249                             46
037                  TNG-52497                            141
038                  AJA-56777                            121
039                  QBZ-39849                            186
040                  KMP-52243                              2
041                  ZXB-54692                            163
042                  ZKV-31415                            197
043                  SPN-64546                             38
044                  DAU-26394                            144
045                  QBZ-39849                            150
046                  VXR-68924                             18
047                  ZHA-83572                            166
048                  DAU-26394                             33
049                  WQB-83823                            193
050                  HCY-32686                            135
051                  YMA-56284                            127
052                  FNR-28782                            161
053                  CDC-36833                              6
054                  JYL-79355                            142
055                  YMA-56284                             11
056                  DHY-22445                            172
057                  NVE-67597                             61
058                  KWH-94256                            117
059                  CCG-95482                             45
060                  DAU-26394                             90
061                  GMS-89977                             94
062                  KLA-57296                             98
063                  HVX-35287                             99
064                  HVE-32966                             81
065                  KMP-52243                            113
066                  XBC-95594                             40
067                  TLT-23593                             62
068                  PZV-75529                            174
069                  KQA-89952                            125
070                  HZF-45469                            180
071                  BTN-83953                             15
072                  ZKV-31415                            167
073                  GMS-89977                             60
074                  PNF-53949                            104
075                  ZPF-96697                             49
076                  JVL-65247                            175
077                  SZA-87265                             75
078                  CCG-95482                            160
079                  KMP-52243                             73
080                  FYK-67999                             83
081                  ZPF-96697                            196
082                  KMP-52243                            122
083                  JYL-79355                             96
084                  HVX-35287                            155
085                  JYL-79355                            178
086                  NVE-67597                            134
087                  URL-32968                            148
088                  XKG-42573                             36
089                  TXF-47848                             67
090                  PZV-75529                             59
091                  ANR-65636                            128
092                  HNB-76282                             21
093                  ZPF-96697                            132
094                  PWT-38779                             48
095                  WQM-46249                             28
096                  AJA-56777                            190
097                  KQA-89952                            179
098                  WMD-65834                              5
099                  HVX-35287                             55
100                  PZV-75529                            165
