User ID: 17415-55660

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PNF-53949                            187
002                  TLT-23593                            162
003                  URL-32968                            185
004                  EFG-46945                            128
005                  YMA-56284                            147
006                  VWM-74278                            179
007                  FNL-93857                            137
008                  EFG-46945                            169
009                  CQS-93978                             36
010                  HKZ-33728                            138
011                  TNX-51117                            132
012                  ANR-65636                              8
013                  PHE-99329                             60
014                  JPJ-26459                             40
015                  VJN-37687                            136
016                  YXL-38878                             13
017                  XBC-95594                            182
018                  TRM-27792                             24
019                  PHE-99329                            191
020                  KMP-52243                            157
021                  GMS-89977                            114
022                  PNF-53949                            135
023                  TNG-52497                             27
024                  SPN-64546                             44
025                  WQM-46249                            133
026                  WBB-69295                             50
027                  KMP-52243                             37
028                  PNF-53949                             93
029                  FNL-93857                              9
030                  AJA-56777                            173
031                  GMS-89977                              4
032                  PWT-38779                              2
033                  VXR-68924                             80
034                  NWL-28282                            110
035                  QBD-79865                             22
036                  KWH-94256                            167
037                  VXR-68924                             85
038                  JYL-79355                            192
039                  KMP-52243                             61
040                  KLA-57296                             46
041                  BCU-27839                             30
042                  VXR-68924                             31
043                  KQA-89952                            168
044                  VWM-74278                            151
045                  FYK-67999                            104
046                  PZV-75529                            118
047                  XBC-95594                            199
048                  WBB-69295                             73
049                  GZN-34688                            111
050                  NVE-67597                             51
051                  URL-32968                              1
052                  WQM-46249                            123
053                  URL-32968                            140
054                  TNA-63396                             97
055                  WMD-65834                             86
056                  KMP-52243                             96
057                  ZXB-54692                            174
058                  TXF-47848                             52
059                  TNX-51117                            101
060                  WQM-46249                             64
061                  WBB-69295                            172
062                  PNF-53949                             55
063                  YMA-56284                            170
064                  BTN-83953                             95
065                  XJQ-35789                            200
066                  KQA-89952                            112
067                  VJN-37687                            107
068                  PZV-75529                             43
069                  EPX-87469                            163
070                  NXD-76943                            148
071                  NXD-76943                              6
072                  SPN-64546                              3
073                  BCU-27839                            175
074                  YMA-56284                             19
075                  ANR-65636                              7
076                  RLT-57887                             84
077                  JPJ-26459                             57
078                  FNL-93857                             48
079                  CDC-36833                             94
080                  BTG-65524                             63
081                  XBC-95594                             67
082                  NHP-43928                             89
083                  HVX-35287                            177
084                  HZF-45469                            190
085                  CDC-36833                            143
086                  JVL-65247                            100
087                  YLW-92835                             33
088                  TNX-51117                            103
089                  GUJ-74444                            129
090                  VJN-37687                            176
091                  CCG-95482                            122
092                  CCG-95482                            186
093                  URL-32968                            125
094                  NXD-76943                             23
095                  CCG-95482                             82
096                  YXL-38878                             56
097                  BCU-27839                             39
098                  PHE-99329                             28
099                  TNG-52497                            145
100                  JVL-65247                             75
