User ID: 30768-54860

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZHA-83572                              6
002                  WQB-83823                            142
003                  LWR-78574                             72
004                  YBD-67688                            190
005                  GZN-34688                            141
006                  BTG-65524                            126
007                  NMA-58554                              5
008                  EPX-87469                            152
009                  KWH-94256                             79
010                  JVL-65247                             46
011                  WQM-46249                             64
012                  KQA-89952                            103
013                  WMD-65834                            154
014                  KLA-57296                            171
015                  KMP-52243                            123
016                  DHY-22445                            198
017                  TRM-27792                             67
018                  KWH-94256                            162
019                  JVL-65247                            127
020                  CCG-95482                             97
021                  TXF-47848                             48
022                  EPX-87469                            200
023                  TXF-47848                             50
024                  BTN-83953                            128
025                  FTD-84699                             58
026                  ZXB-54692                             54
027                  NWL-28282                            155
028                  PNF-53949                            153
029                  DHY-22445                             71
030                  ZXB-54692                            189
031                  KDV-97563                             28
032                  BTG-65524                            164
033                  QBD-79865                             63
034                  JVL-65247                             15
035                  XRT-73276                            100
036                  QBD-79865                             39
037                  RLT-57887                             49
038                  TNG-52497                            177
039                  YMA-56284                            194
040                  PHE-99329                              7
041                  ZHA-83572                             86
042                  NXD-76943                             30
043                  TRM-27792                             99
044                  HVX-35287                            132
045                  PHE-99329                            148
046                  CDC-36833                             51
047                  YBD-67688                            136
048                  JVL-65247                            107
049                  XJQ-35789                            144
050                  EPX-87469                             26
051                  ZXB-54692                            111
052                  CCG-95482                             34
053                  SPN-64546                             62
054                  GZN-34688                            134
055                  EPX-87469                             66
056                  NMA-58554                             92
057                  PHE-99329                            110
058                  AAV-93236                             29
059                  EFG-46945                            151
060                  PZV-75529                              2
061                  TNG-52497                             11
062                  XRT-73276                            112
063                  NXD-76943                            173
064                  GMS-89977                            121
065                  WBB-69295                            119
066                  GZN-34688                             93
067                  KDV-97563                             96
068                  KLA-57296                            109
069                  FNL-93857                            160
070                  TNA-63396                             32
071                  VXR-68924                             78
072                  HCY-32686                             22
073                  RGZ-73449                             77
074                  LZL-53762                            146
075                  VWM-74278                             61
076                  DHY-22445                            188
077                  AJA-56777                             85
078                  TNA-63396                             21
079                  PWT-38779                             53
080                  TLT-23593                            105
081                  HNB-76282                             88
082                  GMS-89977                            181
083                  PZV-75529                             89
084                  FTD-84699                            199
085                  WQB-83823                             19
086                  NWL-28282                            167
087                  HKZ-33728                             23
088                  ZKV-31415                             37
089                  NHP-43928                             13
090                  ZKV-31415                             10
091                  PQJ-67335                            187
092                  TNX-51117                             59
093                  TRM-27792                             56
094                  BTN-83953                             45
095                  TNG-52497                             16
096                  ANR-65636                             18
097                  VJN-37687                            159
098                  VXR-68924                            197
099                  CQS-93978                            113
100                  FTD-84699                            147
