User ID: 60571-51326

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SPN-64546                             15
002                  WQM-46249                            123
003                  BTN-83953                            168
004                  YXL-38878                             29
005                  HVE-32966                              4
006                  FNL-93857                             24
007                  TRM-27792                             25
008                  XBC-95594                            108
009                  NXD-76943                              3
010                  DHY-22445                             90
011                  PHE-99329                            177
012                  YBD-67688                            164
013                  RGZ-73449                            105
014                  HVE-32966                            128
015                  HVE-32966                             59
016                  LZL-53762                            162
017                  CCG-95482                             18
018                  VWM-74278                            134
019                  LWR-78574                            160
020                  NMA-58554                            127
021                  AJA-56777                            135
022                  TXF-47848                             58
023                  HCY-32686                            129
024                  BTN-83953                              8
025                  SZA-87265                            156
026                  GMS-89977                            137
027                  ZKV-31415                            119
028                  FNL-93857                             39
029                  LNC-68448                             38
030                  TRM-27792                            110
031                  ZXB-54692                            178
032                  AAV-93236                             66
033                  RLT-57887                             64
034                  PWT-38779                             48
035                  LNC-68448                            111
036                  TNX-51117                            158
037                  URL-32968                            146
038                  NVE-67597                             19
039                  TNG-52497                            190
040                  CDC-36833                            133
041                  AJA-56777                            144
042                  HCY-32686                             47
043                  RLT-57887                            124
044                  YMA-56284                             77
045                  FNR-28782                            145
046                  BTG-65524                            180
047                  YLW-92835                             94
048                  GBK-45859                            198
049                  HNB-76282                             78
050                  DAU-26394                            157
051                  XKG-42573                             36
052                  NMA-58554                            196
053                  FYK-67999                             26
054                  TNA-63396                             68
055                  FNL-93857                             27
056                  GBK-45859                            141
057                  GBK-45859                            184
058                  QBZ-39849                             31
059                  AJA-56777                            151
060                  XKG-42573                            193
061                  KLA-57296                             80
062                  XBC-95594                             60
063                  PQJ-67335                             81
064                  HKZ-33728                            116
065                  YXL-38878                             93
066                  NHP-43928                            143
067                  TNX-51117                            150
068                  ZKV-31415                            112
069                  SZA-87265                             10
070                  TNG-52497                              5
071                  QBZ-39849                            159
072                  FTD-84699                             83
073                  WMD-65834                             41
074                  SPN-64546                             57
075                  XBC-95594                             82
076                  TRM-27792                             55
077                  XKG-42573                            104
078                  ZPF-96697                            175
079                  GZN-34688                             34
080                  NMA-58554                            106
081                  GMS-89977                              7
082                  WQB-83823                             84
083                  TNX-51117                            191
084                  ZPF-96697                             69
085                  AJA-56777                            161
086                  YLW-92835                            194
087                  FYK-67999                            136
088                  WBB-69295                            185
089                  BMN-57337                             52
090                  EPX-87469                            115
091                  HCY-32686                             44
092                  WQB-83823                             98
093                  BMN-57337                             28
094                  ZXB-54692                             75
095                  DHY-22445                            126
096                  PQJ-67335                             50
097                  KQA-89952                            139
098                  PHE-99329                             95
099                  RGZ-73449                            138
100                  URL-32968                            174
