User ID: 80997-59183

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YBD-67688                             17
002                  ZHA-83572                            160
003                  WMD-65834                            113
004                  HVE-32966                            172
005                  LNC-68448                             49
006                  FYK-67999                              7
007                  TRM-27792                            108
008                  ZKV-31415                              9
009                  HVX-35287                             88
010                  LWR-78574                             80
011                  NVE-67597                            191
012                  VJN-37687                            161
013                  NXD-76943                            164
014                  BCU-27839                            103
015                  VXR-68924                            185
016                  FTD-84699                             44
017                  YMA-56284                            115
018                  KWH-94256                             99
019                  TNX-51117                             59
020                  RLT-57887                            133
021                  NHP-43928                            148
022                  GMS-89977                            150
023                  FNR-28782                             25
024                  HCY-32686                            187
025                  TNX-51117                            155
026                  YLW-92835                             96
027                  KDV-97563                            166
028                  XBC-95594                              3
029                  XRT-73276                             27
030                  ZHA-83572                            189
031                  HNB-76282                            178
032                  SPN-64546                             53
033                  JVL-65247                            157
034                  JPJ-26459                            196
035                  ZXB-54692                             76
036                  ZXB-54692                             89
037                  JVL-65247                             29
038                  KLA-57296                            179
039                  TNX-51117                             33
040                  PZV-75529                             79
041                  ANR-65636                             19
042                  BCU-27839                             18
043                  YMA-56284                            151
044                  JYL-79355                            136
045                  BTN-83953                              1
046                  NWL-28282                            174
047                  VJN-37687                            163
048                  KLA-57296                             13
049                  HVX-35287                            130
050                  JPJ-26459                             74
051                  TRM-27792                            141
052                  YBD-67688                             60
053                  HVX-35287                             56
054                  TNX-51117                            104
055                  CCG-95482                             93
056                  HZF-45469                             86
057                  TRM-27792                             98
058                  CPU-63784                            181
059                  XKG-42573                            107
060                  XJQ-35789                             51
061                  FYK-67999                             65
062                  HVX-35287                            173
063                  GUJ-74444                             73
064                  AJA-56777                             21
065                  TQC-49936                            114
066                  HNB-76282                            183
067                  TNG-52497                            105
068                  CQS-93978                             37
069                  XRT-73276                             39
070                  PQJ-67335                             38
071                  WBB-69295                              4
072                  QBD-79865                            177
073                  DHY-22445                             55
074                  TNG-52497                             66
075                  LWR-78574                            190
076                  XKG-42573                            199
077                  EPX-87469                             81
078                  LWR-78574                             42
079                  YLW-92835                             62
080                  JVL-65247                             50
081                  KWH-94256                            167
082                  PWT-38779                            188
083                  EFG-46945                             85
084                  ZKV-31415                             69
085                  LNC-68448                            101
086                  FNR-28782                              6
087                  KMP-52243                            127
088                  JYL-79355                            149
089                  XJQ-35789                             36
090                  AAV-93236                             82
091                  CQS-93978                             26
092                  TRM-27792                             83
093                  XBC-95594                             68
094                  YXL-38878                             70
095                  EFG-46945                            118
096                  KMP-52243                             75
097                  PQJ-67335                             87
098                  TNG-52497                            140
099                  ZPF-96697                            143
100                  TLT-23593                             92
