User ID: 41724-49926

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KMP-52243                             67
002                  KMP-52243                            146
003                  TQC-49936                             14
004                  KWH-94256                            179
005                  HNB-76282                            167
006                  KQA-89952                            142
007                  QBZ-39849                             63
008                  DAU-26394                            143
009                  YMA-56284                            165
010                  VWM-74278                             43
011                  LZL-53762                              3
012                  CPU-63784                             16
013                  TNA-63396                             42
014                  EPX-87469                            127
015                  LWR-78574                             26
016                  YBD-67688                            153
017                  BCU-27839                             17
018                  ZXB-54692                            189
019                  LWR-78574                             50
020                  AAV-93236                            114
021                  YMA-56284                             91
022                  HNB-76282                             28
023                  HVE-32966                            172
024                  GBK-45859                             96
025                  TNX-51117                             23
026                  DAU-26394                            136
027                  QBZ-39849                             22
028                  YLW-92835                             86
029                  VXR-68924                            155
030                  HKZ-33728                            138
031                  YXL-38878                             18
032                  QBZ-39849                             15
033                  WQB-83823                            181
034                  YBD-67688                             99
035                  QBD-79865                            154
036                  NMA-58554                            119
037                  FYK-67999                            148
038                  RLT-57887                             95
039                  ZKV-31415                              6
040                  GUJ-74444                            173
041                  BMN-57337                            188
042                  XKG-42573                             87
043                  XRT-73276                              8
044                  LZL-53762                             51
045                  WQM-46249                            162
046                  XRT-73276                            144
047                  FTD-84699                             85
048                  ZKV-31415                             97
049                  ZKV-31415                            110
050                  JYL-79355                            128
051                  TXF-47848                             52
052                  WQB-83823                            190
053                  ZPF-96697                            147
054                  BTG-65524                             62
055                  HCY-32686                             54
056                  KMP-52243                             76
057                  KMP-52243                             74
058                  KWH-94256                             47
059                  DHY-22445                             80
060                  EPX-87469                             69
061                  YLW-92835                             61
062                  KDV-97563                            140
063                  XBC-95594                             10
064                  NXD-76943                             36
065                  PHE-99329                            183
066                  SZA-87265                             25
067                  FNR-28782                            169
068                  KDV-97563                             79
069                  NMA-58554                             77
070                  TNG-52497                            182
071                  PNF-53949                            156
072                  FTD-84699                            116
073                  ZHA-83572                             75
074                  KMP-52243                             48
075                  NXD-76943                            187
076                  GMS-89977                             83
077                  CDC-36833                              4
078                  SPN-64546                             72
079                  DHY-22445                            117
080                  TNX-51117                             71
081                  BTN-83953                            200
082                  TNG-52497                            157
083                  QBD-79865                            131
084                  KMP-52243                            145
085                  YXL-38878                             88
086                  KLA-57296                            180
087                  AJA-56777                             68
088                  PNF-53949                            199
089                  WQB-83823                              5
090                  URL-32968                             58
091                  WMD-65834                            107
092                  GUJ-74444                            113
093                  TRM-27792                             56
094                  WBB-69295                            130
095                  BCU-27839                             93
096                  PHE-99329                            101
097                  HNB-76282                             20
098                  BMN-57337                             92
099                  KLA-57296                             31
100                  WQM-46249                             78
