User ID: 01524-65380

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JVL-65247                             61
002                  ZXB-54692                             18
003                  ZXB-54692                             57
004                  GZN-34688                            115
005                  RLT-57887                             14
006                  CCG-95482                            139
007                  AAV-93236                             10
008                  JPJ-26459                            102
009                  TXF-47848                            151
010                  SPN-64546                             12
011                  FYK-67999                            130
012                  BTN-83953                             46
013                  WQB-83823                             54
014                  CCG-95482                            109
015                  QBZ-39849                            131
016                  SPN-64546                             77
017                  FTD-84699                              7
018                  HVE-32966                             53
019                  GMS-89977                            125
020                  KQA-89952                            185
021                  HNB-76282                            140
022                  VJN-37687                            110
023                  JYL-79355                             21
024                  WQM-46249                            167
025                  SZA-87265                            145
026                  AAV-93236                             27
027                  URL-32968                             71
028                  JYL-79355                             36
029                  ZPF-96697                            111
030                  PHE-99329                            197
031                  BTG-65524                            147
032                  SZA-87265                             50
033                  EFG-46945                             73
034                  HKZ-33728                             94
035                  SPN-64546                              8
036                  FNR-28782                             72
037                  ANR-65636                            195
038                  YMA-56284                             86
039                  SZA-87265                              5
040                  WQB-83823                            156
041                  LZL-53762                            177
042                  RLT-57887                            188
043                  RGZ-73449                            181
044                  HZF-45469                             51
045                  GUJ-74444                             65
046                  JVL-65247                            184
047                  JPJ-26459                            182
048                  FNL-93857                              1
049                  CQS-93978                             95
050                  URL-32968                            100
051                  QBD-79865                            119
052                  LWR-78574                            186
053                  PNF-53949                            104
054                  NWL-28282                              6
055                  JYL-79355                            127
056                  PNF-53949                             26
057                  TXF-47848                            135
058                  KQA-89952                            155
059                  TRM-27792                            132
060                  PNF-53949                             30
061                  EPX-87469                             39
062                  NVE-67597                             24
063                  ZHA-83572                             49
064                  AJA-56777                            191
065                  KWH-94256                            187
066                  GMS-89977                            176
067                  ZHA-83572                            143
068                  ZPF-96697                             99
069                  LWR-78574                             97
070                  HCY-32686                            149
071                  WBB-69295                            137
072                  HVX-35287                            120
073                  HZF-45469                             88
074                  LZL-53762                            159
075                  KMP-52243                             93
076                  VXR-68924                             35
077                  FNR-28782                            157
078                  FTD-84699                             47
079                  HCY-32686                             80
080                  JYL-79355                             67
081                  KQA-89952                             28
082                  URL-32968                             37
083                  ZKV-31415                             33
084                  BTG-65524                              2
085                  EPX-87469                            113
086                  HVE-32966                            199
087                  YMA-56284                            178
088                  WMD-65834                             70
089                  SPN-64546                             89
090                  EPX-87469                            175
091                  BCU-27839                             98
092                  EPX-87469                             59
093                  PNF-53949                              4
094                  JVL-65247                             82
095                  JPJ-26459                             17
096                  KWH-94256                             41
097                  YXL-38878                             74
098                  HKZ-33728                            173
099                  YMA-56284                            200
100                  TQC-49936                             87
