User ID: 49728-91010

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZKV-31415                             11
002                  TNA-63396                             81
003                  TNA-63396                            185
004                  AAV-93236                            159
005                  TXF-47848                             38
006                  BMN-57337                            114
007                  HNB-76282                            198
008                  ZHA-83572                              5
009                  GUJ-74444                             26
010                  NXD-76943                            160
011                  WQB-83823                            109
012                  NMA-58554                             99
013                  ZKV-31415                            199
014                  XBC-95594                            135
015                  LNC-68448                            186
016                  TNX-51117                            115
017                  NMA-58554                            130
018                  BTN-83953                             55
019                  WMD-65834                            184
020                  KWH-94256                            143
021                  KMP-52243                             23
022                  EPX-87469                            137
023                  QBD-79865                            164
024                  XKG-42573                            176
025                  FNR-28782                            167
026                  BTN-83953                            165
027                  TNG-52497                            120
028                  SZA-87265                            136
029                  WBB-69295                            102
030                  WMD-65834                            163
031                  BCU-27839                            189
032                  PNF-53949                             94
033                  NVE-67597                            139
034                  ZKV-31415                             70
035                  NXD-76943                            173
036                  NXD-76943                            178
037                  GMS-89977                            138
038                  YLW-92835                            131
039                  URL-32968                            105
040                  DHY-22445                            175
041                  KDV-97563                             42
042                  URL-32968                            123
043                  BCU-27839                             34
044                  HZF-45469                             27
045                  EPX-87469                             65
046                  LNC-68448                            113
047                  KLA-57296                            129
048                  BTG-65524                              7
049                  YXL-38878                             82
050                  HVE-32966                            150
051                  FNR-28782                             16
052                  TXF-47848                             58
053                  LZL-53762                             14
054                  DAU-26394                            172
055                  GUJ-74444                            112
056                  TQC-49936                            118
057                  YXL-38878                             37
058                  HZF-45469                             67
059                  NMA-58554                             45
060                  HKZ-33728                            149
061                  EFG-46945                             20
062                  ZKV-31415                            134
063                  PWT-38779                            116
064                  QBD-79865                             78
065                  RLT-57887                            182
066                  WQB-83823                            195
067                  HVX-35287                            126
068                  NHP-43928                             62
069                  LWR-78574                             21
070                  VXR-68924                             97
071                  YMA-56284                             53
072                  XKG-42573                            196
073                  TNG-52497                             98
074                  TXF-47848                            111
075                  WBB-69295                             85
076                  EFG-46945                             71
077                  NXD-76943                            183
078                  JPJ-26459                             39
079                  YLW-92835                            192
080                  GMS-89977                             76
081                  RLT-57887                             32
082                  JYL-79355                            161
083                  FNR-28782                            101
084                  BTN-83953                             61
085                  HNB-76282                            141
086                  HVE-32966                             29
087                  AAV-93236                             66
088                  XBC-95594                             30
089                  SZA-87265                             50
090                  HVX-35287                            169
091                  CDC-36833                             52
092                  FNR-28782                            125
093                  ZHA-83572                            128
094                  HNB-76282                             73
095                  ANR-65636                             88
096                  PQJ-67335                            157
097                  TNG-52497                            142
098                  WQM-46249                            122
099                  TNX-51117                              1
100                  WQM-46249                            155
