User ID: 53307-18031

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBD-79865                            174
002                  TNX-51117                             86
003                  YXL-38878                            122
004                  LZL-53762                            178
005                  LWR-78574                             22
006                  HCY-32686                             39
007                  TRM-27792                             79
008                  WBB-69295                            173
009                  GZN-34688                             55
010                  AAV-93236                             88
011                  NMA-58554                            152
012                  PWT-38779                            167
013                  TNG-52497                            120
014                  WMD-65834                            101
015                  FNR-28782                             63
016                  LWR-78574                            104
017                  WQB-83823                            129
018                  AJA-56777                            187
019                  BTG-65524                              6
020                  URL-32968                             78
021                  NVE-67597                            105
022                  GBK-45859                            130
023                  QBZ-39849                            118
024                  RGZ-73449                             95
025                  VJN-37687                            128
026                  BTG-65524                            133
027                  ZHA-83572                            169
028                  XBC-95594                             82
029                  CQS-93978                              4
030                  HCY-32686                            121
031                  LNC-68448                             51
032                  NHP-43928                            168
033                  BMN-57337                            134
034                  ZKV-31415                            125
035                  HVE-32966                             45
036                  BTG-65524                             94
037                  PHE-99329                             73
038                  WQM-46249                             76
039                  HVX-35287                            142
040                  YXL-38878                             14
041                  JVL-65247                            194
042                  QBZ-39849                            107
043                  GMS-89977                            147
044                  EFG-46945                            108
045                  ZHA-83572                             30
046                  CPU-63784                             21
047                  QBD-79865                             67
048                  PZV-75529                             57
049                  FNR-28782                            199
050                  VWM-74278                             60
051                  VXR-68924                            140
052                  JPJ-26459                            137
053                  TNA-63396                            145
054                  NMA-58554                            193
055                  RLT-57887                            110
056                  HNB-76282                            113
057                  KQA-89952                             72
058                  HNB-76282                              9
059                  URL-32968                             38
060                  KDV-97563                             93
061                  ZPF-96697                             74
062                  QBZ-39849                            114
063                  HKZ-33728                             90
064                  PZV-75529                            150
065                  YXL-38878                             56
066                  FYK-67999                             46
067                  SPN-64546                            165
068                  TRM-27792                             52
069                  QBZ-39849                              5
070                  TRM-27792                            181
071                  BMN-57337                            154
072                  PZV-75529                             29
073                  BMN-57337                            171
074                  LNC-68448                            192
075                  WMD-65834                             47
076                  NHP-43928                            112
077                  TNG-52497                             81
078                  ZXB-54692                             41
079                  GBK-45859                             19
080                  TNG-52497                              2
081                  BMN-57337                            135
082                  YMA-56284                             53
083                  EFG-46945                            172
084                  RLT-57887                            138
085                  TQC-49936                             75
086                  YMA-56284                             89
087                  HCY-32686                             62
088                  NWL-28282                            102
089                  WQM-46249                            188
090                  PQJ-67335                             68
091                  PNF-53949                            158
092                  SZA-87265                            191
093                  KQA-89952                            160
094                  SZA-87265                             44
095                  ZKV-31415                            159
096                  WQB-83823                             36
097                  ZPF-96697                            106
098                  CDC-36833                            200
099                  CCG-95482                            161
100                  CDC-36833                            141
