User ID: 83545-99452

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                             93
002                  CCG-95482                            136
003                  URL-32968                             18
004                  YMA-56284                             35
005                  SPN-64546                            109
006                  PWT-38779                             16
007                  YLW-92835                            180
008                  BTG-65524                             91
009                  HNB-76282                              3
010                  HKZ-33728                            146
011                  XRT-73276                            168
012                  TXF-47848                            165
013                  CQS-93978                            158
014                  JVL-65247                             51
015                  NVE-67597                             49
016                  YLW-92835                             32
017                  FTD-84699                             42
018                  GUJ-74444                            187
019                  PHE-99329                            175
020                  ZHA-83572                              5
021                  YLW-92835                             67
022                  NXD-76943                            102
023                  WMD-65834                             34
024                  CQS-93978                             23
025                  WMD-65834                            200
026                  TNX-51117                             78
027                  RLT-57887                            126
028                  PHE-99329                            138
029                  TRM-27792                            169
030                  BCU-27839                             87
031                  TRM-27792                            122
032                  LWR-78574                            198
033                  LNC-68448                            148
034                  XJQ-35789                            120
035                  TNA-63396                             76
036                  FNL-93857                             80
037                  CPU-63784                            189
038                  XKG-42573                             73
039                  DAU-26394                            133
040                  YXL-38878                             99
041                  TRM-27792                            199
042                  EFG-46945                            106
043                  PQJ-67335                             56
044                  KQA-89952                            129
045                  XRT-73276                              4
046                  CCG-95482                             81
047                  PZV-75529                             60
048                  BTG-65524                            151
049                  WBB-69295                            132
050                  BTN-83953                             17
051                  GZN-34688                            161
052                  YXL-38878                             90
053                  TNA-63396                             74
054                  YXL-38878                            194
055                  NHP-43928                             55
056                  TNX-51117                             31
057                  DAU-26394                            100
058                  KWH-94256                            105
059                  CDC-36833                            181
060                  CPU-63784                             89
061                  CQS-93978                            184
062                  WQM-46249                             62
063                  YBD-67688                              8
064                  BCU-27839                            192
065                  QBZ-39849                             57
066                  TNX-51117                            178
067                  HCY-32686                            166
068                  HVX-35287                            144
069                  AAV-93236                            191
070                  GMS-89977                             85
071                  LNC-68448                            139
072                  CDC-36833                             14
073                  QBZ-39849                             63
074                  PZV-75529                            113
075                  XBC-95594                             12
076                  CQS-93978                             70
077                  TQC-49936                            145
078                  WQB-83823                            163
079                  WMD-65834                             28
080                  NWL-28282                             69
081                  XKG-42573                            111
082                  SPN-64546                             82
083                  QBZ-39849                             58
084                  HNB-76282                            127
085                  WQM-46249                            110
086                  EPX-87469                            156
087                  FTD-84699                            159
088                  BTG-65524                             79
089                  QBZ-39849                            125
090                  NMA-58554                            116
091                  RLT-57887                             68
092                  HCY-32686                            188
093                  ANR-65636                             19
094                  CDC-36833                            190
095                  GBK-45859                            135
096                  GBK-45859                             21
097                  NHP-43928                            154
098                  XKG-42573                              1
099                  VJN-37687                            193
100                  ZPF-96697                             45
