User ID: 13579-76672

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YXL-38878                            128
002                  NWL-28282                            116
003                  NWL-28282                            161
004                  ZHA-83572                             60
005                  EFG-46945                            132
006                  PWT-38779                            124
007                  TQC-49936                            193
008                  KWH-94256                              3
009                  GUJ-74444                            196
010                  YLW-92835                            190
011                  HVX-35287                             30
012                  CPU-63784                             14
013                  GMS-89977                             68
014                  NXD-76943                            139
015                  VWM-74278                            200
016                  URL-32968                            189
017                  HZF-45469                             44
018                  GZN-34688                            122
019                  BTG-65524                            142
020                  ZXB-54692                             35
021                  TNG-52497                              9
022                  XKG-42573                             91
023                  KWH-94256                             39
024                  YBD-67688                            123
025                  XRT-73276                            153
026                  CQS-93978                            130
027                  PQJ-67335                            131
028                  QBZ-39849                            181
029                  QBD-79865                             76
030                  URL-32968                            158
031                  WQM-46249                            102
032                  ZKV-31415                            114
033                  LNC-68448                            107
034                  PNF-53949                             19
035                  ZXB-54692                            121
036                  TRM-27792                             59
037                  AAV-93236                             29
038                  JYL-79355                            187
039                  ZXB-54692                            168
040                  EPX-87469                             72
041                  URL-32968                            184
042                  BMN-57337                             80
043                  FNR-28782                            198
044                  HCY-32686                             62
045                  TQC-49936                            126
046                  WMD-65834                            179
047                  VWM-74278                             89
048                  TQC-49936                            119
049                  YLW-92835                              2
050                  TNA-63396                            173
051                  ZPF-96697                             33
052                  YMA-56284                             22
053                  CPU-63784                            135
054                  LWR-78574                             54
055                  NMA-58554                            166
056                  GUJ-74444                            165
057                  PZV-75529                            115
058                  XBC-95594                              8
059                  ZHA-83572                            163
060                  LNC-68448                            105
061                  FNL-93857                             74
062                  CQS-93978                            150
063                  QBZ-39849                             36
064                  CQS-93978                            112
065                  BCU-27839                            140
066                  ZHA-83572                              7
067                  ANR-65636                             32
068                  KQA-89952                             67
069                  LZL-53762                            129
070                  XBC-95594                              5
071                  YXL-38878                            194
072                  DAU-26394                             97
073                  DAU-26394                            145
074                  XRT-73276                            174
075                  DHY-22445                            146
076                  VWM-74278                            117
077                  TLT-23593                             63
078                  CQS-93978                             94
079                  AAV-93236                            127
080                  HZF-45469                             46
081                  PQJ-67335                            155
082                  LZL-53762                             82
083                  ZHA-83572                             45
084                  JVL-65247                             56
085                  JPJ-26459                            111
086                  ZPF-96697                            110
087                  PNF-53949                             81
088                  KDV-97563                            109
089                  HKZ-33728                            147
090                  BTN-83953                             84
091                  XKG-42573                            180
092                  YMA-56284                            100
093                  YMA-56284                              4
094                  GMS-89977                             21
095                  EFG-46945                             25
096                  NWL-28282                            188
097                  LNC-68448                             90
098                  XBC-95594                             79
099                  TNA-63396                            118
100                  HZF-45469                            106
