User ID: 15840-81914

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XRT-73276                             11
002                  RLT-57887                             31
003                  FTD-84699                            115
004                  NHP-43928                            146
005                  FNR-28782                             69
006                  WMD-65834                            149
007                  GBK-45859                             56
008                  TXF-47848                            199
009                  YMA-56284                            187
010                  TRM-27792                              6
011                  PQJ-67335                             57
012                  QBD-79865                             25
013                  DHY-22445                             29
014                  PQJ-67335                             17
015                  PNF-53949                             52
016                  LWR-78574                            143
017                  VJN-37687                             88
018                  RGZ-73449                            108
019                  XBC-95594                            167
020                  JVL-65247                             45
021                  TNG-52497                            121
022                  BMN-57337                             30
023                  AAV-93236                             10
024                  JYL-79355                             97
025                  TRM-27792                              5
026                  FTD-84699                             49
027                  XKG-42573                            127
028                  FYK-67999                            152
029                  VXR-68924                             85
030                  DAU-26394                             41
031                  WBB-69295                            163
032                  BCU-27839                             27
033                  TRM-27792                             73
034                  NXD-76943                            114
035                  TNA-63396                            142
036                  ZXB-54692                             80
037                  CDC-36833                            140
038                  KDV-97563                             63
039                  PWT-38779                             50
040                  DHY-22445                            174
041                  GMS-89977                             68
042                  HZF-45469                             53
043                  CDC-36833                             26
044                  TNX-51117                            183
045                  RLT-57887                             65
046                  KWH-94256                            168
047                  CQS-93978                            186
048                  URL-32968                            190
049                  HZF-45469                             67
050                  NVE-67597                             61
051                  FYK-67999                            182
052                  HVE-32966                            200
053                  EPX-87469                            141
054                  BCU-27839                            191
055                  HKZ-33728                            150
056                  LNC-68448                            164
057                  QBD-79865                             44
058                  TXF-47848                            109
059                  HVX-35287                             43
060                  NMA-58554                             66
061                  WBB-69295                             21
062                  HKZ-33728                             47
063                  EFG-46945                            169
064                  NMA-58554                            144
065                  HNB-76282                            124
066                  BCU-27839                             98
067                  XKG-42573                             78
068                  AJA-56777                            160
069                  WQM-46249                             84
070                  CPU-63784                             82
071                  YLW-92835                            197
072                  XKG-42573                             20
073                  VXR-68924                            136
074                  LWR-78574                            151
075                  DAU-26394                            101
076                  FYK-67999                            177
077                  HKZ-33728                            196
078                  KDV-97563                            180
079                  LWR-78574                            133
080                  TRM-27792                            171
081                  ZPF-96697                            128
082                  LWR-78574                             37
083                  TLT-23593                             33
084                  TLT-23593                            119
085                  WMD-65834                             59
086                  ZHA-83572                             62
087                  KQA-89952                            125
088                  WMD-65834                            148
089                  YMA-56284                            137
090                  PNF-53949                              7
091                  LWR-78574                              3
092                  YBD-67688                             13
093                  EFG-46945                             75
094                  VJN-37687                            126
095                  FNR-28782                              4
096                  VWM-74278                             58
097                  BTG-65524                             55
098                  ZXB-54692                            178
099                  YLW-92835                            166
100                  BTG-65524                             93
